prcp(mm/day),srad(W/m2),swe(kg/m2),tmax(C),tmin(C),vp(Pa),fapar(-),lat,lon,elev_measured(m),elev_Daymet(m),CO2(ppm),t(C),year_mean,yday_mean
18.830000000000002,2507.71,0.0,19.11,4.48,1002.0199999999999,,19.55309,-155.31731,1685.0,1742.0,369.09000000000003,12.575714285714284,2000.0,4.0
124.42,1886.79,0.0,17.7,7.04,1079.427142857143,,19.55309,-155.31731,1685.0,1742.0,369.09000000000003,12.405000000000001,2000.0,11.0
231.99,1813.7399999999998,0.0,17.85,5.69,1007.5728571428572,,19.55309,-155.31731,1685.0,1742.0,369.09000000000003,11.290000000000001,2000.0,18.0
38.160000000000004,2773.52,0.0,17.66,2.77,869.5157142857142,,19.55309,-155.31731,1685.0,1742.0,369.09000000000003,10.822857142857144,2000.0,25.0
29.72,2965.6100000000006,0.0,20.07,5.6,954.2557142857141,,19.55309,-155.31731,1685.0,1742.0,368.8957142857143,12.858571428571427,2000.0,32.0
0.56,3324.56,0.0,19.86,5.39,936.027142857143,,19.55309,-155.31731,1685.0,1742.0,368.75,12.587142857142856,2000.0,39.0
7.0,2964.66,0.0,20.32,6.23,1013.5185714285715,,19.55309,-155.31731,1685.0,1742.0,368.75,13.44714285714286,2000.0,46.0
4.71,3050.17,0.0,21.01,6.92,1063.037142857143,,19.55309,-155.31731,1685.0,1742.0,368.75,14.102142857142855,2000.0,53.0
3.5200000000000005,3106.88,0.0,20.88,7.59,1110.6514285714286,,19.55309,-155.31731,1685.0,1742.0,368.87,14.357857142857142,2000.0,60.0
13.58,3355.84,0.0,20.15,4.95,940.6800000000001,,19.55309,-155.31731,1685.0,1742.0,369.03000000000003,12.663571428571428,2000.0,67.0
7.5,3179.2299999999996,0.0,20.46,5.97,1020.9899999999999,,19.55309,-155.31731,1685.0,1742.0,369.03000000000003,13.49642857142857,2000.0,74.0
49.46999999999999,2473.26,0.0,18.63,6.87,1051.997142857143,,19.55309,-155.31731,1685.0,1742.0,369.03000000000003,12.946428571428571,2000.0,81.0
150.52,2412.6000000000004,0.0,19.3,6.74,1069.9828571428573,,19.55309,-155.31731,1685.0,1742.0,369.03000000000003,12.744285714285713,2000.0,88.0
65.62,2342.9399999999996,0.0,18.29,7.28,1093.0114285714285,,19.55309,-155.31731,1685.0,1742.0,369.0,12.550714285714287,2000.0,95.0
37.800000000000004,3231.48,0.0,19.72,6.66,1046.31,,19.55309,-155.31731,1685.0,1742.0,369.0,12.834999999999999,2000.0,102.0
19.62,3286.54,0.0,20.3,6.52,1047.7328571428573,,19.55309,-155.31731,1685.0,1742.0,369.0,13.315714285714284,2000.0,109.0
22.679999999999996,3439.04,0.0,21.05,7.82,1126.9914285714285,,19.55309,-155.31731,1685.0,1742.0,369.0,14.195000000000002,2000.0,116.0
3.67,3594.9400000000005,0.0,22.91,7.64,1184.3057142857142,,19.55309,-155.31731,1685.0,1742.0,368.72142857142865,15.19357142857143,2000.0,123.0
37.69,3085.1000000000004,0.0,22.39,8.26,1159.44,,19.55309,-155.31731,1685.0,1742.0,368.61000000000007,14.887857142857143,2000.0,130.0
37.839999999999996,3171.33,0.0,20.96,8.08,1156.3328571428572,,19.55309,-155.31731,1685.0,1742.0,368.61000000000007,14.742142857142856,2000.0,137.0
27.080000000000005,2980.08,0.0,21.9,7.61,1085.372857142857,,19.55309,-155.31731,1685.0,1742.0,368.61000000000007,14.197142857142856,2000.0,144.0
28.130000000000003,2855.08,0.0,21.71,8.83,1178.5614285714287,,19.55309,-155.31731,1685.0,1742.0,368.80428571428575,15.050714285714283,2000.0,151.0
17.26,3155.42,0.0,22.51,7.99,1198.9871428571428,,19.55309,-155.31731,1685.0,1742.0,369.29,15.468571428571426,2000.0,158.0
93.75,2465.23,0.0,22.42,8.91,1243.5114285714285,,19.55309,-155.31731,1685.0,1742.0,369.29,15.456428571428571,2000.0,165.0
34.599999999999994,2950.4699999999993,0.0,22.67,8.77,1225.1142857142856,,19.55309,-155.31731,1685.0,1742.0,369.29,15.527142857142858,2000.0,172.0
109.02,2960.0000000000005,0.0,21.41,7.74,1174.83,,19.55309,-155.31731,1685.0,1742.0,369.29,14.879999999999999,2000.0,179.0
137.58,2238.3199999999997,0.0,21.76,10.06,1294.8157142857144,,19.55309,-155.31731,1685.0,1742.0,369.38000000000005,15.156428571428572,2000.0,186.0
56.980000000000004,2697.23,0.0,20.9,9.9,1293.4171428571428,,19.55309,-155.31731,1685.0,1742.0,369.38000000000005,15.506428571428572,2000.0,193.0
121.16999999999999,2629.7900000000004,0.0,22.02,10.47,1363.1714285714286,,19.55309,-155.31731,1685.0,1742.0,369.38000000000005,15.96642857142857,2000.0,200.0
5.779999999999999,3570.68,0.0,23.19,10.9,1339.85,,19.55309,-155.31731,1685.0,1742.0,369.38000000000005,16.71857142857143,2000.0,207.0
31.879999999999995,3196.1099999999997,0.0,23.82,10.4,1348.6728571428573,,19.55309,-155.31731,1685.0,1742.0,369.5057142857142,16.949285714285715,2000.0,214.0
22.49,3108.02,0.0,22.11,9.31,1260.4242857142856,,19.55309,-155.31731,1685.0,1742.0,369.59999999999997,15.804285714285713,2000.0,221.0
60.31999999999999,3187.71,0.0,23.47,8.99,1287.3899999999999,,19.55309,-155.31731,1685.0,1742.0,369.59999999999997,16.175,2000.0,228.0
284.57,2256.73,0.0,21.43,10.31,1379.2314285714288,,19.55309,-155.31731,1685.0,1742.0,369.59999999999997,16.087857142857143,2000.0,235.0
48.730000000000004,2825.66,0.0,20.94,10.46,1375.0928571428572,,19.55309,-155.31731,1685.0,1742.0,369.6485714285714,16.144285714285715,2000.0,242.0
92.97,2829.71,0.0,22.17,8.96,1337.6871428571428,,19.55309,-155.31731,1685.0,1742.0,369.94,16.233571428571427,2000.0,249.0
43.24,2847.1099999999997,0.0,22.09,9.71,1296.2628571428572,,19.55309,-155.31731,1685.0,1742.0,369.94,15.727142857142857,2000.0,256.0
21.75,3317.8300000000004,0.0,22.91,8.91,1205.7228571428573,,19.55309,-155.31731,1685.0,1742.0,369.94,15.554285714285715,2000.0,263.0
87.84,2835.0099999999998,0.0,21.75,6.81,1189.9757142857143,,19.55309,-155.31731,1685.0,1742.0,369.94,15.116428571428571,2000.0,270.0
56.519999999999996,2713.58,0.0,21.86,9.79,1252.44,,19.55309,-155.31731,1685.0,1742.0,370.12,15.76357142857143,2000.0,277.0
66.34,2324.33,0.0,21.7,9.02,1272.3714285714286,,19.55309,-155.31731,1685.0,1742.0,370.15000000000003,15.445000000000002,2000.0,284.0
170.63,2249.22,0.0,22.94,8.97,1306.5314285714287,,19.55309,-155.31731,1685.0,1742.0,370.15000000000003,16.132857142857144,2000.0,291.0
153.73,2150.86,0.0,21.13,8.37,1246.7828571428574,,19.55309,-155.31731,1685.0,1742.0,370.15000000000003,15.046428571428573,2000.0,298.0
430.17,1816.79,0.0,20.37,9.72,1335.9885714285717,,19.55309,-155.31731,1685.0,1742.0,370.27,15.177142857142854,2000.0,305.0
59.63,2387.86,0.0,20.99,8.2,1223.0585714285714,,19.55309,-155.31731,1685.0,1742.0,370.42999999999995,14.832142857142857,2000.0,312.0
129.69,2306.09,0.0,20.09,8.47,1211.97,,19.55309,-155.31731,1685.0,1742.0,370.42999999999995,14.295714285714284,2000.0,319.0
27.12,2252.94,0.0,20.05,7.83,1129.3642857142856,,19.55309,-155.31731,1685.0,1742.0,370.42999999999995,13.830714285714288,2000.0,326.0
20.520000000000003,2548.13,0.0,20.61,7.1,1087.9828571428573,,19.55309,-155.31731,1685.0,1742.0,370.42571428571426,14.026428571428571,2000.0,333.0
12.629999999999999,2724.4399999999996,0.0,21.29,6.42,1000.0014285714286,,19.55309,-155.31731,1685.0,1742.0,370.40000000000003,13.290714285714285,2000.0,340.0
