prcp(mm/day),srad(W/m2),swe(kg/m2),tmax(C),tmin(C),vp(Pa),fapar(-),lat,lon,elev_measured(m),elev_Daymet(m),CO2(ppm),t(C),year_mean,yday_mean
0.0,0.0,318.43,-23.58,-39.21,27.734285714285715,0.0,68.66109,-149.37047000000004,832.0,836.0,369.09000000000003,-31.666428571428572,2000.0,4.0
0.0,0.0,318.43,-24.0,-44.66,22.744285714285716,0.0,68.66109,-149.37047000000004,832.0,836.0,369.09000000000003,-33.972142857142856,2000.0,11.0
6.0,1.29,334.17,-16.72,-39.46,43.43,0.0,68.66109,-149.37047000000004,832.0,836.0,369.09000000000003,-27.775714285714283,2000.0,18.0
16.48,8.15,460.5800000000001,-8.68,-25.54,111.19000000000001,0.0,68.66109,-149.37047000000004,832.0,836.0,369.09000000000003,-17.690714285714282,2000.0,25.0
3.79,48.67,494.80999999999995,-9.65,-34.96,63.85857142857143,0.0,68.66109,-149.37047000000004,832.0,836.0,368.8957142857143,-23.124285714285715,2000.0,32.0
0.0,123.72,502.38999999999993,-12.08,-30.89,81.67999999999999,0.0,68.66109,-149.37047000000004,832.0,836.0,368.75,-20.28071428571429,2000.0,39.0
0.0,211.82999999999998,502.38999999999993,-9.22,-27.4,100.51571428571428,0.0,68.66109,-149.37047000000004,832.0,836.0,368.75,-19.587857142857143,2000.0,46.0
0.0,334.80999999999995,502.38999999999993,-14.43,-28.61,77.41142857142857,0.0,68.66109,-149.37047000000004,832.0,836.0,368.75,-22.224285714285713,2000.0,53.0
0.0,619.73,502.38999999999993,-12.07,-33.33,67.37857142857142,0.0,68.66109,-149.37047000000004,832.0,836.0,368.87,-22.909285714285716,2000.0,60.0
0.0,791.8000000000001,502.38999999999993,-12.98,-29.64,85.59857142857142,0.0,68.66109,-149.37047000000004,832.0,836.0,369.03000000000003,-20.44857142857143,2000.0,67.0
0.0,1072.2,502.38999999999993,-13.78,-26.85,87.4457142857143,0.0,68.66109,-149.37047000000004,832.0,836.0,369.03000000000003,-19.43857142857143,2000.0,74.0
3.24,1206.04,505.63999999999993,-15.76,-28.25,69.53142857142858,0.0,68.66109,-149.37047000000004,832.0,836.0,369.03000000000003,-21.909999999999997,2000.0,81.0
0.0,1417.35,525.14,-8.03,-28.3,101.76714285714284,0.0,68.66109,-149.37047000000004,832.0,836.0,369.03000000000003,-17.517142857142854,2000.0,88.0
0.0,1938.8100000000002,525.14,-8.54,-30.72,62.637142857142855,0.0,68.66109,-149.37047000000004,832.0,836.0,369.0,-20.391428571428573,2000.0,95.0
0.0,2067.2000000000003,525.14,-1.92,-26.93,76.69857142857144,0.0,68.66109,-149.37047000000004,832.0,836.0,369.0,-14.922142857142857,2000.0,102.0
0.0,1807.4599999999998,525.14,-4.35,-23.33,110.04142857142858,0.0,68.66109,-149.37047000000004,832.0,836.0,369.0,-12.734285714285715,2000.0,109.0
0.0,1769.51,525.14,-2.47,-14.92,94.85857142857142,0.0,68.66109,-149.37047000000004,832.0,836.0,369.0,-7.995714285714285,2000.0,116.0
0.0,2129.05,525.14,-0.15,-20.68,66.15285714285714,0.0,68.66109,-149.37047000000004,832.0,836.0,368.72142857142865,-8.894285714285715,2000.0,123.0
0.0,2240.33,525.14,-0.92,-17.39,67.92428571428572,0.0,68.66109,-149.37047000000004,832.0,836.0,368.61000000000007,-8.334285714285715,2000.0,130.0
0.0,2264.08,525.14,2.11,-17.06,79.97571428571429,0.0,68.66109,-149.37047000000004,832.0,836.0,368.61000000000007,-6.920714285714285,2000.0,137.0
0.0,1762.67,522.43,3.21,-8.74,128.25857142857143,0.0,68.66109,-149.37047000000004,832.0,836.0,368.61000000000007,-2.5642857142857145,2000.0,144.0
0.0,1564.75,485.08000000000004,5.44,-6.38,168.60714285714286,0.09275,68.66109,-149.37047000000004,832.0,836.0,368.80428571428575,0.3071428571428572,2000.0,151.0
0.0,2490.77,389.89,16.66,-5.28,236.81142857142862,0.3091666666666666,68.66109,-149.37047000000004,832.0,836.0,369.29,7.275714285714286,2000.0,158.0
0.0,2440.0000000000005,192.31,17.76,2.91,294.4414285714285,0.449,68.66109,-149.37047000000004,832.0,836.0,369.29,10.358571428571427,2000.0,165.0
22.5,1797.46,13.629999999999999,19.32,4.73,327.61428571428576,0.494,68.66109,-149.37047000000004,832.0,836.0,369.29,10.752142857142857,2000.0,172.0
0.0,1653.79,0.0,19.0,1.78,367.2371428571428,0.591,68.66109,-149.37047000000004,832.0,836.0,369.29,9.447857142857144,2000.0,179.0
19.28,1631.9699999999998,0.0,19.04,0.42,298.40142857142854,0.5743636363636364,68.66109,-149.37047000000004,832.0,836.0,369.38000000000005,7.637142857142857,2000.0,186.0
6.46,1557.0500000000002,0.0,15.77,-2.86,416.77,0.618,68.66109,-149.37047000000004,832.0,836.0,369.38000000000005,7.419999999999999,2000.0,193.0
32.98,1309.31,0.0,17.97,-0.02,688.7885714285715,0.631,68.66109,-149.37047000000004,832.0,836.0,369.38000000000005,9.45142857142857,2000.0,200.0
