uid,namedLocation,domainID,siteID,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,elevation,elevationUncertainty,plotType,nlcdClass,plotID,subplotID,endDate,boutNumber,eventID,samplingProtocolVersion,targetTaxaPresent,taxonID,scientificName,taxonRank,family,nativeStatusCode,identificationQualifier,taxonIDRemarks,morphospeciesID,morphospeciesIDRemarks,identificationReferences,additionalSpecies,remarks,measuredBy,recordedBy,samplingImpractical,samplingImpracticalRemarks,biophysicalCriteria
"3ab0786a-babb-4b07-a89d-62ded72e1b70","KONZ_001.basePlot.div","D06","KONZ",39.075067,-96.555874,"WGS84",20.10,437.8,0.2,"distributed","grasslandHerbaceous","KONZ_001","32.2.10","2021-08-04",1,"KONZ_001.1.2021","NEON.DOC.014042vL","Y","SYSE2","Symphyotrichum sericeum (Vent.) G.L. Nesom","species","Asteraceae","N",,,,,,"Y",,"0000-0002-1289-3729","0000-0001-6709-8856","OK",,"OK - no known exceptions"
"993fee09-4cc7-4855-8364-906605323aa6","KONZ_001.basePlot.div","D06","KONZ",39.075067,-96.555874,"WGS84",20.10,437.8,0.2,"distributed","grasslandHerbaceous","KONZ_001","40","2021-08-04",1,"KONZ_001.1.2021","NEON.DOC.014042vL","Y","ANNE","Antennaria neglecta Greene","species","Asteraceae","N",,,,,,"Y",,"0000-0001-6709-8856","0000-0002-1289-3729","OK",,"OK - no known exceptions"
"9a907030-5acc-491d-9ac7-e3b3417d8a8c","KONZ_001.basePlot.div","D06","KONZ",39.075067,-96.555874,"WGS84",20.10,437.8,0.2,"distributed","grasslandHerbaceous","KONZ_001","31.1.10","2021-08-04",1,"KONZ_001.1.2021","NEON.DOC.014042vL","Y","BREU","Brickellia eupatorioides (L.) Shinners","species","Asteraceae","N",,,,,,"Y",,"0000-0002-1289-3729","0000-0002-9241-5582","OK",,"OK - no known exceptions"
"bb392ee4-f26d-46ed-8e57-85dba69454a8","KONZ_001.basePlot.div","D06","KONZ",39.075067,-96.555874,"WGS84",20.10,437.8,0.2,"distributed","grasslandHerbaceous","KONZ_001","32.2.10","2021-08-04",1,"KONZ_001.1.2021","NEON.DOC.014042vL","Y","SOMI2","Solidago missouriensis Nutt.","species","Asteraceae","N",,,,,,"Y",,"0000-0002-1289-3729","0000-0001-6709-8856","OK",,"OK - no known exceptions"
"ee741a38-9cad-4c1c-8b33-1048b266bc9c","KONZ_001.basePlot.div","D06","KONZ",39.075067,-96.555874,"WGS84",20.10,437.8,0.2,"distributed","grasslandHerbaceous","KONZ_001","40.3.10","2021-08-04",1,"KONZ_001.1.2021","NEON.DOC.014042vL","Y","BOHI2","Bouteloua hirsuta Lag.","species","Poaceae","N",,,,,,"Y",,"0000-0001-6709-8856","0000-0002-1289-3729","OK",,"OK - no known exceptions"
"ec8927f6-0348-4b74-adc3-6e3628f11a44","KONZ_001.basePlot.div","D06","KONZ",39.075067,-96.555874,"WGS84",20.10,437.8,0.2,"distributed","grasslandHerbaceous","KONZ_001","32","2021-08-04",1,"KONZ_001.1.2021","NEON.DOC.014042vL","Y","SPHE","Sporobolus heterolepis (A. Gray) A. Gray","species","Poaceae","N",,,,,,"Y",,"0000-0002-1289-3729","0000-0001-6709-8856","OK",,"OK - no known exceptions"
"b754dc64-4cd6-4c44-8135-daf050ddb053","KONZ_001.basePlot.div","D06","KONZ",39.075067,-96.555874,"WGS84",20.10,437.8,0.2,"distributed","grasslandHerbaceous","KONZ_001","41.4.10","2021-08-04",1,"KONZ_001.1.2021","NEON.DOC.014042vL","Y","SYER","Symphyotrichum ericoides (L.) G.L. Nesom","species","Asteraceae","N",,,,,,"Y",,"0000-0001-6709-8856","0000-0002-9241-5582","OK",,"OK - no known exceptions"
"18eb6e1a-d6dd-4720-bc4c-db5e67eebf77","KONZ_001.basePlot.div","D06","KONZ",39.075067,-96.555874,"WGS84",20.10,437.8,0.2,"distributed","grasslandHerbaceous","KONZ_001","41","2021-08-04",1,"KONZ_001.1.2021","NEON.DOC.014042vL","Y","SOMI2","Solidago missouriensis Nutt.","species","Asteraceae","N",,,,,,"Y",,"0000-0001-6709-8856","0000-0002-9241-5582","OK",,"OK - no known exceptions"
"b18218ec-f869-498c-b1fe-023acd002cf8","KONZ_001.basePlot.div","D06","KONZ",39.075067,-96.555874,"WGS84",20.10,437.8,0.2,"distributed","grasslandHerbaceous","KONZ_001","40.3.10","2021-08-04",1,"KONZ_001.1.2021","NEON.DOC.014042vL","Y","AMCA6","Amorpha canescens Pursh","species","Fabaceae","N",,,,,,"Y",,"0000-0001-6709-8856","0000-0002-1289-3729","OK",,"OK - no known exceptions"
"643bfd69-b4c5-4e97-8ac2-87705e7697cb","KONZ_001.basePlot.div","D06","KONZ",39.075067,-96.555874,"WGS84",20.10,437.8,0.2,"distributed","grasslandHerbaceous","KONZ_001","40.3.10","2021-08-04",1,"KONZ_001.1.2021","NEON.DOC.014042vL","Y","KOMA","Koeleria macrantha (Ledeb.) Schult.","species","Poaceae","N",,,,,,"Y",,"0000-0001-6709-8856","0000-0002-1289-3729","OK",,"OK - no known exceptions"
"107e9a5b-f13e-45aa-8b9c-1a59f29f4336","KONZ_001.basePlot.div","D06","KONZ",39.075067,-96.555874,"WGS84",20.10,437.8,0.2,"distributed","grasslandHerbaceous","KONZ_001","40.3.10","2021-08-04",1,"KONZ_001.1.2021","NEON.DOC.014042vL","Y","CAREX","Carex sp.","genus","Cyperaceae","UNK",,,,,,"Y",,"0000-0001-6709-8856","0000-0002-1289-3729","OK",,"OK - no known exceptions"
