uid,namedLocation,domainID,siteID,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,elevation,elevationUncertainty,plotType,nlcdClass,plotID,subplotID,endDate,boutNumber,eventID,samplingProtocolVersion,targetTaxaPresent,taxonID,scientificName,taxonRank,family,nativeStatusCode,identificationQualifier,taxonIDRemarks,morphospeciesID,morphospeciesIDRemarks,identificationReferences,additionalSpecies,remarks,measuredBy,recordedBy,samplingImpractical,samplingImpracticalRemarks,biophysicalCriteria
"b0a1225f-fdc3-40f6-bf15-51e0cb6bf180","ORNL_047.basePlot.div","D07","ORNL",35.952357,-84.219806,"WGS84",20.10,285.8,0.1,"distributed","pastureHay","ORNL_047","31","2021-08-30",1,"ORNL_047.1.2021","NEON.DOC.014042vL","Y","ANOD","Anthoxanthum odoratum L.","species","Poaceae","I",,,,,,"Y",,"0000-0003-1944-3584","0000-0001-6659-7821","OK",,"OK - no known exceptions"
"47ab4390-72c2-42cb-802f-70f1f592a990","ORNL_047.basePlot.div","D07","ORNL",35.952357,-84.219806,"WGS84",20.10,285.8,0.1,"distributed","pastureHay","ORNL_047","31","2021-08-30",1,"ORNL_047.1.2021","NEON.DOC.014042vL","Y","OXST","Oxalis stricta L.","species","Oxalidaceae","N",,,,,,"Y",,"0000-0003-1944-3584","0000-0001-6659-7821","OK",,"OK - no known exceptions"
"6ce9b6b5-8086-457c-8063-5ebff46add00","ORNL_031.basePlot.div","D07","ORNL",35.948606,-84.221912,"WGS84",20.10,266.8,0.1,"distributed","pastureHay","ORNL_031","32.2.10","2021-08-30",1,"ORNL_031.1.2021","NEON.DOC.014042vL","Y","COFL2","Cornus florida L.","species","Cornaceae","N",,,,,,"Y",,"0000-0003-1944-3584","0000-0001-6659-7821","OK",,"OK - no known exceptions"
"2cda6609-20ed-49f7-9376-77f75793353f","ORNL_031.basePlot.div","D07","ORNL",35.948606,-84.221912,"WGS84",20.10,266.8,0.1,"distributed","pastureHay","ORNL_031","32.2.10","2021-08-30",1,"ORNL_031.1.2021","NEON.DOC.014042vL","Y","ANGE","Andropogon gerardii Vitman","species","Poaceae","N",,,,,,"Y",,"0000-0003-1944-3584","0000-0001-6659-7821","OK",,"OK - no known exceptions"
"41e7331d-f899-40dd-8b72-c7cafdcf21cb","ORNL_031.basePlot.div","D07","ORNL",35.948606,-84.221912,"WGS84",20.10,266.8,0.1,"distributed","pastureHay","ORNL_031","32.2.10","2021-08-30",1,"ORNL_031.1.2021","NEON.DOC.014042vL","Y","VEVI3","Verbesina virginica L.","species","Asteraceae","N",,,,,,"Y",,"0000-0003-1944-3584","0000-0001-6659-7821","OK",,"OK - no known exceptions"
"f5efa99d-bc16-456a-a01c-d2f9296287ab","ORNL_031.basePlot.div","D07","ORNL",35.948606,-84.221912,"WGS84",20.10,266.8,0.1,"distributed","pastureHay","ORNL_031","32.4.10","2021-08-30",1,"ORNL_031.1.2021","NEON.DOC.014042vL","Y","PAVI2","Panicum virgatum L.","species","Poaceae","N",,,,,,"Y",,"0000-0003-1944-3584","0000-0001-6659-7821","OK",,"OK - no known exceptions"
"4db3d82c-413a-430a-a458-c989627ed55d","ORNL_031.basePlot.div","D07","ORNL",35.948606,-84.221912,"WGS84",20.10,266.8,0.1,"distributed","pastureHay","ORNL_031","32.2.10","2021-08-30",1,"ORNL_031.1.2021","NEON.DOC.014042vL","Y","SMGL","Smilax glauca Walter","species","Smilacaceae","N",,,,,,"Y",,"0000-0003-1944-3584","0000-0001-6659-7821","OK",,"OK - no known exceptions"
"b94e46f9-d005-4ec7-98f1-52d657345123","ORNL_047.basePlot.div","D07","ORNL",35.952357,-84.219806,"WGS84",20.10,285.8,0.1,"distributed","pastureHay","ORNL_047","31.1.10","2021-08-30",1,"ORNL_047.1.2021","NEON.DOC.014042vL","Y","VEOC","Verbesina occidentalis (L.) Walter","species","Asteraceae","N",,,,,,"Y",,"0000-0003-1944-3584","0000-0001-6659-7821","OK",,"OK - no known exceptions"
"5bb2ddf9-ca50-4f98-ba8e-70853333f72a","ORNL_047.basePlot.div","D07","ORNL",35.952357,-84.219806,"WGS84",20.10,285.8,0.1,"distributed","pastureHay","ORNL_047","31.1.10","2021-08-30",1,"ORNL_047.1.2021","NEON.DOC.014042vL","Y","SOCA3","Solanum carolinense L.","species","Solanaceae","N",,,,,,"Y",,"0000-0003-1944-3584","0000-0001-6659-7821","OK",,"OK - no known exceptions"
"932f5a89-6436-4f7d-b8b5-d5ca9e5c87cb","ORNL_031.basePlot.div","D07","ORNL",35.948606,-84.221912,"WGS84",20.10,266.8,0.1,"distributed","pastureHay","ORNL_031","32.4.10","2021-08-30",1,"ORNL_031.1.2021","NEON.DOC.014042vL","Y","ANVI2","Andropogon virginicus L.","species","Poaceae","N",,,,,,"Y",,"0000-0003-1944-3584","0000-0001-6659-7821","OK",,"OK - no known exceptions"
