uid,namedLocation,domainID,siteID,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,elevation,elevationUncertainty,plotType,nlcdClass,plotID,subplotID,endDate,boutNumber,eventID,samplingProtocolVersion,targetTaxaPresent,taxonID,scientificName,taxonRank,family,nativeStatusCode,identificationQualifier,taxonIDRemarks,morphospeciesID,morphospeciesIDRemarks,identificationReferences,additionalSpecies,remarks,measuredBy,recordedBy,samplingImpractical,samplingImpracticalRemarks,biophysicalCriteria
"d7e9d9b7-fa1d-4e3a-9ba2-fea489d2fda9","SJER_017.basePlot.div","D17","SJER",37.126821,-119.745937,"WGS84",20.20,472.4,0.3,"distributed","evergreenForest","SJER_017","32","2021-04-01",1,"SJER_017.1.2021","NEON.DOC.014042vL",,,,,,,,,,,,,"Sampling impractical record","0000-0002-3752-003X",,"logistical","COVID19",
"cbc591b6-e4b8-4c47-9533-f6ed3430964c","SJER_017.basePlot.div","D17","SJER",37.126821,-119.745937,"WGS84",20.20,472.4,0.3,"distributed","evergreenForest","SJER_017","32.4.10","2021-04-01",1,"SJER_017.1.2021","NEON.DOC.014042vL",,,,,,,,,,,,,"Sampling impractical record","0000-0002-3752-003X",,"logistical","COVID19",
"4427ecd0-9826-4758-a206-3eec3a1196c2","SJER_021.basePlot.div","D17","SJER",37.110743,-119.750784,"WGS84",20.10,405.6,0.1,"distributed","grasslandHerbaceous","SJER_021","32.2.10","2021-04-01",1,"SJER_021.1.2021","NEON.DOC.014042vL",,,,,,,,,,,,,"Sampling impractical record","0000-0002-3752-003X",,"logistical","COVID19",
"49ee4f0e-aab2-4cad-9a77-5d77abcbd997","SJER_024.basePlot.div","D17","SJER",37.107230,-119.751328,"WGS84",20.10,392.7,0.1,"distributed","grasslandHerbaceous","SJER_024","32.4.10","2021-04-01",1,"SJER_024.1.2021","NEON.DOC.014042vL",,,,,,,,,,,,,"Sampling impractical record","0000-0002-3752-003X",,"logistical","COVID19",
"3d7cfefa-c215-4fc8-a52d-6718126e961f","SJER_018.basePlot.div","D17","SJER",37.107805,-119.714546,"WGS84",20.10,424.1,0.1,"distributed","evergreenForest","SJER_018","32","2021-04-01",1,"SJER_018.1.2021","NEON.DOC.014042vL",,,,,,,,,,,,,"Sampling impractical record","0000-0002-3752-003X",,"logistical","COVID19",
"3ca50554-76a0-4f0e-9adf-e4b00570daf0","SJER_022.basePlot.div","D17","SJER",37.080176,-119.716934,"WGS84",20.10,325.5,0.1,"distributed","grasslandHerbaceous","SJER_022","41.4.10","2021-04-01",1,"SJER_022.1.2021","NEON.DOC.014042vL",,,,,,,,,,,,,"Sampling impractical record","0000-0002-3752-003X",,"logistical","COVID19",
"c4e74dd0-9f20-43e3-830d-a8456a1e6fb9","SJER_022.basePlot.div","D17","SJER",37.080176,-119.716934,"WGS84",20.10,325.5,0.1,"distributed","grasslandHerbaceous","SJER_022","40.3.10","2021-04-01",1,"SJER_022.1.2021","NEON.DOC.014042vL",,,,,,,,,,,,,"Sampling impractical record","0000-0002-3752-003X",,"logistical","COVID19",
"7eb8401f-515d-499d-8c75-d1e2819bddd4","SJER_021.basePlot.div","D17","SJER",37.110743,-119.750784,"WGS84",20.10,405.6,0.1,"distributed","grasslandHerbaceous","SJER_021","31.1.10","2021-04-01",1,"SJER_021.1.2021","NEON.DOC.014042vL",,,,,,,,,,,,,"Sampling impractical record","0000-0002-3752-003X",,"logistical","COVID19",
"4d07af8e-a4cb-489c-b060-26f0919071b8","SJER_019.basePlot.div","D17","SJER",37.104397,-119.721851,"WGS84",20.10,397.6,0.1,"distributed","grasslandHerbaceous","SJER_019","41","2021-04-01",1,"SJER_019.1.2021","NEON.DOC.014042vL",,,,,,,,,,,,,"Sampling impractical record","0000-0002-3752-003X",,"logistical","COVID19",
"7f2b1ba4-1dfb-4ab6-b0e2-81173f5f5f16","SJER_030.basePlot.div","D17","SJER",37.123985,-119.750896,"WGS84",20.10,484.4,0.1,"distributed","shrubScrub","SJER_030","31","2021-04-01",1,"SJER_030.1.2021","NEON.DOC.014042vL",,,,,,,,,,,,,"Sampling impractical record","0000-0002-3752-003X",,"logistical","COVID19",
