uid,namedLocation,domainID,siteID,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,elevation,elevationUncertainty,plotType,nlcdClass,plotID,subplotID,endDate,boutNumber,eventID,samplingProtocolVersion,targetTaxaPresent,taxonID,scientificName,taxonRank,family,nativeStatusCode,identificationQualifier,taxonIDRemarks,morphospeciesID,morphospeciesIDRemarks,identificationReferences,additionalSpecies,remarks,measuredBy,recordedBy,samplingImpractical,samplingImpracticalRemarks,biophysicalCriteria
"b4a6fda3-ad2b-4cf2-aa97-6146625c8dc1","BONA_080.basePlot.div","D19","BONA",65.153889,-147.512286,"WGS84",20.10,241.8,0.1,"tower","evergreenForest","BONA_080","31.1.10","2021-06-15",1,"BONA_080.1.2021","NEON.DOC.014042vL","Y","CAST36","Calamagrostis stricta (Timm) Koeler","species","Poaceae","N",,,,,,"Y",,"0000-0003-4951-9447","0000-0002-8223-020X","OK",,"OK - no known exceptions"
"381b2718-1e0c-4990-8dfc-796497796104","BONA_070.basePlot.div","D19","BONA",65.153632,-147.509712,"WGS84",20.10,237.7,0.1,"tower","evergreenForest","BONA_070","32","2021-06-15",1,"BONA_070.1.2021","NEON.DOC.014042vL","Y","SALIX","Salix sp.","genus","Salicaceae","UNK",,,,,,"Y",,"0000-0001-6603-4076","0000-0001-6603-4076","OK",,"OK - no known exceptions"
"a9ee5d29-cff1-4d36-9715-26b65004854d","BONA_070.basePlot.div","D19","BONA",65.153632,-147.509712,"WGS84",20.10,237.7,0.1,"tower","evergreenForest","BONA_070","32.4.10","2021-06-15",1,"BONA_070.1.2021","NEON.DOC.014042vL","Y","PIMA","Picea mariana (Mill.) Britton, Sterns & Poggenb.","species","Pinaceae","N",,,,,,"Y",,"0000-0001-6603-4076","0000-0001-6603-4076","OK",,"OK - no known exceptions"
"e3a2fa09-ab0a-496c-ae15-30cdea174a5b","BONA_070.basePlot.div","D19","BONA",65.153632,-147.509712,"WGS84",20.10,237.7,0.1,"tower","evergreenForest","BONA_070","41.4.10","2021-06-15",1,"BONA_070.1.2021","NEON.DOC.014042vL","Y","ERVA4","Eriophorum vaginatum L.","species","Cyperaceae","N",,,,,,"Y",,"0000-0001-6603-4076","0000-0003-2426-525X","OK",,"OK - no known exceptions"
"d476e333-14cc-4c5d-9076-70921b233edb","BONA_070.basePlot.div","D19","BONA",65.153632,-147.509712,"WGS84",20.10,237.7,0.1,"tower","evergreenForest","BONA_070","40.3.10","2021-06-15",1,"BONA_070.1.2021","NEON.DOC.014042vL","Y","CALAM","Calamagrostis sp.","genus","Poaceae","N","cf. genus",,,,,"Y",,"0000-0002-2833-9853","0000-0001-7469-7486","OK",,"OK - no known exceptions"
"354e3ec2-2bde-4482-9be4-35c63849e964","BONA_070.basePlot.div","D19","BONA",65.153632,-147.509712,"WGS84",20.10,237.7,0.1,"tower","evergreenForest","BONA_070","31.1.10","2021-06-15",1,"BONA_070.1.2021","NEON.DOC.014042vL","Y","LEGR","Ledum groenlandicum Oeder","species","Ericaceae","N",,,,,,"Y",,"0000-0002-2833-9853","0000-0003-0706-769X","OK",,"OK - no known exceptions"
"0fe3b96d-fbe9-4126-b1ec-02cd747ba947","BONA_080.basePlot.div","D19","BONA",65.153889,-147.512286,"WGS84",20.10,241.8,0.1,"tower","evergreenForest","BONA_080","41","2021-06-15",1,"BONA_080.1.2021","NEON.DOC.014042vL","Y","VAOX","Vaccinium oxycoccos L.","species","Ericaceae","N",,,,,,"Y",,"0000-0003-4951-9447","0000-0003-4951-9447","OK",,"OK - no known exceptions"
"d218718e-e0bf-4604-9c71-d1cec575ed07","BONA_080.basePlot.div","D19","BONA",65.153889,-147.512286,"WGS84",20.10,241.8,0.1,"tower","evergreenForest","BONA_080","32.4.10","2021-06-15",1,"BONA_080.1.2021","NEON.DOC.014042vL","Y","SABE2","Salix bebbiana Sarg.","species","Salicaceae","N",,,,,,"Y",,"0000-0003-4951-9447","0000-0002-9800-6544","OK",,"OK - no known exceptions"
"5b9a0381-64b5-422a-b34d-46a7c88354e2","BONA_070.basePlot.div","D19","BONA",65.153632,-147.509712,"WGS84",20.10,237.7,0.1,"tower","evergreenForest","BONA_070","41.4.10","2021-06-15",1,"BONA_070.1.2021","NEON.DOC.014042vL","Y","RUCH","Rubus chamaemorus L.","species","Rosaceae","N",,,,,,"Y",,"0000-0001-6603-4076","0000-0003-2426-525X","OK",,"OK - no known exceptions"
"e46f8fa7-3991-4d19-b499-7a83aa5c265b","BONA_080.basePlot.div","D19","BONA",65.153889,-147.512286,"WGS84",20.10,241.8,0.1,"tower","evergreenForest","BONA_080","40.1.10","2021-06-15",1,"BONA_080.1.2021","NEON.DOC.014042vL","Y","RUCH","Rubus chamaemorus L.","species","Rosaceae","N",,,,,,"Y",,"0000-0003-4951-9447","0000-0002-2868-1835","OK",,"OK - no known exceptions"
"92f0f190-201f-41fc-b8d0-ceefb8020184","BONA_070.basePlot.div","D19","BONA",65.153632,-147.509712,"WGS84",20.10,237.7,0.1,"tower","evergreenForest","BONA_070","40.1.10","2021-06-15",1,"BONA_070.1.2021","NEON.DOC.014042vL","Y","LEPA11","Ledum palustre L.","species","Ericaceae","N",,,,,,"Y",,"0000-0002-2833-9853","0000-0001-7469-7486","OK",,"OK - no known exceptions"
"6e4337cc-6c78-4db4-888a-0a02a8ed8cfd","BONA_080.basePlot.div","D19","BONA",65.153889,-147.512286,"WGS84",20.10,241.8,0.1,"tower","evergreenForest","BONA_080","40","2021-06-15",1,"BONA_080.1.2021","NEON.DOC.014042vL","Y","SPST3","Spiraea stevenii (C.K. Schneid.) Rydb.","species","Rosaceae","N",,,,,,"Y",,"0000-0003-4951-9447","0000-0002-2868-1835","OK",,"OK - no known exceptions"
"d8c7761d-42d5-4814-aec3-474eab5edf81","BONA_070.basePlot.div","D19","BONA",65.153632,-147.509712,"WGS84",20.10,237.7,0.1,"tower","evergreenForest","BONA_070","32","2021-06-15",1,"BONA_070.1.2021","NEON.DOC.014042vL","Y","SABE2","Salix bebbiana Sarg.","species","Salicaceae","N","cf. species",,,,,"Y",,"0000-0001-6603-4076","0000-0001-6603-4076","OK",,"OK - no known exceptions"
"5d4c6af2-5cdd-4852-a197-20358b32ea50","BONA_070.basePlot.div","D19","BONA",65.153632,-147.509712,"WGS84",20.10,237.7,0.1,"tower","evergreenForest","BONA_070","41.4.10","2021-06-15",1,"BONA_070.1.2021","NEON.DOC.014042vL","Y","LEPA11","Ledum palustre L.","species","Ericaceae","N",,,,,,"Y",,"0000-0001-6603-4076","0000-0003-2426-525X","OK",,"OK - no known exceptions"
"4ac754a3-3f20-461e-bdd4-0e85d8eb83a4","BONA_070.basePlot.div","D19","BONA",65.153632,-147.509712,"WGS84",20.10,237.7,0.1,"tower","evergreenForest","BONA_070","31.1.10","2021-06-15",1,"BONA_070.1.2021","NEON.DOC.014042vL","Y","ERVA4","Eriophorum vaginatum L.","species","Cyperaceae","N",,,,,,"Y",,"0000-0002-2833-9853","0000-0003-0706-769X","OK",,"OK - no known exceptions"
"f939bc81-ca44-4349-94b8-24f41037f6b5","BONA_080.basePlot.div","D19","BONA",65.153889,-147.512286,"WGS84",20.10,241.8,0.1,"tower","evergreenForest","BONA_080","41.4.10","2021-06-15",1,"BONA_080.1.2021","NEON.DOC.014042vL","Y","CALAM","Calamagrostis sp.","genus","Poaceae","N",,,,,,"Y",,"0000-0003-4951-9447","0000-0003-4951-9447","OK",,"OK - no known exceptions"
