uid,namedLocation,domainID,siteID,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,elevation,elevationUncertainty,plotType,nlcdClass,plotID,subplotID,endDate,boutNumber,eventID,samplingProtocolVersion,targetTaxaPresent,taxonID,scientificName,taxonRank,family,nativeStatusCode,identificationQualifier,taxonIDRemarks,morphospeciesID,morphospeciesIDRemarks,identificationReferences,additionalSpecies,remarks,measuredBy,recordedBy,samplingImpractical,samplingImpracticalRemarks,biophysicalCriteria
"bc64a57c-b62d-4a56-8a05-86141571d9ab","PUUM_006.basePlot.div","D20","PUUM",19.578312,-155.318129,"WGS84",20.15,1662.7,0.3,"distributed","evergreenForest","PUUM_006","40","2021-06-03",1,"PUUM_006.1.2021","NEON.DOC.014042vL","Y","PSHA3","Psychotria hawaiiensis (A. Gray) Fosberg","species","Rubiaceae","N",,,,,,"Y",,"0000-0002-8685-0449","0000-0001-6539-6921","OK",,"OK - no known exceptions"
"28fb732c-df27-4e2f-b0ee-f1990f719564","PUUM_042.basePlot.div","D20","PUUM",19.553912,-155.321175,"WGS84",10.26,1733.7,0.7,"tower","evergreenForest","PUUM_042","40.1.10","2021-06-03",1,"PUUM_042.1.2021","NEON.DOC.014042vL","Y","ELWA","Elaphoglossum wawrae (Luerss.) C. Chr.","species","Dryopteridaceae","N",,,,,,"Y",,"0000-0003-3691-6662","0000-0001-6630-0282","OK",,"OK - no known exceptions"
"bf7cee2e-96db-4547-91b0-1d580314a844","PUUM_042.basePlot.div","D20","PUUM",19.553912,-155.321175,"WGS84",10.26,1733.7,0.7,"tower","evergreenForest","PUUM_042","31","2021-06-03",1,"PUUM_042.1.2021","NEON.DOC.014042vL","Y","CLERM","Clermontia sp.","genus","Campanulaceae","UNK",,,,,,"Y",,"0000-0003-3691-6662","0000-0003-3691-6662","OK",,"OK - no known exceptions"
"78c8e3f5-c17c-43df-a787-02841297a6fa","PUUM_006.basePlot.div","D20","PUUM",19.578312,-155.318129,"WGS84",20.15,1662.7,0.3,"distributed","evergreenForest","PUUM_006","41.4.10","2021-06-03",1,"PUUM_006.1.2021","NEON.DOC.014042vL","Y","VACCI","Vaccinium sp.","genus","Ericaceae","N",,,,,,"Y",,"0000-0002-8685-0449","0000-0001-8371-3142","OK",,"OK - no known exceptions"
"a681a0c0-9d47-4285-9b38-1d255b51431f","PUUM_042.basePlot.div","D20","PUUM",19.553912,-155.321175,"WGS84",10.26,1733.7,0.7,"tower","evergreenForest","PUUM_042","41","2021-06-03",1,"PUUM_042.1.2021","NEON.DOC.014042vL","Y","ATMI","Athyrium microphyllum (J. Sm.) Alston","species","Dryopteridaceae","N",,,,,,"Y",,"0000-0003-3691-6662","0000-0001-6630-0282","OK",,"OK - no known exceptions"
"937173c3-6270-4793-9266-b421c43804df","PUUM_042.basePlot.div","D20","PUUM",19.553912,-155.321175,"WGS84",10.26,1733.7,0.7,"tower","evergreenForest","PUUM_042","40.1.10","2021-06-03",1,"PUUM_042.1.2021","NEON.DOC.014042vL","Y","MEPO5","Metrosideros polymorpha Gaudich.","species","Myrtaceae","N",,,,,,"Y",,"0000-0003-3691-6662","0000-0001-6630-0282","OK",,"OK - no known exceptions"
"88135b66-138e-4c1b-a43f-2067aab3cd32","PUUM_042.basePlot.div","D20","PUUM",19.553912,-155.321175,"WGS84",10.26,1733.7,0.7,"tower","evergreenForest","PUUM_042","31","2021-06-03",1,"PUUM_042.1.2021","NEON.DOC.014042vL","Y","LESA16","Lellingeria saffordii (Maxon) A.R. Sm. & R.C. Moran","species","Grammitidaceae","N",,,,,,"Y",,"0000-0003-3691-6662","0000-0003-3691-6662","OK",,"OK - no known exceptions"
"e68f272a-0db4-4c6b-8945-49d132ed2152","PUUM_006.basePlot.div","D20","PUUM",19.578312,-155.318129,"WGS84",20.15,1662.7,0.3,"distributed","evergreenForest","PUUM_006","40.1.10","2021-06-03",1,"PUUM_006.1.2021","NEON.DOC.014042vL","Y","GRHO2","Grammitis hookeri (Brack.) Copeland","species","Grammitidaceae","N",,,,,,"Y",,"0000-0002-8685-0449","0000-0001-6539-6921","OK",,"OK - no known exceptions"
"654bb619-f992-478f-8a04-728d0a54d06d","PUUM_006.basePlot.div","D20","PUUM",19.578312,-155.318129,"WGS84",20.15,1662.7,0.3,"distributed","evergreenForest","PUUM_006","40","2021-06-03",1,"PUUM_006.1.2021","NEON.DOC.014042vL","Y","POPEP2","Polypodium pellucidum Kaulf. var. pellucidum","variety","Polypodiaceae","N",,,,,,"Y",,"0000-0002-8685-0449","0000-0001-6539-6921","OK",,"OK - no known exceptions"
"223371ce-75b2-4db4-97ff-bf370dac6858","PUUM_006.basePlot.div","D20","PUUM",19.578312,-155.318129,"WGS84",20.15,1662.7,0.3,"distributed","evergreenForest","PUUM_006","40","2021-06-03",1,"PUUM_006.1.2021","NEON.DOC.014042vL","Y","PEPER","Peperomia sp.","genus","Piperaceae","UNK",,,,,,"Y",,"0000-0002-8685-0449","0000-0001-6539-6921","OK",,"OK - no known exceptions"
"7f5d610f-9042-4b0c-91b3-d8832f9a7483","PUUM_042.basePlot.div","D20","PUUM",19.553912,-155.321175,"WGS84",10.26,1733.7,0.7,"tower","evergreenForest","PUUM_042","41","2021-06-03",1,"PUUM_042.1.2021","NEON.DOC.014042vL","Y","ELHI3","Elaphoglossum hirtum (Sw.) C. Chr.","species","Dryopteridaceae","N",,,,,,"Y",,"0000-0003-3691-6662","0000-0001-6630-0282","OK",,"OK - no known exceptions"
"8d513af9-c91f-46a5-b1e4-484dc2ea7fd9","PUUM_006.basePlot.div","D20","PUUM",19.578312,-155.318129,"WGS84",20.15,1662.7,0.3,"distributed","evergreenForest","PUUM_006","40","2021-06-03",1,"PUUM_006.1.2021","NEON.DOC.014042vL","Y","CAAL12","Carex alligata Boott","species","Cyperaceae","N",,,,,,"Y",,"0000-0002-8685-0449","0000-0001-6539-6921","OK",,"OK - no known exceptions"
"ecec9e61-81f7-40f3-9790-e903404eca8a","PUUM_006.basePlot.div","D20","PUUM",19.578312,-155.318129,"WGS84",20.15,1662.7,0.3,"distributed","evergreenForest","PUUM_006","41","2021-06-03",1,"PUUM_006.1.2021","NEON.DOC.014042vL","Y","PEPER","Peperomia sp.","genus","Piperaceae","UNK",,,,,,"Y",,"0000-0002-8685-0449","0000-0001-8371-3142","OK",,"OK - no known exceptions"
"c0d4f522-a725-4764-ba1b-e23680bb8771","PUUM_006.basePlot.div","D20","PUUM",19.578312,-155.318129,"WGS84",20.15,1662.7,0.3,"distributed","evergreenForest","PUUM_006","31.1.10","2021-06-03",1,"PUUM_006.1.2021","NEON.DOC.014042vL","Y","COPRO","Coprosma sp.","genus","Rubiaceae","N",,,,,,"Y",,"0000-0002-8685-0449","0000-0001-8371-3142","OK",,"OK - no known exceptions"
"378e7301-3455-4e30-8a6e-67619df12513","PUUM_006.basePlot.div","D20","PUUM",19.578312,-155.318129,"WGS84",20.15,1662.7,0.3,"distributed","evergreenForest","PUUM_006","31","2021-06-03",1,"PUUM_006.1.2021","NEON.DOC.014042vL","Y","ELHI3","Elaphoglossum hirtum (Sw.) C. Chr.","species","Dryopteridaceae","N",,,,,,"Y",,"0000-0002-8685-0449","0000-0001-8371-3142","OK",,"OK - no known exceptions"
"53e4aa33-759b-4320-ada0-9c125c5eefbf","PUUM_042.basePlot.div","D20","PUUM",19.553912,-155.321175,"WGS84",10.26,1733.7,0.7,"tower","evergreenForest","PUUM_042","41.4.10","2021-06-03",1,"PUUM_042.1.2021","NEON.DOC.014042vL","Y","DRWA","Dryopteris wallichiana (Spreng.) Hyl.","species","Dryopteridaceae","N",,,,,,"Y",,"0000-0003-3691-6662","0000-0001-6630-0282","OK",,"OK - no known exceptions"
"0f06659f-d9fb-4230-95e1-b9f7948c1d21","PUUM_006.basePlot.div","D20","PUUM",19.578312,-155.318129,"WGS84",20.15,1662.7,0.3,"distributed","evergreenForest","PUUM_006","31","2021-06-03",1,"PUUM_006.1.2021","NEON.DOC.014042vL","Y","RUHA","Rubus hawaiensis A. Gray","species","Rosaceae","N",,,,,,"Y",,"0000-0002-8685-0449","0000-0001-8371-3142","OK",,"OK - no known exceptions"
"fdcf47ed-b80b-4ddd-a49c-9e9440d31b67","PUUM_006.basePlot.div","D20","PUUM",19.578312,-155.318129,"WGS84",20.15,1662.7,0.3,"distributed","evergreenForest","PUUM_006","41.4.10","2021-06-03",1,"PUUM_006.1.2021","NEON.DOC.014042vL","Y","CHTR2","Cheirodendron trigynum (Gaudich.) A. Heller","species","Araliaceae","N",,,,,,"Y",,"0000-0002-8685-0449","0000-0001-8371-3142","OK",,"OK - no known exceptions"
