uid,namedLocation,domainID,siteID,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,elevation,elevationUncertainty,plotType,nlcdClass,plotID,subplotID,endDate,boutNumber,eventID,samplingProtocolVersion,divDataType,targetTaxaPresent,otherVariablesPresent,taxonID,scientificName,taxonRank,family,nativeStatusCode,identificationQualifier,taxonIDRemarks,morphospeciesID,morphospeciesIDRemarks,identificationReferences,otherVariables,percentCover,heightPlantOver300cm,heightPlantSpecies,remarks,measuredBy,recordedBy,samplingImpractical,samplingImpracticalRemarks,biophysicalCriteria
"9c57a0c5-7a86-45b9-9250-045e73648e65","SCBI_043.basePlot.div","D02","SCBI",38.890577,-78.151569,"WGS84",20.10,366.7,0.1,"distributed","pastureHay","SCBI_043","40.1.1","2021-08-02",1,"SCBI_043.1.2021","NEON.DOC.014042vL","plantSpecies","Y","Y","DAGL","Dactylis glomerata L.","species","Poaceae","I",,,,,,,20.00,"N",,,"0000-0001-8122-5196","0000-0003-1337-5330","OK",,"conditions not met: most plants senesced"
"d1ea9b2a-3c39-4c11-80f6-f760dd41cfec","SCBI_043.basePlot.div","D02","SCBI",38.890577,-78.151569,"WGS84",20.10,366.7,0.1,"distributed","pastureHay","SCBI_043","41.4.1","2021-08-02",1,"SCBI_043.1.2021","NEON.DOC.014042vL","otherVariables","Y","Y",,,,,,,,,,,"standingDeadWoody",0.50,,,,"0000-0001-8122-5196","0000-0003-1337-5330","OK",,"conditions not met: most plants senesced"
"46450c78-1e52-42c1-8e6a-1c435395f254","SCBI_043.basePlot.div","D02","SCBI",38.890577,-78.151569,"WGS84",20.10,366.7,0.1,"distributed","pastureHay","SCBI_043","40.3.1","2021-08-02",1,"SCBI_043.1.2021","NEON.DOC.014042vL","plantSpecies","Y","Y","APCA","Apocynum cannabinum L.","species","Apocynaceae","N",,,,,,,0.50,"N",,,"0000-0001-8122-5196","0000-0003-1337-5330","OK",,"conditions not met: most plants senesced"
"45c52a4c-e82f-45d6-b7a6-a1fb0ae1a43b","SCBI_006.basePlot.div","D02","SCBI",38.897609,-78.152007,"WGS84",20.10,297.9,0.1,"distributed","pastureHay","SCBI_006","40.3.1","2021-08-02",1,"SCBI_006.1.2021","NEON.DOC.014042vL","plantSpecies","Y","Y","RUOC","Rubus occidentalis L.","species","Rosaceae","N",,,,,,,0.50,"N",,,"0000-0001-8122-5196","0000-0003-1337-5330","OK",,"conditions not met: most plants senesced"
"109fa33b-b7a8-4438-9fcb-a17c63b6117e","SCBI_006.basePlot.div","D02","SCBI",38.897609,-78.152007,"WGS84",20.10,297.9,0.1,"distributed","pastureHay","SCBI_006","40.1.1","2021-08-02",1,"SCBI_006.1.2021","NEON.DOC.014042vL","plantSpecies","Y","Y","DAGL","Dactylis glomerata L.","species","Poaceae","I",,,,,,,3.00,"N",,,"0000-0001-8122-5196","0000-0003-1337-5330","OK",,"conditions not met: most plants senesced"
"0bd97360-b5ad-4f03-afa4-e338294d114c","SCBI_006.basePlot.div","D02","SCBI",38.897609,-78.152007,"WGS84",20.10,297.9,0.1,"distributed","pastureHay","SCBI_006","41.4.1","2021-08-02",1,"SCBI_006.1.2021","NEON.DOC.014042vL","plantSpecies","Y","Y","MOFI","Monarda fistulosa L.","species","Lamiaceae","N",,,,,,,0.50,"N",,,"0000-0001-8122-5196","0000-0003-1337-5330","OK",,"conditions not met: most plants senesced"
"f482004d-317e-4459-a33d-fcd793e9d241","SCBI_043.basePlot.div","D02","SCBI",38.890577,-78.151569,"WGS84",20.10,366.7,0.1,"distributed","pastureHay","SCBI_043","32.2.1","2021-08-02",1,"SCBI_043.1.2021","NEON.DOC.014042vL","plantSpecies","Y","Y","ROPS","Robinia pseudoacacia L.","species","Fabaceae","N",,,,,,,3.00,"N",,,"0000-0001-8122-5196","0000-0003-1337-5330","OK",,"conditions not met: most plants senesced"
"5cd88843-475a-4028-9613-df268f2d6996","SCBI_006.basePlot.div","D02","SCBI",38.897609,-78.152007,"WGS84",20.10,297.9,0.1,"distributed","pastureHay","SCBI_006","32.4.1","2021-08-02",1,"SCBI_006.1.2021","NEON.DOC.014042vL","plantSpecies","Y","Y","PAQU2","Parthenocissus quinquefolia (L.) Planch.","species","Vitaceae","N",,,,,,,2.00,"N",,,"0000-0001-8122-5196","0000-0003-1337-5330","OK",,"conditions not met: most plants senesced"
"69b45720-29e0-4c7d-b894-4387faface42","SCBI_043.basePlot.div","D02","SCBI",38.890577,-78.151569,"WGS84",20.10,366.7,0.1,"distributed","pastureHay","SCBI_043","40.1.1","2021-08-02",1,"SCBI_043.1.2021","NEON.DOC.014042vL","plantSpecies","Y","Y","ASSY","Asclepias syriaca L.","species","Asclepiadaceae","N",,,,,,,3.00,"N",,,"0000-0001-8122-5196","0000-0003-1337-5330","OK",,"conditions not met: most plants senesced"
"93025799-0bd6-4e0d-91ca-f2c2ebc1b2ec","SCBI_043.basePlot.div","D02","SCBI",38.890577,-78.151569,"WGS84",20.10,366.7,0.1,"distributed","pastureHay","SCBI_043","31.1.1","2021-08-02",1,"SCBI_043.1.2021","NEON.DOC.014042vL","plantSpecies","Y","Y","PHPR3","Phleum pratense L.","species","Poaceae","I",,,,,,,1.00,"N",,,"0000-0001-8122-5196","0000-0003-1337-5330","OK",,"conditions not met: most plants senesced"
"f8d4d90e-314c-43b0-a579-a9499a5e4acd","SCBI_043.basePlot.div","D02","SCBI",38.890577,-78.151569,"WGS84",20.10,366.7,0.1,"distributed","pastureHay","SCBI_043","40.1.1","2021-08-02",1,"SCBI_043.1.2021","NEON.DOC.014042vL","otherVariables","Y","Y",,,,,,,,,,,"soil",9.00,,,,"0000-0001-8122-5196","0000-0003-1337-5330","OK",,"conditions not met: most plants senesced"
"cefe7792-f20d-404a-9cd8-502b76b240f7","SCBI_006.basePlot.div","D02","SCBI",38.897609,-78.152007,"WGS84",20.10,297.9,0.1,"distributed","pastureHay","SCBI_006","32.2.1","2021-08-02",1,"SCBI_006.1.2021","NEON.DOC.014042vL","plantSpecies","Y","Y","PHPR3","Phleum pratense L.","species","Poaceae","I",,,,,,,2.00,"N",,,"0000-0001-8122-5196","0000-0003-1337-5330","OK",,"conditions not met: most plants senesced"
"9f784e8d-a74c-4102-9e8c-754658d4abc5","SCBI_043.basePlot.div","D02","SCBI",38.890577,-78.151569,"WGS84",20.10,366.7,0.1,"distributed","pastureHay","SCBI_043","32.4.1","2021-08-02",1,"SCBI_043.1.2021","NEON.DOC.014042vL","plantSpecies","Y","Y","VEOC","Verbesina occidentalis (L.) Walter","species","Asteraceae","N",,,,,,,3.00,"N",,,"0000-0001-8122-5196","0000-0003-1337-5330","OK",,"conditions not met: most plants senesced"
"198729de-f36e-48dc-86b4-f89febaed520","SCBI_006.basePlot.div","D02","SCBI",38.897609,-78.152007,"WGS84",20.10,297.9,0.1,"distributed","pastureHay","SCBI_006","41.4.1","2021-08-02",1,"SCBI_006.1.2021","NEON.DOC.014042vL","otherVariables","Y","Y",,,,,,,,,,,"litter",87.00,,,,"0000-0001-8122-5196","0000-0003-1337-5330","OK",,"conditions not met: most plants senesced"
"14cbaf23-164b-412b-87eb-21756d731e5a","SCBI_043.basePlot.div","D02","SCBI",38.890577,-78.151569,"WGS84",20.10,366.7,0.1,"distributed","pastureHay","SCBI_043","32.4.1","2021-08-02",1,"SCBI_043.1.2021","NEON.DOC.014042vL","plantSpecies","Y","Y","ASVI","Asclepias viridiflora Raf.","species","Asclepiadaceae","N","cf. species",,,,,,1.00,"N",,,"0000-0001-8122-5196","0000-0003-1337-5330","OK",,"conditions not met: most plants senesced"
"8e3a1091-1f6a-4afb-88a4-1a834ad4e8cb","SCBI_043.basePlot.div","D02","SCBI",38.890577,-78.151569,"WGS84",20.10,366.7,0.1,"distributed","pastureHay","SCBI_043","32.4.1","2021-08-02",1,"SCBI_043.1.2021","NEON.DOC.014042vL","otherVariables","Y","Y",,,,,,,,,,,"standingDeadWoody",0.50,,,,"0000-0001-8122-5196","0000-0003-1337-5330","OK",,"conditions not met: most plants senesced"
"f342070a-156c-4647-b68a-42c72d3fb8c0","SCBI_006.basePlot.div","D02","SCBI",38.897609,-78.152007,"WGS84",20.10,297.9,0.1,"distributed","pastureHay","SCBI_006","40.3.1","2021-08-02",1,"SCBI_006.1.2021","NEON.DOC.014042vL","plantSpecies","Y","Y","PHPR3","Phleum pratense L.","species","Poaceae","I",,,,,,,0.50,"N",,,"0000-0001-8122-5196","0000-0003-1337-5330","OK",,"conditions not met: most plants senesced"
"77401f68-ddc0-4da4-bab8-08b1f7c0150e","SCBI_006.basePlot.div","D02","SCBI",38.897609,-78.152007,"WGS84",20.10,297.9,0.1,"distributed","pastureHay","SCBI_006","32.2.1","2021-08-02",1,"SCBI_006.1.2021","NEON.DOC.014042vL","plantSpecies","Y","Y","POPRP2","Poa pratensis L. ssp. pratensis","subspecies","Poaceae","I",,,,,,,5.00,"N",,,"0000-0001-8122-5196","0000-0003-1337-5330","OK",,"conditions not met: most plants senesced"
"5aa7ae4a-103f-4c7a-8a60-3a816d11c9b7","SCBI_006.basePlot.div","D02","SCBI",38.897609,-78.152007,"WGS84",20.10,297.9,0.1,"distributed","pastureHay","SCBI_006","41.4.1","2021-08-02",1,"SCBI_006.1.2021","NEON.DOC.014042vL","otherVariables","Y","Y",,,,,,,,,,,"standingDeadWoody",0.50,,,,"0000-0001-8122-5196","0000-0003-1337-5330","OK",,"conditions not met: most plants senesced"
"2768b136-c0e7-405a-ace7-156d2bd48eda","SCBI_043.basePlot.div","D02","SCBI",38.890577,-78.151569,"WGS84",20.10,366.7,0.1,"distributed","pastureHay","SCBI_043","40.3.1","2021-08-02",1,"SCBI_043.1.2021","NEON.DOC.014042vL","plantSpecies","Y","Y","PAQU2","Parthenocissus quinquefolia (L.) Planch.","species","Vitaceae","N",,,,,,,2.00,"N",,,"0000-0001-8122-5196","0000-0003-1337-5330","OK",,"conditions not met: most plants senesced"
