uid,namedLocation,domainID,siteID,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,elevation,elevationUncertainty,plotType,nlcdClass,plotID,subplotID,endDate,boutNumber,eventID,samplingProtocolVersion,divDataType,targetTaxaPresent,otherVariablesPresent,taxonID,scientificName,taxonRank,family,nativeStatusCode,identificationQualifier,taxonIDRemarks,morphospeciesID,morphospeciesIDRemarks,identificationReferences,otherVariables,percentCover,heightPlantOver300cm,heightPlantSpecies,remarks,measuredBy,recordedBy,samplingImpractical,samplingImpracticalRemarks,biophysicalCriteria
"8db503da-f35a-4560-a21a-b976034a06e8","OSBS_026.basePlot.div","D03","OSBS",29.693584,-81.992056,"WGS84",20.10,42.8,0.1,"tower","evergreenForest","OSBS_026","40.1.1","2021-09-01",1,"OSBS_026.1.2021","NEON.DOC.014042vL","plantSpecies","Y","Y","CRRO5","Crotalaria rotundifolia Walter ex J.F. Gmel.","species","Fabaceae","N",,,,,,,1.00,"N",,,"0000-0001-5833-8133","0000-0001-6893-5601","OK",,"OK - no known exceptions"
"733985fd-5f75-4d7e-8522-9bb002ac2976","OSBS_026.basePlot.div","D03","OSBS",29.693584,-81.992056,"WGS84",20.10,42.8,0.1,"tower","evergreenForest","OSBS_026","41.4.1","2021-09-01",1,"OSBS_026.1.2021","NEON.DOC.014042vL","plantSpecies","Y","Y","ARBE7","Aristida beyrichiana Trin. & Rupr.","species","Poaceae","N",,,,,,,10.00,"N",,,"0000-0001-5833-8133","0000-0001-6893-5601","OK",,"OK - no known exceptions"
"27fadf47-37f5-4ae5-8b3e-6a02e0b58c3c","OSBS_026.basePlot.div","D03","OSBS",29.693584,-81.992056,"WGS84",20.10,42.8,0.1,"tower","evergreenForest","OSBS_026","32.4.1","2021-09-01",1,"OSBS_026.1.2021","NEON.DOC.014042vL","plantSpecies","Y","Y","ARBE7","Aristida beyrichiana Trin. & Rupr.","species","Poaceae","N",,,,,,,30.00,"N",,,"0000-0001-5833-8133","0000-0001-6893-5601","OK",,"OK - no known exceptions"
"6031d5b8-8a3c-4af1-9b5c-6bfaece7e892","OSBS_026.basePlot.div","D03","OSBS",29.693584,-81.992056,"WGS84",20.10,42.8,0.1,"tower","evergreenForest","OSBS_026","41.4.1","2021-09-01",1,"OSBS_026.1.2021","NEON.DOC.014042vL","otherVariables","Y","Y",,,,,,,,,,,"litter",85.00,,,,"0000-0001-5833-8133","0000-0001-6893-5601","OK",,"OK - no known exceptions"
"ea72145e-2e1d-4a7c-9496-2e48e71cf76a","OSBS_026.basePlot.div","D03","OSBS",29.693584,-81.992056,"WGS84",20.10,42.8,0.1,"tower","evergreenForest","OSBS_026","40.3.1","2021-09-01",1,"OSBS_026.1.2021","NEON.DOC.014042vL","plantSpecies","Y","Y","TRUR","Tragia urens L.","species","Euphorbiaceae","N",,,,,,,0.50,"N",,,"0000-0001-5833-8133","0000-0001-6893-5601","OK",,"OK - no known exceptions"
"47c011a8-533f-42a9-83f5-846b60831324","OSBS_026.basePlot.div","D03","OSBS",29.693584,-81.992056,"WGS84",20.10,42.8,0.1,"tower","evergreenForest","OSBS_026","31.1.1","2021-09-01",1,"OSBS_026.1.2021","NEON.DOC.014042vL","plantSpecies","Y","Y","SMLA","Smilax laurifolia L.","species","Smilacaceae","N","cf. species",,,,,,1.00,"N",,,"0000-0001-5833-8133","0000-0001-6893-5601","OK",,"OK - no known exceptions"
"d9b3796c-3c6f-47ca-87aa-53ed8d63fe71","OSBS_026.basePlot.div","D03","OSBS",29.693584,-81.992056,"WGS84",20.10,42.8,0.1,"tower","evergreenForest","OSBS_026","41.4.1","2021-09-01",1,"OSBS_026.1.2021","NEON.DOC.014042vL","otherVariables","Y","Y",,,,,,,,,,,"standingDeadHerbaceous",6.00,,,,"0000-0001-5833-8133","0000-0001-6893-5601","OK",,"OK - no known exceptions"
"b672ab45-eda3-4715-94e1-41031d91bc9c","OSBS_026.basePlot.div","D03","OSBS",29.693584,-81.992056,"WGS84",20.10,42.8,0.1,"tower","evergreenForest","OSBS_026","40.1.1","2021-09-01",1,"OSBS_026.1.2021","NEON.DOC.014042vL","plantSpecies","Y","Y","ASIN12","Asimina incana (W. Bartram) Exell","species","Annonaceae","N",,,,,,,0.50,"N",,,"0000-0001-5833-8133","0000-0001-6893-5601","OK",,"OK - no known exceptions"
"d976174d-617c-4bac-99af-fa9ddac4d739","OSBS_026.basePlot.div","D03","OSBS",29.693584,-81.992056,"WGS84",20.10,42.8,0.1,"tower","evergreenForest","OSBS_026","32.4.1","2021-09-01",1,"OSBS_026.1.2021","NEON.DOC.014042vL","plantSpecies","Y","Y","DICHA2SPP","Dichanthelium spp.","genus","Poaceae","N","cf. genus","Seedling",,,,,0.50,"N",,,"0000-0001-5833-8133","0000-0001-6893-5601","OK",,"OK - no known exceptions"
"44100c12-7914-4a93-9030-24432dd7f346","OSBS_026.basePlot.div","D03","OSBS",29.693584,-81.992056,"WGS84",20.10,42.8,0.1,"tower","evergreenForest","OSBS_026","41.4.1","2021-09-01",1,"OSBS_026.1.2021","NEON.DOC.014042vL","plantSpecies","Y","Y","OPHU","Opuntia humifusa (Raf.) Raf.","species","Cactaceae","N",,,,,,,0.50,"N",,,"0000-0001-5833-8133","0000-0001-6893-5601","OK",,"OK - no known exceptions"
"54d38bf4-1bf8-466f-a7a4-90a10f06405d","OSBS_026.basePlot.div","D03","OSBS",29.693584,-81.992056,"WGS84",20.10,42.8,0.1,"tower","evergreenForest","OSBS_026","40.3.1","2021-09-01",1,"OSBS_026.1.2021","NEON.DOC.014042vL","otherVariables","Y","Y",,,,,,,,,,,"standingDeadHerbaceous",10.00,,,,"0000-0001-5833-8133","0000-0001-6893-5601","OK",,"OK - no known exceptions"
"6c0ac689-41b5-412d-98eb-767b9370b961","OSBS_026.basePlot.div","D03","OSBS",29.693584,-81.992056,"WGS84",20.10,42.8,0.1,"tower","evergreenForest","OSBS_026","40.1.1","2021-09-01",1,"OSBS_026.1.2021","NEON.DOC.014042vL","otherVariables","Y","Y",,,,,,,,,,,"soil",30.00,,,,"0000-0001-5833-8133","0000-0001-6893-5601","OK",,"OK - no known exceptions"
"b6db7f3c-92a2-4ca1-85a1-547fcac77255","OSBS_026.basePlot.div","D03","OSBS",29.693584,-81.992056,"WGS84",20.10,42.8,0.1,"tower","evergreenForest","OSBS_026","31.1.1","2021-09-01",1,"OSBS_026.1.2021","NEON.DOC.014042vL","otherVariables","Y","Y",,,,,,,,,,,"biocrustMoss",4.00,,,,"0000-0001-5833-8133","0000-0001-6893-5601","OK",,"OK - no known exceptions"
"e8d035f4-4266-4023-94ac-6451e4ba4a53","OSBS_026.basePlot.div","D03","OSBS",29.693584,-81.992056,"WGS84",20.10,42.8,0.1,"tower","evergreenForest","OSBS_026","32.2.1","2021-09-01",1,"OSBS_026.1.2021","NEON.DOC.014042vL","otherVariables","Y","Y",,,,,,,,,,,"standingDeadHerbaceous",3.00,,,,"0000-0001-5833-8133","0000-0001-6893-5601","OK",,"OK - no known exceptions"
"84eadc77-d3a1-4262-8317-8cdffe09ab01","OSBS_026.basePlot.div","D03","OSBS",29.693584,-81.992056,"WGS84",20.10,42.8,0.1,"tower","evergreenForest","OSBS_026","40.3.1","2021-09-01",1,"OSBS_026.1.2021","NEON.DOC.014042vL","plantSpecies","Y","Y","STSE3","Stipulicida setacea Michx.","species","Caryophyllaceae","N",,,,,,,0.50,"N",,,"0000-0001-5833-8133","0000-0001-6893-5601","OK",,"OK - no known exceptions"
