uid,namedLocation,domainID,siteID,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,elevation,elevationUncertainty,plotType,nlcdClass,plotID,subplotID,endDate,boutNumber,eventID,samplingProtocolVersion,divDataType,targetTaxaPresent,otherVariablesPresent,taxonID,scientificName,taxonRank,family,nativeStatusCode,identificationQualifier,taxonIDRemarks,morphospeciesID,morphospeciesIDRemarks,identificationReferences,otherVariables,percentCover,heightPlantOver300cm,heightPlantSpecies,remarks,measuredBy,recordedBy,samplingImpractical,samplingImpracticalRemarks,biophysicalCriteria
"d8213992-1491-4c27-bd9f-81870ee9c2b3","CLBJ_057.basePlot.div","D11","CLBJ",33.372827,-97.641290,"WGS84",20.10,322.2,0.1,"distributed","deciduousForest","CLBJ_057","40.1.1","2019-06-05",1,"CLBJ_057.1.2019","NEON.DOC.014042vG","otherVariables","Y","Y",,,,,,,,,,,"litter",80.00,,,,"0000-0001-7269-5663","0000-0002-2543-4353",,,
"eb91fc15-597a-48a4-9051-c983cbc7f4e5","CLBJ_040.basePlot.div","D11","CLBJ",33.378824,-97.646691,"WGS84",20.10,330.4,0.1,"distributed","deciduousForest","CLBJ_040","32.2.1","2019-06-05",1,"CLBJ_040.1.2019","NEON.DOC.014042vG","plantSpecies","Y","Y","SYOR","Symphoricarpos orbiculatus Moench","species","Caprifoliaceae","N",,,,,,,16.00,"N",,,"0000-0001-7269-5663","0000-0002-2543-4353",,,
"1158adc0-fd2a-408d-9178-570cb13119cc","CLBJ_057.basePlot.div","D11","CLBJ",33.372827,-97.641290,"WGS84",20.10,322.2,0.1,"distributed","deciduousForest","CLBJ_057","40.1.1","2019-06-05",1,"CLBJ_057.1.2019","NEON.DOC.014042vG","plantSpecies","Y","Y","LEPR","Lespedeza procumbens Michx.","species","Fabaceae","N",,,,,,,5.00,"N",,,"0000-0001-7269-5663","0000-0002-2543-4353",,,
"3f581371-df1a-4850-bd9f-6dc7ebf166e3","CLBJ_057.basePlot.div","D11","CLBJ",33.372827,-97.641290,"WGS84",20.10,322.2,0.1,"distributed","deciduousForest","CLBJ_057","32.4.1","2019-06-05",1,"CLBJ_057.1.2019","NEON.DOC.014042vG","plantSpecies","Y","Y","ERHI","Eragrostis hirsuta (Michx.) Nees","species","Poaceae","N",,,,,,,1.00,"N",,,"0000-0001-7269-5663","0000-0002-2543-4353",,,
"50f4f2ad-7447-4478-b2dc-67431a5e3d01","CLBJ_040.basePlot.div","D11","CLBJ",33.378824,-97.646691,"WGS84",20.10,330.4,0.1,"distributed","deciduousForest","CLBJ_040","32.4.1","2019-06-05",1,"CLBJ_040.1.2019","NEON.DOC.014042vG","otherVariables","Y","Y",,,,,,,,,,,"standingDead",3.00,,,,"0000-0001-7269-5663","0000-0002-2543-4353",,,
"3b778fe5-0064-4b87-80d7-0b35dc5f70ed","CLBJ_057.basePlot.div","D11","CLBJ",33.372827,-97.641290,"WGS84",20.10,322.2,0.1,"distributed","deciduousForest","CLBJ_057","40.1.1","2019-06-05",1,"CLBJ_057.1.2019","NEON.DOC.014042vG","plantSpecies","Y","Y","QUST","Quercus stellata Wangenh.","species","Fagaceae","N",,,,,,,1.00,"N",,,"0000-0001-7269-5663","0000-0002-2543-4353",,,
"de8055f7-8259-4b66-870c-a4dbfe670291","CLBJ_057.basePlot.div","D11","CLBJ",33.372827,-97.641290,"WGS84",20.10,322.2,0.1,"distributed","deciduousForest","CLBJ_057","32.2.1","2019-06-05",1,"CLBJ_057.1.2019","NEON.DOC.014042vG","otherVariables","Y","Y",,,,,,,,,,,"lichen",1.00,,,,"0000-0001-7269-5663","0000-0002-2543-4353",,,
"f237954c-864f-4a1b-a0bf-2a94c7d36ebd","CLBJ_057.basePlot.div","D11","CLBJ",33.372827,-97.641290,"WGS84",20.10,322.2,0.1,"distributed","deciduousForest","CLBJ_057","31.1.1","2019-06-05",1,"CLBJ_057.1.2019","NEON.DOC.014042vG","otherVariables","Y","Y",,,,,,,,,,,"lichen",0.50,,,,"0000-0001-7269-5663","0000-0002-2543-4353",,,
"b8a76af7-cb49-4b46-a47c-2be7a4161e92","CLBJ_040.basePlot.div","D11","CLBJ",33.378824,-97.646691,"WGS84",20.10,330.4,0.1,"distributed","deciduousForest","CLBJ_040","31.1.1","2019-06-05",1,"CLBJ_040.1.2019","NEON.DOC.014042vG","otherVariables","Y","Y",,,,,,,,,,,"standingDead",0.50,,,,"0000-0001-7269-5663","0000-0002-2543-4353",,,
"9a3271b4-f535-4216-a96e-614a281381d0","CLBJ_040.basePlot.div","D11","CLBJ",33.378824,-97.646691,"WGS84",20.10,330.4,0.1,"distributed","deciduousForest","CLBJ_040","31.1.1","2019-06-05",1,"CLBJ_040.1.2019","NEON.DOC.014042vG","plantSpecies","Y","Y","TRFL2","Tridens flavus (L.) Hitchc.","species","Poaceae","N","cf. species",,,,,,0.50,"N",,,"0000-0001-7269-5663","0000-0002-2543-4353",,,
