uid,namedLocation,domainID,siteID,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,elevation,elevationUncertainty,plotType,nlcdClass,plotID,subplotID,endDate,boutNumber,eventID,samplingProtocolVersion,divDataType,targetTaxaPresent,otherVariablesPresent,taxonID,scientificName,taxonRank,family,nativeStatusCode,identificationQualifier,taxonIDRemarks,morphospeciesID,morphospeciesIDRemarks,identificationReferences,otherVariables,percentCover,heightPlantOver300cm,heightPlantSpecies,remarks,measuredBy,recordedBy,samplingImpractical,samplingImpracticalRemarks,biophysicalCriteria
"2d2f611c-8161-4fc0-82eb-190a4525ac7d","YELL_002.basePlot.div","D12","YELL",44.932467,-110.634896,"WGS84",20.01,2125.1,0.0,"distributed","shrubScrub","YELL_002","31.1.1","2021-06-21",1,"YELL_002.1.2021","NEON.DOC.014042vL","plantSpecies","Y","Y","PHMU3","Phlox multiflora A. Nelson","species","Polemoniaceae","N",,,,,,,2.00,"N",,,"0000-0002-3973-0882","0000-0001-7752-1312","OK",,"OK - no known exceptions"
"ee13920f-f48b-4d9f-b982-12e07c8e798f","YELL_002.basePlot.div","D12","YELL",44.932467,-110.634896,"WGS84",20.01,2125.1,0.0,"distributed","shrubScrub","YELL_002","31.1.1","2021-06-21",1,"YELL_002.1.2021","NEON.DOC.014042vL","plantSpecies","Y","Y","ARTR2","Artemisia tridentata Nutt.","species","Asteraceae","N",,,,,,,25.00,"N",,,"0000-0002-3973-0882","0000-0001-7752-1312","OK",,"OK - no known exceptions"
"55b5dbdb-0eaf-4ad4-95b0-724033ac238e","YELL_002.basePlot.div","D12","YELL",44.932467,-110.634896,"WGS84",20.01,2125.1,0.0,"distributed","shrubScrub","YELL_002","31.1.1","2021-06-21",1,"YELL_002.1.2021","NEON.DOC.014042vL","plantSpecies","Y","Y","DAIN","Danthonia intermedia Vasey","species","Poaceae","N",,,,,,,0.50,"N",,,"0000-0002-3973-0882","0000-0001-7752-1312","OK",,"OK - no known exceptions"
"12cd5de0-4517-4bd5-b9c9-a22593aab15d","YELL_002.basePlot.div","D12","YELL",44.932467,-110.634896,"WGS84",20.01,2125.1,0.0,"distributed","shrubScrub","YELL_002","31.1.1","2021-06-21",1,"YELL_002.1.2021","NEON.DOC.014042vL","otherVariables","Y","Y",,,,,,,,,,,"moss",0.50,,,,"0000-0002-3973-0882","0000-0001-7752-1312","OK",,"OK - no known exceptions"
"0c621be0-adfc-49bd-a701-f56bd62fddbc","YELL_002.basePlot.div","D12","YELL",44.932467,-110.634896,"WGS84",20.01,2125.1,0.0,"distributed","shrubScrub","YELL_002","31.1.1","2021-06-21",1,"YELL_002.1.2021","NEON.DOC.014042vL","plantSpecies","Y","Y","TAOF","Taraxacum officinale F.H. Wigg.","species","Asteraceae","NI",,,,,,,0.50,"N",,,"0000-0002-3973-0882","0000-0001-7752-1312","OK",,"OK - no known exceptions"
"b0100814-647c-4107-9595-333f9db2d882","YELL_002.basePlot.div","D12","YELL",44.932467,-110.634896,"WGS84",20.01,2125.1,0.0,"distributed","shrubScrub","YELL_002","31.1.1","2021-06-21",1,"YELL_002.1.2021","NEON.DOC.014042vL","plantSpecies","Y","Y","FEID","Festuca idahoensis Elmer","species","Poaceae","N",,,,,,,0.50,"N",,"Collected","0000-0002-3973-0882","0000-0001-7752-1312","OK",,"OK - no known exceptions"
"efb1ae00-0be7-42bb-8569-ce6c7c07257b","YELL_002.basePlot.div","D12","YELL",44.932467,-110.634896,"WGS84",20.01,2125.1,0.0,"distributed","shrubScrub","YELL_002","31.1.1","2021-06-21",1,"YELL_002.1.2021","NEON.DOC.014042vL","plantSpecies","Y","Y","ERUM","Eriogonum umbellatum Torr.","species","Polygonaceae","N",,,,,,,5.00,"N",,,"0000-0002-3973-0882","0000-0001-7752-1312","OK",,"OK - no known exceptions"
"896260ef-2a79-4c8e-b244-3c8a33e6ce7b","YELL_002.basePlot.div","D12","YELL",44.932467,-110.634896,"WGS84",20.01,2125.1,0.0,"distributed","shrubScrub","YELL_002","31.1.1","2021-06-21",1,"YELL_002.1.2021","NEON.DOC.014042vL","plantSpecies","Y","Y","POGR9","Potentilla gracilis Douglas ex Hook.","species","Rosaceae","N",,,,,,,0.50,"N",,,"0000-0002-3973-0882","0000-0001-7752-1312","OK",,"OK - no known exceptions"
"9fc95ccc-f2e9-4a25-a97b-66b1bfa68fc6","YELL_002.basePlot.div","D12","YELL",44.932467,-110.634896,"WGS84",20.01,2125.1,0.0,"distributed","shrubScrub","YELL_002","31.1.1","2021-06-21",1,"YELL_002.1.2021","NEON.DOC.014042vL","otherVariables","Y","Y",,,,,,,,,,,"wood",0.50,,,,"0000-0002-3973-0882","0000-0001-7752-1312","OK",,"OK - no known exceptions"
"6e58b082-902e-49fa-a6d3-9f0546e0b50a","YELL_002.basePlot.div","D12","YELL",44.932467,-110.634896,"WGS84",20.01,2125.1,0.0,"distributed","shrubScrub","YELL_002","31.1.1","2021-06-21",1,"YELL_002.1.2021","NEON.DOC.014042vL","otherVariables","Y","Y",,,,,,,,,,,"soil",1.00,,,,"0000-0002-3973-0882","0000-0001-7752-1312","OK",,"OK - no known exceptions"
