date,wssRHMean,wssRHMinimum,wssRHMaximum,wssRHVariance,wssRHStdErMean,wssRHNumPts,RHQF,wssDewTempMean,wssDewTempMinimum,wssDewTempMaximum,wssDewTempVariance,wssDewTempStdErMean,wssDewTempNumPts,dewTempQF
"2019-10-01",89.02,70.49,98.19,68.42,0.04,43200.0,0,12.494,8.175,16.826,6.968,0.013,43200.0,0
"2019-10-02",90.15,68.84,97.32,25.35,0.02,43200.0,0,17.076,10.890,18.826,1.808,0.006,43200.0,0
"2019-10-03",84.40,70.31,98.32,74.74,0.04,43200.0,0,4.741,2.043,11.130,3.204,0.009,43200.0,0
"2019-10-04",81.28,52.63,99.58,297.30,0.09,33305.0,1,5.451,0.465,9.170,6.458,0.012,43200.0,0
"2019-10-05",60.36,34.02,79.50,191.24,0.07,43200.0,0,-1.096,-2.446,1.159,0.422,0.003,43200.0,0
"2019-10-06",77.87,50.04,97.13,116.42,0.05,43200.0,0,5.681,-1.330,14.612,24.163,0.024,43200.0,0
"2019-10-07",90.39,75.43,98.66,36.53,0.03,38946.0,0,15.014,12.157,16.943,0.652,0.004,38946.0,0
"2019-10-08",85.42,59.24,99.17,193.30,0.07,43200.0,0,9.465,5.578,12.572,3.755,0.009,43200.0,0
"2019-10-09",77.93,66.17,90.07,45.08,0.03,43159.0,0,5.479,3.691,7.782,1.208,0.005,43159.0,0
"2019-10-10",66.06,45.06,89.46,179.46,0.06,43200.0,0,3.324,0.385,6.082,2.674,0.008,43200.0,0
"2019-10-11",59.54,43.83,75.72,73.17,0.04,43200.0,0,2.546,1.076,4.786,0.670,0.004,43200.0,0
"2019-10-12",85.71,58.58,97.47,73.62,0.04,43200.0,0,7.650,3.022,10.606,1.573,0.006,43200.0,0
"2019-10-13",76.04,33.84,95.74,336.33,0.09,43200.0,0,6.712,0.220,9.585,5.609,0.011,43200.0,0
"2019-10-14",67.56,36.61,90.61,164.17,0.06,43200.0,0,6.060,-1.546,10.575,11.160,0.016,43200.0,0
"2019-10-15",58.97,34.88,79.92,198.09,0.07,43200.0,0,1.655,-3.625,9.541,6.904,0.013,43200.0,0
"2019-10-16",69.78,50.25,97.73,121.89,0.05,43200.0,0,3.861,0.091,8.695,6.388,0.012,43200.0,0
"2019-10-17",97.00,93.86,98.23,0.74,0.01,13905.0,1,10.145,8.683,11.434,0.531,0.006,13897.0,1
"2019-10-18",,,,-0.00,,0.0,1,,,,-0.000,,0.0,1
"2019-10-19",,,,-0.00,,0.0,1,,,,-0.000,,0.0,1
"2019-10-20",,,,-0.00,,0.0,1,,,,-0.000,,0.0,1
"2019-10-21",60.36,47.38,76.85,58.59,0.07,13281.0,1,6.782,4.883,7.891,0.405,0.006,13284.0,1
"2019-10-22",84.39,71.85,98.25,56.05,0.04,36777.0,0,6.280,2.781,9.363,3.994,0.010,36779.0,0
"2019-10-23",77.23,35.49,99.30,579.82,0.12,38629.0,0,7.489,-0.587,11.545,15.037,0.019,43200.0,0
"2019-10-24",51.58,34.52,75.99,135.45,0.06,43200.0,0,0.846,-1.461,2.296,0.578,0.004,43200.0,0
"2019-10-25",65.42,46.02,77.25,45.48,0.03,43200.0,0,4.473,1.424,7.222,1.932,0.007,43200.0,0
"2019-10-26",76.15,43.21,98.81,397.24,0.10,43200.0,0,3.915,-1.455,6.711,8.115,0.014,43200.0,0
"2019-10-27",84.66,53.82,98.64,183.23,0.07,43200.0,0,4.069,-0.013,6.651,3.917,0.010,43200.0,0
"2019-10-28",94.47,85.84,98.77,18.31,0.02,40112.0,0,6.692,5.965,7.873,0.305,0.003,42077.0,0
"2019-10-29",96.71,84.32,98.93,4.12,0.01,32599.0,1,7.619,6.600,9.702,1.095,0.006,32603.0,1
"2019-10-30",94.49,80.19,99.82,32.63,0.03,37707.0,0,11.308,9.688,13.964,1.609,0.006,43200.0,0
"2019-10-31",97.16,89.50,99.71,6.17,0.01,35690.0,0,15.245,13.035,18.153,3.301,0.009,43200.0,0
