date,wssRHMean,wssRHMinimum,wssRHMaximum,wssRHVariance,wssRHStdErMean,wssRHNumPts,RHQF,wssDewTempMean,wssDewTempMinimum,wssDewTempMaximum,wssDewTempVariance,wssDewTempStdErMean,wssDewTempNumPts,dewTempQF
"2015-12-01",,,,-0.00,,0.0,1,,,,-0.000,,0.0,0
"2015-12-02",99.91,91.66,102.00,8.29,0.04,6529.0,1,,,,-0.000,,0.0,0
"2015-12-03",62.68,50.04,102.00,128.60,0.05,43186.0,0,,,,-0.000,,0.0,0
"2015-12-04",62.11,46.09,73.01,73.74,0.04,43200.0,0,,,,-0.000,,0.0,0
"2015-12-05",59.34,47.61,71.39,42.04,0.03,43200.0,0,,,,-0.000,,0.0,0
"2015-12-06",63.41,48.39,76.68,52.75,0.03,43200.0,0,,,,-0.000,,0.0,0
"2015-12-07",53.03,39.83,70.22,38.75,0.03,43200.0,0,,,,-0.000,,0.0,0
"2015-12-08",69.72,53.71,79.88,38.81,0.04,30313.0,1,,,,-0.000,,0.0,1
"2015-12-09",,,,-0.00,,0.0,1,,,,-0.000,,0.0,1
"2015-12-10",,,,-0.00,,0.0,1,,,,-0.000,,0.0,1
"2015-12-11",,,,-0.00,,0.0,1,,,,-0.000,,0.0,1
"2015-12-12",,,,-0.00,,0.0,1,,,,-0.000,,0.0,1
"2015-12-13",,,,-0.00,,0.0,1,,,,-0.000,,0.0,1
"2015-12-14",98.38,89.77,101.97,7.62,0.03,11551.0,1,15.925,14.770,16.820,0.270,0.005,11552.0,1
"2015-12-15",63.45,48.55,101.39,201.26,0.07,43200.0,0,7.279,2.780,17.270,24.710,0.024,43200.0,0
"2015-12-16",74.64,68.87,80.60,9.08,0.01,43200.0,0,3.198,2.570,4.140,0.229,0.002,43200.0,0
"2015-12-17",88.12,71.46,102.00,115.66,0.05,41132.0,0,7.034,3.980,10.900,5.698,0.011,43200.0,0
"2015-12-18",74.61,51.76,102.00,134.65,0.06,37312.0,0,1.305,-7.140,11.060,27.922,0.025,43200.0,0
"2015-12-19",44.80,31.22,77.68,50.38,0.03,43200.0,0,-9.145,-11.390,-4.410,1.061,0.005,43200.0,0
"2015-12-20",40.01,35.00,46.05,4.70,0.01,43200.0,0,-8.688,-10.950,-5.850,2.251,0.007,43200.0,0
"2015-12-21",46.15,32.20,71.37,60.63,0.04,43200.0,0,-3.671,-7.740,6.040,15.121,0.019,43200.0,0
"2015-12-22",87.17,69.24,102.00,38.66,0.03,43146.0,0,9.995,5.560,13.040,3.972,0.010,43200.0,0
"2015-12-23",94.99,72.83,102.00,64.86,0.07,14877.0,1,13.314,11.330,16.430,2.075,0.007,43200.0,0
"2015-12-24",89.71,73.65,102.00,55.31,0.04,34083.0,1,16.527,14.710,18.410,0.867,0.004,43200.0,0
"2015-12-25",88.41,65.24,102.00,76.18,0.04,38763.0,0,16.187,13.490,18.200,1.154,0.005,43200.0,0
"2015-12-26",99.89,97.50,102.00,1.69,0.01,11554.0,1,11.721,7.750,14.460,6.581,0.012,43200.0,0
"2015-12-27",84.16,61.32,102.00,129.99,0.07,27013.0,1,12.690,9.600,17.230,6.608,0.012,43200.0,0
"2015-12-28",83.33,70.92,99.64,46.01,0.03,43200.0,0,4.048,-1.270,15.900,24.297,0.024,43200.0,0
"2015-12-29",94.39,80.17,102.00,48.72,0.05,19714.0,1,4.862,1.740,10.520,8.838,0.014,43200.0,0
"2015-12-30",92.40,75.16,102.00,48.11,0.04,24856.0,1,8.600,6.330,10.330,0.545,0.004,43200.0,0
"2015-12-31",81.88,66.92,102.00,136.40,0.07,28460.0,1,7.246,1.190,10.990,7.793,0.013,43200.0,0
