date,wssRHMean,wssRHMinimum,wssRHMaximum,wssRHVariance,wssRHStdErMean,wssRHNumPts,RHQF,wssDewTempMean,wssDewTempMinimum,wssDewTempMaximum,wssDewTempVariance,wssDewTempStdErMean,wssDewTempNumPts,dewTempQF
"2015-11-01",85.11,62.54,99.80,149.58,0.06,43200.0,0,21.347,19.690,23.690,2.242,0.007,43200.0,0
"2015-11-02",85.79,62.45,102.00,164.81,0.06,40347.0,0,22.846,21.940,24.170,0.211,0.002,43200.0,0
"2015-11-03",84.30,56.98,101.91,253.69,0.08,42715.0,0,22.849,21.480,24.350,0.398,0.003,42715.0,0
"2015-11-04",81.89,51.78,102.00,217.83,0.08,35340.0,0,22.825,19.240,24.970,1.004,0.005,42714.0,0
"2015-11-05",79.00,55.44,102.00,248.66,0.10,26601.0,1,22.660,19.880,24.420,1.314,0.006,43200.0,0
"2015-11-06",76.93,50.59,102.00,245.87,0.10,24740.0,1,21.835,18.290,24.320,0.838,0.004,43200.0,0
"2015-11-07",71.77,46.25,102.00,386.93,0.13,24262.0,1,21.114,17.250,24.160,2.251,0.007,43200.0,0
"2015-11-08",89.86,67.14,102.00,132.55,0.07,26145.0,1,22.695,21.240,23.870,0.285,0.003,43200.0,0
"2015-11-09",92.01,79.79,102.00,33.13,0.04,19388.0,1,23.147,22.080,24.380,0.356,0.003,43199.0,0
"2015-11-10",89.56,69.89,102.00,82.69,0.05,37245.0,0,21.653,20.070,22.940,0.420,0.003,43200.0,0
"2015-11-11",76.08,51.77,102.00,269.52,0.12,19651.0,1,17.970,15.350,20.610,0.894,0.005,43200.0,0
"2015-11-12",74.39,43.64,102.00,460.29,0.12,31239.0,1,17.745,14.460,20.650,1.796,0.006,43200.0,0
"2015-11-13",66.34,36.44,102.00,417.85,0.11,36175.0,0,14.502,7.550,19.970,14.412,0.018,43200.0,0
"2015-11-14",55.53,42.27,74.35,55.38,0.04,43200.0,0,6.868,-0.710,13.010,21.286,0.022,43200.0,0
"2015-11-15",73.48,54.94,84.61,69.95,0.04,43200.0,0,11.709,9.300,15.290,4.515,0.010,43200.0,0
"2015-11-16",85.02,52.60,101.93,258.17,0.08,43200.0,0,15.826,13.730,18.580,2.178,0.007,43200.0,0
"2015-11-17",86.08,56.30,101.67,191.63,0.07,43200.0,0,18.204,16.650,20.640,1.391,0.006,43200.0,0
"2015-11-18",92.09,68.38,102.00,101.55,0.05,38696.0,0,21.682,20.390,24.130,1.084,0.005,43101.0,0
"2015-11-19",96.99,86.51,102.00,21.83,0.03,25143.0,1,22.881,22.060,24.070,0.262,0.002,43200.0,0
"2015-11-20",81.46,61.48,102.00,165.52,0.07,32198.0,1,18.530,13.460,22.480,8.005,0.014,43200.0,0
"2015-11-21",92.62,77.02,101.25,44.21,0.03,43200.0,0,19.267,17.120,22.740,3.253,0.009,43200.0,0
"2015-11-22",94.17,85.75,102.00,26.23,0.04,20258.0,1,19.021,14.100,21.680,5.465,0.011,43200.0,0
"2015-11-23",66.92,39.62,97.41,166.70,0.06,43200.0,0,3.943,-0.420,14.240,17.005,0.020,43200.0,0
"2015-11-24",75.67,52.33,87.92,97.53,0.05,43196.0,0,7.123,2.910,11.910,8.920,0.014,43196.0,0
"2015-11-25",83.27,64.48,100.87,136.81,0.06,43200.0,0,13.321,11.300,16.500,3.268,0.009,43200.0,0
"2015-11-26",87.13,60.25,102.00,126.16,0.06,39367.0,0,16.653,15.010,18.990,1.207,0.005,43200.0,0
"2015-11-27",87.84,62.62,102.00,120.63,0.06,29445.0,1,17.515,16.060,19.590,0.363,0.003,43200.0,0
"2015-11-28",83.92,64.14,102.00,107.43,0.07,24914.0,1,17.574,16.450,18.960,0.210,0.002,43200.0,0
"2015-11-29",81.81,50.41,101.39,378.08,0.09,43200.0,0,15.549,13.030,17.950,1.646,0.006,43200.0,0
"2015-11-30",83.96,59.54,101.34,175.38,0.06,43200.0,0,16.465,12.800,18.610,1.567,0.006,43200.0,0
