date,wssRHMean,wssRHMinimum,wssRHMaximum,wssRHVariance,wssRHStdErMean,wssRHNumPts,RHQF,wssDewTempMean,wssDewTempMinimum,wssDewTempMaximum,wssDewTempVariance,wssDewTempStdErMean,wssDewTempNumPts,dewTempQF
"2018-09-01",69.91,55.43,83.57,44.17,0.03,43200.0,0,21.194,19.070,23.434,0.968,0.005,43200.0,0
"2018-09-02",70.11,55.88,83.23,28.57,0.03,43200.0,0,21.155,19.352,23.798,1.838,0.007,43198.0,0
"2018-09-03",72.92,62.23,83.28,24.12,0.02,43200.0,0,21.981,19.479,24.281,1.733,0.006,43200.0,0
"2018-09-04",77.83,66.23,86.96,18.56,0.02,43200.0,0,22.765,21.081,24.419,0.839,0.004,43200.0,0
"2018-09-05",75.54,51.14,88.25,100.36,0.05,43200.0,0,22.506,18.646,24.287,1.192,0.005,43200.0,0
"2018-09-06",77.78,59.30,95.40,61.09,0.04,42524.0,0,21.895,19.684,23.989,0.926,0.005,42524.0,0
"2018-09-07",71.31,56.60,82.94,37.89,0.03,43197.0,0,21.537,19.783,24.046,1.601,0.006,43197.0,0
"2018-09-08",74.12,59.73,84.06,31.74,0.03,43200.0,0,22.162,19.696,24.253,1.676,0.006,43200.0,0
"2018-09-09",79.96,61.51,87.25,21.49,0.02,43181.0,0,23.095,21.063,24.459,0.395,0.003,43181.0,0
"2018-09-10",75.78,55.01,92.84,92.43,0.05,43200.0,0,21.865,19.369,23.458,1.158,0.005,43200.0,0
"2018-09-11",73.72,54.83,94.21,64.03,0.04,43200.0,0,21.626,18.052,23.893,1.783,0.006,43200.0,0
"2018-09-12",76.36,52.74,95.26,93.27,0.05,43200.0,0,22.306,19.130,24.218,0.857,0.004,43200.0,0
"2018-09-13",71.46,57.00,87.04,41.74,0.03,43200.0,0,22.595,19.919,24.542,1.044,0.005,43200.0,0
"2018-09-14",71.19,55.24,97.82,137.58,0.06,41779.0,0,21.254,18.943,23.982,1.619,0.006,41779.0,0
"2018-09-15",84.26,66.27,98.86,49.41,0.04,40297.0,0,22.534,20.583,24.374,0.523,0.004,40352.0,0
"2018-09-16",82.62,66.66,95.81,54.57,0.04,43200.0,0,23.059,21.219,24.855,0.678,0.004,43200.0,0
"2018-09-17",78.87,65.82,87.80,34.33,0.03,43200.0,0,23.192,21.313,24.472,0.581,0.004,43200.0,0
"2018-09-18",76.53,62.76,90.89,24.62,0.02,43200.0,0,22.935,20.604,24.726,0.841,0.004,43200.0,0
"2018-09-19",73.84,61.18,84.17,25.79,0.02,43198.0,0,22.667,20.711,24.644,1.615,0.006,43198.0,0
"2018-09-20",79.34,60.92,98.65,88.83,0.05,43135.0,0,23.183,21.144,24.753,0.495,0.003,43135.0,0
"2018-09-21",69.28,54.59,93.31,40.76,0.03,43200.0,0,21.292,19.168,24.471,1.582,0.006,43200.0,0
"2018-09-22",72.73,57.46,91.51,47.59,0.03,43200.0,0,21.689,20.044,24.178,1.079,0.005,43200.0,0
"2018-09-23",75.64,62.73,87.63,16.62,0.02,43200.0,0,22.120,20.335,23.901,1.001,0.005,43200.0,0
"2018-09-24",71.93,59.42,82.82,19.41,0.02,43200.0,0,21.468,19.649,23.737,1.609,0.006,43200.0,0
"2018-09-25",71.81,60.38,80.94,18.99,0.02,43200.0,0,21.756,20.068,24.287,1.338,0.006,43200.0,0
"2018-09-26",69.59,48.19,90.40,44.58,0.03,43200.0,0,21.046,18.125,23.925,1.216,0.005,43200.0,0
"2018-09-27",70.81,56.39,91.17,38.36,0.03,43200.0,0,21.105,18.258,24.483,2.210,0.007,43200.0,0
"2018-09-28",73.47,58.66,87.35,39.26,0.03,43200.0,0,21.901,19.712,23.636,0.478,0.003,43200.0,0
"2018-09-29",79.17,64.53,94.01,38.90,0.03,43200.0,0,21.863,20.670,23.889,0.551,0.004,43200.0,0
"2018-09-30",75.02,55.33,82.66,31.77,0.03,43200.0,0,21.767,19.491,23.155,0.466,0.003,43198.0,0
