date,wssRHMean,wssRHMinimum,wssRHMaximum,wssRHVariance,wssRHStdErMean,wssRHNumPts,RHQF,wssDewTempMean,wssDewTempMinimum,wssDewTempMaximum,wssDewTempVariance,wssDewTempStdErMean,wssDewTempNumPts,dewTempQF
"2016-12-01",94.70,83.48,98.97,13.04,0.02,43200.0,0,-2.084,-4.952,-0.720,1.632,0.006,43200.0,0
"2016-12-02",92.64,85.52,96.37,3.45,0.01,43200.0,0,-4.482,-5.614,-3.486,0.282,0.003,43200.0,0
"2016-12-03",87.87,71.05,96.40,50.75,0.03,43200.0,0,-4.833,-7.112,-3.629,0.655,0.004,43200.0,0
"2016-12-04",84.21,71.91,95.02,61.90,0.04,43200.0,0,-5.758,-7.573,-3.532,2.162,0.007,43200.0,0
"2016-12-05",87.09,63.64,98.76,97.67,0.05,41359.0,0,-2.582,-3.640,-1.593,0.233,0.002,43200.0,0
"2016-12-06",85.67,67.43,95.88,38.85,0.03,43200.0,0,-3.498,-10.106,-0.932,5.224,0.011,43200.0,0
"2016-12-07",77.75,69.64,83.32,8.21,0.01,43200.0,0,-11.234,-13.364,-9.740,0.837,0.004,43200.0,0
"2016-12-08",85.69,77.71,93.07,16.92,0.02,43199.0,0,-9.402,-12.271,-6.271,4.100,0.010,43199.0,0
"2016-12-09",81.52,66.93,91.53,40.36,0.03,43200.0,0,-12.083,-15.353,-7.670,2.865,0.008,43200.0,0
"2016-12-10",71.23,56.58,82.88,41.04,0.03,43180.0,0,-17.456,-18.731,-13.386,1.517,0.006,43180.0,0
"2016-12-11",81.48,67.38,89.79,35.30,0.03,43200.0,0,-15.002,-18.719,-11.003,6.790,0.013,43200.0,0
"2016-12-12",87.02,67.69,93.34,62.53,0.04,43200.0,0,-10.292,-12.417,-7.919,0.906,0.005,43200.0,0
"2016-12-13",72.99,53.53,86.62,98.35,0.05,43200.0,0,-19.372,-23.311,-12.106,13.175,0.017,43200.0,0
"2016-12-14",66.94,46.77,83.37,120.31,0.05,43200.0,0,-21.255,-24.212,-18.294,3.715,0.009,43200.0,0
"2016-12-15",69.04,52.66,79.99,63.02,0.04,43200.0,0,-22.649,-25.248,-19.329,4.068,0.010,43200.0,0
"2016-12-16",72.68,64.29,86.72,24.81,0.02,43200.0,0,-20.163,-23.826,-14.238,11.390,0.016,43200.0,0
"2016-12-17",84.88,75.01,88.93,17.64,0.02,43200.0,0,-14.170,-17.036,-12.667,1.285,0.005,43200.0,0
"2016-12-18",74.52,54.87,85.83,95.48,0.05,43200.0,0,-22.794,-26.404,-17.033,9.565,0.015,43200.0,0
"2016-12-19",65.66,43.29,80.81,126.70,0.05,43200.0,0,-21.888,-27.351,-14.308,22.063,0.023,43200.0,0
"2016-12-20",70.09,51.12,82.36,95.29,0.05,43200.0,0,-10.263,-15.180,-4.727,12.650,0.017,43200.0,0
"2016-12-21",80.52,60.22,96.14,122.47,0.05,43200.0,0,-6.696,-9.004,-2.730,4.347,0.010,43200.0,0
"2016-12-22",77.16,47.36,94.37,273.13,0.08,43200.0,0,-5.337,-8.259,-2.461,2.950,0.008,43200.0,0
"2016-12-23",70.49,51.40,96.14,155.45,0.06,43200.0,0,-6.546,-8.412,-2.274,3.226,0.009,43200.0,0
"2016-12-24",92.22,81.77,98.57,19.14,0.02,43200.0,0,-2.681,-4.349,-1.979,0.367,0.003,43200.0,0
"2016-12-25",94.68,90.17,97.49,2.04,0.01,43200.0,0,-6.507,-8.058,-3.848,1.522,0.006,43200.0,0
"2016-12-26",86.35,58.32,98.94,155.55,0.07,36597.0,0,-2.744,-10.259,1.048,8.741,0.015,36603.0,0
"2016-12-27",74.41,64.24,84.45,32.46,0.03,30162.0,1,-15.074,-16.604,-12.692,1.293,0.007,30163.0,1
"2016-12-28",85.06,72.58,92.29,27.57,0.03,43200.0,0,-11.883,-17.414,-5.036,14.511,0.018,43200.0,0
"2016-12-29",85.12,79.09,92.64,8.64,0.01,43200.0,0,-6.861,-9.253,-4.319,1.970,0.007,43200.0,0
"2016-12-30",81.63,66.27,89.86,43.48,0.03,43200.0,0,-10.924,-13.010,-8.648,1.599,0.006,43200.0,0
"2016-12-31",91.49,83.33,94.72,5.90,0.01,43200.0,0,-9.078,-11.384,-6.422,1.272,0.005,43200.0,0
