date,wssRHMean,wssRHMinimum,wssRHMaximum,wssRHVariance,wssRHStdErMean,wssRHNumPts,RHQF,wssDewTempMean,wssDewTempMinimum,wssDewTempMaximum,wssDewTempVariance,wssDewTempStdErMean,wssDewTempNumPts,dewTempQF
"2018-09-01",61.77,40.14,83.00,102.12,0.05,43200.0,0,20.317,17.655,22.244,0.372,0.003,43198.0,0
"2018-09-02",72.73,54.71,86.26,65.97,0.04,43200.0,0,21.038,20.256,22.931,0.353,0.003,43200.0,0
"2018-09-03",83.65,58.82,99.26,150.22,0.06,41149.0,0,20.574,19.034,23.052,1.067,0.005,43200.0,0
"2018-09-04",86.26,68.92,97.20,50.77,0.03,43200.0,0,21.238,20.483,22.779,0.229,0.002,43200.0,0
"2018-09-05",95.04,88.26,98.86,4.05,0.01,43200.0,0,21.265,19.795,22.648,0.383,0.003,43200.0,0
"2018-09-06",95.33,85.40,99.03,10.87,0.02,43200.0,0,19.274,17.793,21.316,0.512,0.003,43200.0,0
"2018-09-07",95.71,86.25,99.60,13.78,0.02,32499.0,1,19.074,17.919,19.811,0.090,0.001,43200.0,0
"2018-09-08",91.75,71.78,98.99,62.93,0.04,43200.0,0,16.603,15.473,18.147,0.561,0.004,43200.0,0
"2018-09-09",79.65,48.85,95.87,253.33,0.08,43200.0,0,14.023,11.892,16.563,1.783,0.006,43198.0,0
"2018-09-10",75.19,55.76,94.08,170.23,0.06,43200.0,0,14.373,13.005,16.469,0.371,0.003,43200.0,0
"2018-09-11",74.09,50.94,90.20,188.29,0.07,43200.0,0,15.200,13.953,17.154,0.605,0.004,43200.0,0
"2018-09-12",74.14,55.80,88.94,98.14,0.05,41933.0,0,16.207,14.679,18.760,1.305,0.006,41933.0,0
"2018-09-13",83.16,59.68,95.89,115.51,0.05,43200.0,0,19.395,18.271,21.284,0.529,0.003,43200.0,0
"2018-09-14",78.51,50.29,93.95,227.24,0.07,43200.0,0,20.211,18.810,21.855,0.269,0.002,43200.0,0
"2018-09-15",69.49,40.95,87.28,216.28,0.07,43200.0,0,19.760,16.432,21.625,0.671,0.004,43190.0,0
"2018-09-16",64.39,40.66,85.13,138.97,0.06,43200.0,0,18.303,15.066,20.541,0.331,0.003,43200.0,0
"2018-09-17",64.19,51.46,75.22,38.03,0.03,43200.0,0,18.832,16.243,22.571,3.229,0.009,43200.0,0
"2018-09-18",66.71,42.87,82.35,163.40,0.06,43200.0,0,20.453,18.570,22.029,0.325,0.003,43200.0,0
"2018-09-19",62.49,41.23,79.94,140.23,0.06,43129.0,0,19.632,17.561,21.054,0.427,0.003,43129.0,0
"2018-09-20",60.06,39.72,75.67,112.48,0.05,43162.0,0,18.689,16.839,19.902,0.223,0.002,43162.0,0
"2018-09-21",74.38,51.98,98.16,276.51,0.08,43200.0,0,14.095,7.995,19.585,20.200,0.022,43200.0,0
"2018-09-22",72.06,39.89,97.47,306.50,0.08,43200.0,0,8.307,6.795,10.319,0.296,0.003,43200.0,0
"2018-09-23",67.09,42.12,92.92,170.79,0.06,43200.0,0,11.887,8.630,15.758,3.370,0.009,43200.0,0
"2018-09-24",77.89,54.25,99.30,211.71,0.07,43200.0,0,15.420,12.345,18.143,2.810,0.008,43200.0,0
"2018-09-25",86.65,56.59,98.53,129.89,0.06,35740.0,0,16.819,9.044,19.214,8.104,0.015,35741.0,0
"2018-09-26",64.36,28.87,90.71,387.32,0.09,43200.0,0,6.427,0.525,9.971,5.507,0.011,43188.0,0
"2018-09-27",53.36,28.36,75.44,227.28,0.07,43200.0,0,5.304,1.619,7.944,1.430,0.006,43200.0,0
"2018-09-28",63.13,46.36,84.93,82.10,0.04,43200.0,0,6.423,3.341,8.583,2.048,0.007,43200.0,0
"2018-09-29",87.09,65.42,98.95,82.58,0.04,43200.0,0,8.252,3.215,16.892,12.701,0.017,43200.0,0
"2018-09-30",93.30,83.42,98.44,6.21,0.01,43200.0,0,16.285,13.233,19.125,3.607,0.009,43200.0,0
