date,wssRHMean,wssRHMinimum,wssRHMaximum,wssRHVariance,wssRHStdErMean,wssRHNumPts,RHQF,wssDewTempMean,wssDewTempMinimum,wssDewTempMaximum,wssDewTempVariance,wssDewTempStdErMean,wssDewTempNumPts,dewTempQF
"2018-08-01",97.02,91.26,98.43,1.24,0.01,43200.0,0,19.666,18.817,20.837,0.240,0.002,43200.0,0
"2018-08-02",96.57,87.43,98.80,6.45,0.01,43200.0,0,19.122,18.183,20.532,0.503,0.003,43200.0,0
"2018-08-03",82.69,49.82,98.12,254.50,0.08,43200.0,0,19.917,17.263,21.276,0.208,0.002,43200.0,0
"2018-08-04",70.63,42.23,96.26,244.54,0.08,43200.0,0,20.094,17.443,22.454,0.620,0.004,43200.0,0
"2018-08-05",76.08,53.04,97.73,98.10,0.05,43200.0,0,21.429,19.974,23.291,0.287,0.003,43200.0,0
"2018-08-06",73.57,51.29,94.83,122.06,0.05,43181.0,0,21.325,17.772,23.828,1.230,0.005,43181.0,0
"2018-08-07",77.03,55.08,98.31,169.15,0.06,43180.0,0,21.629,19.471,23.317,0.241,0.002,43180.0,0
"2018-08-08",84.33,63.33,97.68,106.49,0.05,43200.0,0,21.201,19.932,24.227,0.465,0.003,43200.0,0
"2018-08-09",91.90,68.28,98.79,78.90,0.05,30730.0,1,20.907,20.228,23.004,0.348,0.003,43200.0,0
"2018-08-10",84.11,54.45,99.08,220.11,0.09,25433.0,1,20.449,19.211,22.450,0.196,0.002,43200.0,0
"2018-08-11",81.59,50.31,98.52,258.30,0.08,43200.0,0,20.255,18.533,22.675,0.289,0.003,43200.0,0
"2018-08-12",73.46,48.55,93.78,156.02,0.06,43200.0,0,19.707,16.942,21.918,0.937,0.005,43200.0,0
"2018-08-13",69.63,44.79,95.09,197.76,0.07,43180.0,0,18.657,16.515,21.079,0.404,0.003,43180.0,0
"2018-08-14",68.35,45.06,96.50,173.08,0.06,43200.0,0,18.212,16.251,20.497,0.562,0.004,43200.0,0
"2018-08-15",72.83,50.74,98.51,171.36,0.06,43200.0,0,19.147,16.301,22.075,1.250,0.005,43200.0,0
"2018-08-16",78.66,53.57,97.09,159.54,0.06,43200.0,0,20.607,19.065,22.548,0.268,0.002,43200.0,0
"2018-08-17",83.97,60.81,95.08,79.73,0.04,43200.0,0,20.662,17.080,23.051,2.124,0.007,43200.0,0
"2018-08-18",88.29,61.70,98.73,139.50,0.06,41249.0,0,21.047,20.124,23.512,0.151,0.002,43200.0,0
"2018-08-19",85.38,54.97,98.83,182.46,0.06,43200.0,0,21.141,18.689,22.943,0.130,0.002,43200.0,0
"2018-08-20",86.52,65.29,98.47,92.78,0.05,43200.0,0,22.062,21.219,23.432,0.093,0.001,43200.0,0
"2018-08-21",84.31,64.04,92.33,49.60,0.03,43200.0,0,21.239,18.678,22.686,0.650,0.004,43200.0,0
"2018-08-22",76.28,52.74,93.17,136.10,0.06,43200.0,0,18.235,14.952,19.702,1.111,0.005,43200.0,0
"2018-08-23",65.46,40.35,85.23,199.65,0.07,43200.0,0,13.507,9.796,18.534,4.963,0.011,43200.0,0
"2018-08-24",60.07,36.38,86.85,194.87,0.07,43177.0,0,13.167,10.538,16.752,0.515,0.003,43177.0,0
"2018-08-25",64.70,48.29,89.68,74.46,0.04,43200.0,0,15.799,12.664,19.893,3.739,0.009,43200.0,0
"2018-08-26",72.95,51.03,93.00,156.09,0.06,43200.0,0,19.755,18.311,21.873,0.426,0.003,43200.0,0
"2018-08-27",71.77,50.68,97.56,189.01,0.07,43200.0,0,20.511,18.939,22.163,0.239,0.002,43200.0,0
"2018-08-28",67.46,41.97,90.81,206.74,0.07,43200.0,0,20.438,18.201,22.304,0.411,0.003,43198.0,0
"2018-08-29",72.03,48.53,94.01,110.33,0.05,43200.0,0,21.013,18.023,22.755,0.357,0.003,43200.0,0
"2018-08-30",77.16,47.49,95.96,202.54,0.07,40523.0,0,21.216,18.814,23.260,0.366,0.003,40533.0,0
"2018-08-31",79.01,56.13,94.49,99.67,0.05,43200.0,0,19.594,17.116,21.928,1.156,0.005,43200.0,0
