date,wssRHMean,wssRHMinimum,wssRHMaximum,wssRHVariance,wssRHStdErMean,wssRHNumPts,RHQF,wssDewTempMean,wssDewTempMinimum,wssDewTempMaximum,wssDewTempVariance,wssDewTempStdErMean,wssDewTempNumPts,dewTempQF
"2020-05-01",46.83,32.73,66.92,56.95,0.04,43200.0,0,6.477,4.751,9.664,1.618,0.006,43200.0,0
"2020-05-02",44.60,32.90,64.10,65.03,0.04,43200.0,0,9.390,6.836,12.283,2.246,0.007,43200.0,0
"2020-05-03",62.22,41.25,88.01,226.95,0.07,43200.0,0,13.740,11.416,16.980,1.607,0.006,43200.0,0
"2020-05-04",67.90,47.56,94.86,263.85,0.08,43200.0,0,16.403,13.555,19.028,1.824,0.006,43200.0,0
"2020-05-05",77.62,56.12,95.90,135.53,0.06,43200.0,0,17.962,16.103,20.320,0.751,0.004,43200.0,0
"2020-05-06",60.81,22.99,90.58,559.92,0.11,43200.0,0,9.809,-0.557,20.326,34.495,0.028,43200.0,0
"2020-05-07",53.32,29.81,75.73,252.81,0.08,43200.0,0,3.646,0.455,5.536,1.373,0.006,43200.0,0
"2020-05-08",64.90,34.58,97.35,475.44,0.10,43200.0,0,8.193,2.576,16.483,24.200,0.024,43200.0,0
"2020-05-09",62.40,30.48,92.04,523.30,0.11,43200.0,0,4.732,-2.991,14.994,24.593,0.024,43200.0,0
"2020-05-10",42.07,25.57,59.95,87.87,0.05,43200.0,0,2.059,-0.075,4.669,0.890,0.005,43198.0,0
"2020-05-11",40.60,27.63,73.58,105.84,0.05,43200.0,0,3.131,-0.194,7.014,2.670,0.008,43200.0,0
"2020-05-12",41.83,27.34,59.40,70.98,0.04,43200.0,0,3.940,0.817,7.358,2.838,0.008,43200.0,0
"2020-05-13",48.13,29.94,74.22,130.27,0.05,43200.0,0,9.204,6.429,13.931,3.603,0.009,43200.0,0
"2020-05-14",58.97,33.27,82.49,171.72,0.06,43200.0,0,14.390,9.476,16.539,1.337,0.006,43200.0,0
"2020-05-15",64.38,47.62,83.32,108.65,0.05,43200.0,0,15.560,13.563,17.641,1.278,0.005,43200.0,0
"2020-05-16",67.67,40.02,89.15,215.75,0.07,43200.0,0,17.039,13.567,20.035,2.240,0.007,43200.0,0
"2020-05-17",72.39,48.27,91.62,145.70,0.06,43200.0,0,17.514,14.577,21.088,4.555,0.010,43200.0,0
"2020-05-18",88.41,59.79,99.29,88.83,0.05,43200.0,0,19.368,13.922,21.065,0.880,0.005,43198.0,0
"2020-05-19",72.02,54.03,89.06,99.62,0.05,43152.0,0,14.643,12.788,18.836,1.297,0.005,43152.0,0
"2020-05-20",74.22,47.02,95.88,202.43,0.07,43200.0,0,13.445,10.953,15.096,0.428,0.003,43200.0,0
"2020-05-21",75.36,46.96,99.47,291.53,0.08,40725.0,0,14.909,13.095,19.226,1.019,0.005,43200.0,0
"2020-05-22",84.27,58.68,99.29,151.98,0.06,41354.0,0,19.566,17.651,21.945,1.528,0.006,43200.0,0
"2020-05-23",84.16,53.67,98.32,154.47,0.06,43200.0,0,19.700,15.514,22.564,2.521,0.008,43200.0,0
"2020-05-24",74.89,43.27,99.41,335.59,0.09,43200.0,0,18.430,15.640,20.984,0.420,0.003,43200.0,0
"2020-05-25",71.24,45.43,94.48,256.50,0.08,42790.0,0,18.783,16.227,21.304,0.667,0.004,42790.0,0
"2020-05-26",85.76,55.43,99.68,216.07,0.08,36490.0,0,19.450,17.608,20.800,0.786,0.004,43200.0,0
"2020-05-27",96.51,73.77,99.89,35.89,0.03,39442.0,0,19.736,16.450,21.633,0.906,0.005,43200.0,0
"2020-05-28",72.06,47.56,100.45,336.04,0.12,23772.0,1,18.624,15.558,21.289,0.832,0.004,43200.0,0
"2020-05-29",67.10,45.17,86.92,99.28,0.05,42832.0,0,17.691,15.318,19.066,0.363,0.003,42832.0,0
"2020-05-30",68.80,47.00,92.84,185.00,0.07,43200.0,0,17.720,14.481,19.466,1.131,0.005,43200.0,0
"2020-05-31",59.08,38.67,81.27,162.62,0.06,43200.0,0,13.992,10.651,16.222,0.435,0.003,43200.0,0
