date,wssRHMean,wssRHMinimum,wssRHMaximum,wssRHVariance,wssRHStdErMean,wssRHNumPts,RHQF,wssDewTempMean,wssDewTempMinimum,wssDewTempMaximum,wssDewTempVariance,wssDewTempStdErMean,wssDewTempNumPts,dewTempQF
"2015-12-01",86.63,58.59,93.34,52.01,0.03,43200.0,0,-2.866,-6.370,-2.270,0.446,0.003,43200.0,0
"2015-12-02",71.09,56.77,78.60,18.22,0.02,43200.0,0,-6.869,-9.990,-3.430,2.805,0.008,43200.0,0
"2015-12-03",74.66,65.45,82.42,10.18,0.02,43200.0,0,-4.505,-7.330,-1.400,2.433,0.008,43200.0,0
"2015-12-04",67.77,43.64,86.23,158.47,0.06,43200.0,0,-3.559,-6.790,-0.630,2.143,0.007,43200.0,0
"2015-12-05",73.12,63.55,79.17,13.25,0.02,43200.0,0,-0.412,-1.120,0.780,0.271,0.003,43200.0,0
"2015-12-06",69.02,50.78,84.80,69.20,0.04,43200.0,0,-2.189,-4.600,0.010,1.816,0.006,43200.0,0
"2015-12-07",71.92,47.98,85.56,117.00,0.05,43200.0,0,-1.589,-4.170,0.700,1.348,0.006,43200.0,0
"2015-12-08",64.75,53.64,75.26,18.14,0.02,43200.0,0,-1.811,-2.920,-0.190,0.607,0.004,43200.0,0
"2015-12-09",66.93,48.43,84.01,101.62,0.05,42617.0,0,-0.036,-2.600,2.430,2.903,0.008,42617.0,0
"2015-12-10",79.03,57.82,95.05,101.64,0.05,43200.0,0,1.694,-1.590,7.260,6.877,0.013,43200.0,0
"2015-12-11",92.30,89.58,95.06,1.55,0.01,43200.0,0,-2.400,-3.240,-0.460,0.375,0.003,43200.0,0
"2015-12-12",90.05,83.44,93.20,6.49,0.01,41164.0,0,-3.297,-4.940,-2.350,0.154,0.002,43200.0,0
"2015-12-13",91.09,87.84,93.81,2.12,0.01,43200.0,0,-4.519,-7.600,-2.450,1.519,0.006,43200.0,0
"2015-12-14",90.58,86.11,93.09,2.27,0.01,43200.0,0,-4.783,-9.750,-2.090,3.062,0.008,43200.0,0
"2015-12-15",89.64,88.00,92.23,1.27,0.01,40149.0,0,-5.831,-7.480,-2.960,1.470,0.006,40514.0,0
"2015-12-16",88.20,86.57,89.54,0.63,0.00,36900.0,0,-7.507,-9.150,-5.970,0.965,0.005,43200.0,0
"2015-12-17",82.00,71.62,90.50,21.83,0.02,43200.0,0,-9.458,-14.370,-4.580,7.455,0.013,43200.0,0
"2015-12-18",74.86,69.90,81.42,8.07,0.01,43200.0,0,-14.621,-18.660,-10.500,4.920,0.011,43200.0,0
"2015-12-19",79.17,73.01,86.90,8.34,0.01,43200.0,0,-14.634,-18.620,-9.210,7.353,0.013,43200.0,0
"2015-12-20",86.10,83.68,88.33,0.71,0.00,43200.0,0,-9.719,-11.150,-8.660,0.212,0.002,43200.0,0
"2015-12-21",85.00,83.28,87.38,0.80,0.00,43200.0,0,-10.827,-12.560,-8.400,0.930,0.005,43200.0,0
"2015-12-22",87.94,86.01,90.75,1.98,0.01,41980.0,0,-7.476,-9.730,-4.390,2.727,0.008,43200.0,0
"2015-12-23",88.75,86.92,90.68,1.24,0.01,38977.0,0,-6.576,-8.750,-4.600,1.511,0.006,43200.0,0
"2015-12-24",84.87,81.93,87.18,1.94,0.01,43200.0,0,-9.757,-11.140,-8.250,0.709,0.004,43200.0,0
"2015-12-25",86.60,75.22,91.17,14.76,0.02,43200.0,0,-6.694,-9.060,-5.220,0.575,0.004,43200.0,0
"2015-12-26",79.24,65.20,84.49,7.81,0.01,43200.0,0,-16.169,-20.080,-9.060,7.000,0.013,43200.0,0
"2015-12-27",77.80,66.25,80.79,3.83,0.01,43200.0,0,-18.044,-20.730,-14.150,1.862,0.007,43200.0,0
"2015-12-28",79.32,77.07,81.48,1.06,0.00,43200.0,0,-17.744,-20.560,-14.840,2.243,0.007,43200.0,0
"2015-12-29",83.28,80.01,85.02,1.87,0.01,43165.0,0,-12.833,-16.300,-10.680,3.036,0.008,43165.0,0
"2015-12-30",83.98,81.19,86.04,0.89,0.01,34215.0,1,-11.641,-14.660,-9.580,0.971,0.005,43200.0,0
"2015-12-31",81.60,77.02,84.96,3.07,0.01,43200.0,0,-10.861,-13.560,-8.690,1.074,0.005,43200.0,0
