date,wssRHMean,wssRHMinimum,wssRHMaximum,wssRHVariance,wssRHStdErMean,wssRHNumPts,RHQF,wssDewTempMean,wssDewTempMinimum,wssDewTempMaximum,wssDewTempVariance,wssDewTempStdErMean,wssDewTempNumPts,dewTempQF
"2019-12-01",63.41,46.81,74.04,23.56,0.02,43200.0,0,-9.472,-13.780,-7.216,1.453,0.006,43200.0,0
"2019-12-02",51.53,34.53,71.58,50.21,0.03,43200.0,0,-7.859,-14.109,-0.822,17.788,0.020,43200.0,0
"2019-12-03",50.44,29.17,68.88,63.38,0.04,43200.0,0,-3.290,-7.198,-1.612,0.700,0.004,43200.0,0
"2019-12-04",52.15,31.22,78.90,125.49,0.05,43200.0,0,-4.472,-6.833,-0.982,1.601,0.006,43200.0,0
"2019-12-05",68.90,34.23,95.86,407.60,0.10,43200.0,0,-2.497,-7.828,2.472,11.228,0.016,43200.0,0
"2019-12-06",79.89,48.86,98.18,177.25,0.06,43200.0,0,-1.373,-4.191,0.778,1.135,0.005,43200.0,0
"2019-12-07",60.88,24.18,92.77,271.29,0.08,43200.0,0,-3.367,-7.901,0.746,2.712,0.008,43200.0,0
"2019-12-08",53.85,30.64,70.78,81.81,0.04,43200.0,0,-2.520,-5.692,0.162,1.315,0.006,43200.0,0
"2019-12-09",73.31,46.09,94.17,115.01,0.05,43200.0,0,-5.161,-8.480,-0.410,3.541,0.009,43200.0,0
"2019-12-10",83.96,62.21,97.50,75.28,0.04,43200.0,0,-4.623,-5.605,-3.768,0.179,0.002,43200.0,0
"2019-12-11",69.62,31.62,91.09,213.78,0.07,43200.0,0,-4.778,-8.809,-1.335,3.216,0.009,43200.0,0
"2019-12-12",49.47,34.46,67.03,61.04,0.04,43200.0,0,-5.574,-7.930,-3.448,0.868,0.004,43200.0,0
"2019-12-13",47.58,31.23,72.63,103.08,0.05,43200.0,0,-5.708,-9.920,-2.532,4.730,0.010,43200.0,0
"2019-12-14",74.78,43.35,96.54,296.08,0.08,43200.0,0,-5.562,-9.550,-2.533,4.925,0.011,43200.0,0
"2019-12-15",71.58,40.05,95.08,169.06,0.06,43200.0,0,-8.507,-12.655,-2.756,6.295,0.012,43200.0,0
"2019-12-16",67.33,51.86,77.70,45.20,0.04,30589.0,1,-11.626,-14.986,-8.798,3.331,0.010,30590.0,1
"2019-12-17",37.14,27.08,47.58,18.25,0.03,20785.0,1,-12.621,-18.343,-7.572,9.293,0.021,20786.0,1
"2019-12-18",35.17,12.62,61.59,116.41,0.05,43200.0,0,-11.707,-14.715,-5.041,3.546,0.009,43200.0,0
"2019-12-19",28.20,16.27,52.62,62.57,0.04,43200.0,0,-12.637,-17.362,-7.980,4.216,0.010,43196.0,0
"2019-12-20",39.20,19.97,55.96,51.61,0.03,43200.0,0,-9.191,-11.508,-5.509,0.979,0.005,43200.0,0
"2019-12-21",31.98,12.36,56.21,93.02,0.05,43200.0,0,-8.964,-13.403,-3.676,3.443,0.009,43198.0,0
"2019-12-22",23.20,8.51,42.54,32.19,0.03,43200.0,0,-10.579,-17.400,-4.409,3.653,0.009,43186.0,0
"2019-12-23",22.09,8.96,39.35,33.65,0.03,43200.0,0,-10.685,-17.807,-4.927,6.475,0.012,43184.0,0
"2019-12-24",27.75,11.13,45.31,50.01,0.03,43184.0,0,-9.482,-15.801,-5.720,3.291,0.009,43188.0,0
"2019-12-25",,,,-0.00,,0.0,1,,,,-0.000,,0.0,1
"2019-12-26",84.54,46.79,98.56,157.39,0.06,39526.0,0,-1.440,-4.406,0.047,0.489,0.003,43200.0,0
"2019-12-27",88.58,70.42,98.28,56.46,0.04,43200.0,0,-3.135,-4.295,-1.670,0.338,0.003,43200.0,0
"2019-12-28",86.58,71.03,97.53,49.08,0.03,43200.0,0,-4.727,-8.792,-1.395,5.574,0.011,43200.0,0
"2019-12-29",60.85,50.25,78.54,31.58,0.03,43200.0,0,-10.919,-13.121,-8.051,0.985,0.005,43200.0,0
"2019-12-30",46.23,32.62,56.65,19.08,0.02,43200.0,0,-13.799,-15.752,-9.372,2.611,0.008,43200.0,0
"2019-12-31",40.27,19.02,55.58,55.02,0.04,43200.0,0,-13.260,-16.955,-5.210,8.823,0.014,43200.0,0
