date,wssRHMean,wssRHMinimum,wssRHMaximum,wssRHVariance,wssRHStdErMean,wssRHNumPts,RHQF,wssDewTempMean,wssDewTempMinimum,wssDewTempMaximum,wssDewTempVariance,wssDewTempStdErMean,wssDewTempNumPts,dewTempQF
"2021-01-01",92.97,79.71,99.48,40.79,0.03,43200.0,0,-0.143,-0.673,0.577,0.054,0.001,43200.0,0
"2021-01-02",73.34,41.05,93.35,373.60,0.09,43200.0,0,-0.602,-3.150,1.288,0.600,0.004,43200.0,0
"2021-01-03",56.76,29.77,81.36,241.47,0.07,43200.0,0,-0.888,-2.527,0.893,0.698,0.004,43200.0,0
"2021-01-04",59.54,23.69,92.90,421.05,0.10,43200.0,0,0.024,-2.903,3.309,1.164,0.005,43200.0,0
"2021-01-05",59.23,32.69,92.57,334.87,0.09,43200.0,0,1.242,-1.054,3.339,0.931,0.005,43200.0,0
"2021-01-06",71.18,46.09,91.02,128.35,0.05,43200.0,0,5.761,1.458,12.245,10.331,0.015,43200.0,0
"2021-01-07",67.53,62.77,73.12,6.18,0.01,43200.0,0,1.068,0.086,1.861,0.255,0.002,43200.0,0
"2021-01-08",68.29,47.26,82.94,120.99,0.05,43200.0,0,-0.094,-2.474,2.200,1.984,0.007,43200.0,0
"2021-01-09",73.06,38.39,97.11,342.09,0.09,43200.0,0,-2.891,-5.332,-0.778,0.917,0.005,43200.0,0
"2021-01-10",72.64,50.12,96.49,120.70,0.05,43200.0,0,-2.321,-3.695,-0.439,0.769,0.004,43200.0,0
"2021-01-11",72.01,31.95,93.42,431.96,0.10,43200.0,0,-2.416,-6.973,0.060,4.382,0.010,43200.0,0
"2021-01-12",64.64,37.39,92.97,314.73,0.09,43200.0,0,-2.953,-6.077,-1.074,1.167,0.005,43200.0,0
"2021-01-13",65.01,26.12,90.14,503.29,0.11,43200.0,0,-0.752,-2.342,0.677,0.297,0.003,43200.0,0
"2021-01-14",42.34,16.75,73.75,233.43,0.07,43200.0,0,-2.695,-9.764,1.111,9.367,0.015,43200.0,0
"2021-01-15",28.65,17.27,44.69,61.56,0.04,43200.0,0,-9.639,-13.441,-6.751,3.804,0.009,43200.0,0
"2021-01-16",33.28,14.39,50.08,128.02,0.05,43200.0,0,-9.492,-12.386,-7.488,0.854,0.004,43200.0,0
"2021-01-17",40.35,19.51,65.92,211.26,0.07,43200.0,0,-5.326,-9.931,0.132,5.367,0.011,43200.0,0
"2021-01-18",53.10,24.24,67.31,92.24,0.05,43200.0,0,-1.035,-7.598,9.067,35.378,0.029,43200.0,0
"2021-01-19",49.32,32.37,69.60,146.96,0.06,43200.0,0,1.307,-3.752,8.318,19.917,0.021,43200.0,0
"2021-01-20",62.57,36.64,98.35,425.48,0.10,43200.0,0,-0.263,-3.643,4.819,9.024,0.014,43200.0,0
"2021-01-21",88.78,70.18,98.48,72.09,0.04,43198.0,0,6.797,4.798,9.423,1.955,0.007,43198.0,0
"2021-01-22",90.41,79.10,99.92,52.96,0.04,35932.0,0,7.248,6.097,9.163,0.890,0.005,43200.0,0
"2021-01-23",94.26,81.12,100.03,46.12,0.03,38174.0,0,7.377,5.894,9.231,0.937,0.005,43200.0,0
"2021-01-24",100.37,100.28,100.43,0.00,0.00,5620.0,1,10.851,9.228,12.555,0.764,0.004,43200.0,0
"2021-01-25",74.65,24.72,100.58,866.41,0.16,31913.0,1,8.404,-2.206,18.092,30.337,0.026,43200.0,0
"2021-01-26",59.14,30.44,86.32,352.56,0.09,43200.0,0,-1.085,-3.703,2.983,1.903,0.007,43200.0,0
"2021-01-27",68.70,48.54,88.15,147.14,0.06,43200.0,0,-1.170,-3.209,1.226,1.681,0.006,43200.0,0
"2021-01-28",66.04,41.53,86.99,184.86,0.07,43200.0,0,-4.143,-5.422,-2.439,0.858,0.004,43200.0,0
"2021-01-29",64.95,42.43,87.09,175.37,0.06,43200.0,0,0.105,-2.759,4.753,4.795,0.011,43200.0,0
"2021-01-30",62.36,11.91,96.29,865.84,0.14,43200.0,0,5.316,-8.682,13.850,44.341,0.032,43200.0,0
"2021-01-31",55.20,21.16,81.39,340.50,0.09,43200.0,0,-0.789,-3.120,0.473,0.626,0.004,43200.0,0
