date,wssRHMean,wssRHMinimum,wssRHMaximum,wssRHVariance,wssRHStdErMean,wssRHNumPts,RHQF,wssDewTempMean,wssDewTempMinimum,wssDewTempMaximum,wssDewTempVariance,wssDewTempStdErMean,wssDewTempNumPts,dewTempQF
"2020-03-01",62.37,38.21,98.99,178.89,0.06,43200.0,0,-10.260,-14.706,-3.102,8.707,0.014,43200.0,0
"2020-03-02",55.55,42.29,76.44,58.13,0.04,43200.0,0,-13.651,-16.186,-9.577,3.344,0.009,43200.0,0
"2020-03-03",66.33,49.35,79.98,69.39,0.05,34191.0,1,-6.941,-10.324,-4.783,1.751,0.007,34179.0,1
"2020-03-04",66.31,30.59,75.25,70.37,0.04,43200.0,0,-5.253,-11.796,-3.789,1.380,0.006,43200.0,0
"2020-03-05",40.91,29.61,63.68,69.08,0.04,43196.0,0,-12.395,-15.473,-6.656,4.526,0.010,43196.0,0
"2020-03-06",47.30,24.47,69.02,138.95,0.06,43200.0,0,-7.256,-9.016,-5.386,0.524,0.003,43200.0,0
"2020-03-07",43.72,28.56,69.43,55.57,0.04,43200.0,0,-6.910,-8.371,-1.137,1.988,0.007,43200.0,0
"2020-03-08",70.76,48.68,102.00,214.86,0.08,38041.0,0,-2.896,-7.104,1.510,4.391,0.010,41389.0,0
"2020-03-09",69.31,55.24,82.84,36.23,0.03,40162.0,0,-5.551,-7.147,-3.424,0.853,0.005,40144.0,0
"2020-03-10",69.06,34.01,101.99,369.72,0.09,42171.0,0,-6.594,-12.914,-3.424,6.380,0.012,43198.0,0
"2020-03-11",64.70,49.47,71.71,23.33,0.03,30524.0,1,-5.891,-8.564,-4.167,1.242,0.006,30569.0,1
"2020-03-12",63.97,27.59,101.99,454.88,0.11,37331.0,0,-9.434,-15.552,-1.580,14.916,0.020,37784.0,0
"2020-03-13",58.60,30.06,81.31,198.13,0.07,43177.0,0,-13.307,-16.160,-8.760,3.523,0.009,43194.0,0
"2020-03-14",80.26,68.62,100.58,56.15,0.04,30495.0,1,-8.075,-10.860,-1.281,7.064,0.015,30558.0,1
"2020-03-15",86.65,62.06,101.07,57.41,0.04,33831.0,1,-8.732,-12.969,-1.794,9.788,0.017,33872.0,1
"2020-03-16",83.35,54.83,102.00,145.06,0.06,41180.0,0,-5.726,-9.705,-2.035,3.323,0.009,43008.0,0
"2020-03-17",80.83,40.74,102.00,232.13,0.08,40372.0,0,-5.664,-9.093,-0.766,4.014,0.010,43200.0,0
"2020-03-18",88.38,57.24,102.00,165.79,0.08,28624.0,1,-2.361,-4.933,0.854,2.221,0.007,43200.0,0
"2020-03-19",84.88,68.01,102.00,86.11,0.05,40387.0,0,-6.366,-8.036,-3.071,1.198,0.005,43200.0,0
"2020-03-20",77.82,39.95,94.41,328.78,0.09,43200.0,0,-8.368,-10.108,-5.822,1.061,0.005,43200.0,0
"2020-03-21",63.40,33.76,91.89,280.85,0.08,43200.0,0,-6.700,-9.451,-5.067,0.829,0.004,43200.0,0
"2020-03-22",63.12,26.05,95.52,355.13,0.09,43200.0,0,-6.979,-13.863,-3.929,5.523,0.011,43200.0,0
"2020-03-23",57.60,35.90,75.36,131.77,0.06,43200.0,0,-7.896,-10.508,-5.308,1.172,0.005,43200.0,0
"2020-03-24",71.12,37.36,102.00,206.00,0.07,42173.0,0,-4.066,-10.076,-1.652,3.387,0.009,43200.0,0
"2020-03-25",67.17,36.30,101.99,235.73,0.07,42261.0,0,-7.094,-11.078,-3.955,2.610,0.008,43200.0,0
"2020-03-26",62.49,25.64,88.90,293.45,0.08,43200.0,0,-10.683,-17.598,-6.037,6.170,0.012,43200.0,0
"2020-03-27",55.42,27.46,81.89,206.06,0.07,43200.0,0,-13.461,-17.178,-10.183,2.437,0.008,43200.0,0
"2020-03-28",63.82,45.58,77.31,80.22,0.04,43200.0,0,-8.082,-10.747,-5.432,0.733,0.004,43200.0,0
"2020-03-29",62.40,40.23,78.12,128.05,0.05,43200.0,0,-6.246,-8.061,-4.512,0.651,0.004,43200.0,0
"2020-03-30",68.05,45.53,93.82,69.99,0.04,43200.0,0,-4.589,-6.572,-0.716,0.772,0.004,43200.0,0
"2020-03-31",79.71,57.54,102.00,104.26,0.05,37299.0,0,-2.497,-4.989,0.711,1.118,0.005,41394.0,0
