date,wssRHMean,wssRHMinimum,wssRHMaximum,wssRHVariance,wssRHStdErMean,wssRHNumPts,RHQF,wssDewTempMean,wssDewTempMinimum,wssDewTempMaximum,wssDewTempVariance,wssDewTempStdErMean,wssDewTempNumPts,dewTempQF
"2022-02-01",61.70,29.29,87.71,341.51,0.09,43200.0,0,-16.924,-20.028,-14.630,1.428,0.006,43200.0,0
"2022-02-02",82.22,78.32,86.99,3.41,0.01,43200.0,0,-21.511,-24.062,-16.922,2.963,0.008,43200.0,0
"2022-02-03",50.72,21.73,82.68,450.53,0.10,43200.0,0,-27.044,-33.977,-21.858,13.264,0.018,43200.0,0
"2022-02-04",50.53,33.21,64.71,56.78,0.04,43200.0,0,-20.766,-23.802,-16.865,2.476,0.008,43200.0,0
"2022-02-05",53.35,28.62,75.82,211.56,0.07,43200.0,0,-16.630,-20.481,-14.129,2.287,0.007,43200.0,0
"2022-02-06",71.99,54.74,92.83,83.68,0.04,43200.0,0,-16.747,-20.753,-14.426,3.119,0.008,43200.0,0
"2022-02-07",55.32,18.33,76.86,161.37,0.06,40871.0,0,-16.690,-22.355,-12.868,2.832,0.008,40874.0,0
"2022-02-08",49.86,33.07,64.07,41.50,0.03,43182.0,0,-15.873,-19.182,-12.386,1.285,0.005,43182.0,0
"2022-02-09",60.17,36.49,87.59,181.77,0.06,43200.0,0,-15.039,-19.837,-10.251,6.891,0.013,43200.0,0
"2022-02-10",83.23,61.32,89.47,24.59,0.02,43200.0,0,-10.785,-12.184,-8.319,0.940,0.005,43200.0,0
"2022-02-11",79.25,63.66,90.79,45.54,0.03,43200.0,0,-11.204,-15.827,-8.111,3.513,0.009,43200.0,0
"2022-02-12",68.90,41.38,87.28,166.31,0.06,43182.0,0,-18.808,-21.649,-14.880,3.424,0.009,43182.0,0
"2022-02-13",53.66,39.49,69.86,45.00,0.03,43200.0,0,-15.945,-17.740,-14.274,0.275,0.003,43200.0,0
"2022-02-14",35.65,18.81,47.48,50.38,0.03,43200.0,0,-17.690,-22.733,-15.834,1.764,0.006,43200.0,0
"2022-02-15",23.26,14.81,29.27,10.21,0.02,43200.0,0,-20.448,-24.175,-17.758,1.341,0.006,43200.0,0
"2022-02-16",62.01,25.24,93.72,400.38,0.10,43200.0,0,-13.840,-19.739,-10.175,5.678,0.011,43200.0,0
"2022-02-17",79.28,61.31,88.73,50.30,0.03,43200.0,0,-18.515,-20.971,-14.145,2.174,0.007,43200.0,0
"2022-02-18",78.98,69.80,84.32,6.56,0.01,43200.0,0,-15.465,-18.124,-13.014,1.264,0.005,43200.0,0
"2022-02-19",63.55,44.50,82.62,122.55,0.05,43200.0,0,-13.907,-15.692,-12.280,0.347,0.003,43200.0,0
"2022-02-20",41.01,20.60,56.64,101.76,0.05,43200.0,0,-16.645,-21.156,-13.381,2.778,0.008,43200.0,0
"2022-02-21",47.74,29.87,88.08,100.85,0.05,43200.0,0,-14.687,-17.773,-9.589,3.485,0.009,43200.0,0
"2022-02-22",71.87,48.05,94.69,87.54,0.05,43200.0,0,-16.138,-19.406,-9.661,5.478,0.011,43200.0,0
"2022-02-23",83.54,52.45,93.36,63.42,0.04,43200.0,0,-15.245,-20.614,-10.784,9.469,0.015,43200.0,0
"2022-02-24",75.64,53.49,91.52,51.11,0.03,43200.0,0,-18.250,-23.989,-13.749,7.402,0.013,43200.0,0
"2022-02-25",71.71,57.14,79.89,14.80,0.02,43200.0,0,-20.930,-23.133,-18.236,0.849,0.004,43200.0,0
"2022-02-26",61.96,26.28,81.72,227.61,0.07,43200.0,0,-22.212,-26.250,-18.590,3.222,0.009,43200.0,0
"2022-02-27",21.05,5.25,33.05,34.68,0.03,43200.0,0,-23.841,-32.628,-18.468,5.550,0.011,43194.0,0
"2022-02-28",30.01,7.96,45.27,64.36,0.04,43200.0,0,-18.869,-29.174,-13.063,8.589,0.014,43200.0,0
