date,wssRHMean,wssRHMinimum,wssRHMaximum,wssRHVariance,wssRHStdErMean,wssRHNumPts,RHQF,wssDewTempMean,wssDewTempMinimum,wssDewTempMaximum,wssDewTempVariance,wssDewTempStdErMean,wssDewTempNumPts,dewTempQF
"2019-11-01",16.16,9.70,27.45,14.31,0.02,43200.0,0,-8.160,-11.447,-3.765,4.208,0.010,43200.0,0
"2019-11-02",17.80,9.55,26.93,20.17,0.02,43200.0,0,-5.791,-8.145,-2.294,1.523,0.006,43200.0,0
"2019-11-03",19.33,12.75,32.88,29.70,0.03,43200.0,0,-3.740,-5.720,0.144,1.945,0.007,43200.0,0
"2019-11-04",28.14,14.76,39.60,43.07,0.03,43200.0,0,0.058,-2.987,5.468,5.899,0.012,43200.0,0
"2019-11-05",36.86,23.82,57.89,86.40,0.05,41552.0,0,4.647,1.133,7.077,2.574,0.008,41552.0,0
"2019-11-06",40.83,19.19,63.07,82.29,0.04,43200.0,0,6.717,0.960,11.150,2.803,0.008,43200.0,0
"2019-11-07",37.33,19.14,54.17,108.28,0.05,43200.0,0,3.445,0.316,5.679,0.988,0.005,43200.0,0
"2019-11-08",39.74,24.09,57.72,62.92,0.04,43200.0,0,5.556,1.932,8.763,4.133,0.010,43200.0,0
"2019-11-09",45.07,30.09,63.76,89.05,0.05,43200.0,0,7.695,5.432,9.618,1.046,0.005,43200.0,0
"2019-11-10",46.50,20.78,63.32,131.28,0.06,43200.0,0,8.068,2.069,9.611,0.934,0.005,43198.0,0
"2019-11-11",39.40,28.19,48.43,22.30,0.02,43181.0,0,5.551,3.463,6.890,0.718,0.004,43181.0,0
"2019-11-12",45.25,28.46,65.05,93.39,0.05,43200.0,0,5.845,2.259,10.835,2.859,0.008,43200.0,0
"2019-11-13",42.63,18.94,68.53,166.13,0.06,43200.0,0,2.036,-1.648,3.651,0.747,0.004,43200.0,0
"2019-11-14",31.83,14.57,47.28,88.68,0.05,43200.0,0,-0.579,-3.502,0.920,0.981,0.005,43200.0,0
"2019-11-15",26.39,14.88,43.89,59.53,0.04,43200.0,0,-1.957,-3.669,-0.135,0.721,0.004,43200.0,0
"2019-11-16",24.41,15.51,40.17,32.67,0.03,43181.0,0,-0.865,-2.736,2.314,1.599,0.006,43181.0,0
"2019-11-17",28.98,16.28,42.21,55.04,0.04,43200.0,0,-0.645,-1.681,0.873,0.358,0.003,43200.0,0
"2019-11-18",22.86,13.31,35.08,36.34,0.03,43200.0,0,-2.466,-3.639,-0.589,0.499,0.003,43200.0,0
"2019-11-19",35.08,15.50,96.02,521.90,0.11,43200.0,0,0.775,-4.848,16.104,42.641,0.031,43198.0,0
"2019-11-20",69.76,45.38,95.32,232.16,0.07,43200.0,0,9.482,5.217,15.949,6.995,0.013,43200.0,0
"2019-11-21",74.20,46.45,96.11,305.85,0.08,43200.0,0,6.653,3.102,9.761,2.711,0.008,43200.0,0
"2019-11-22",74.39,45.22,91.82,244.34,0.08,43200.0,0,5.077,2.467,7.330,1.318,0.006,43200.0,0
"2019-11-23",69.16,26.17,92.18,415.43,0.10,43200.0,0,4.599,0.539,6.281,1.221,0.005,43200.0,0
"2019-11-24",51.34,18.20,71.80,227.31,0.07,43200.0,0,3.378,-2.718,6.803,3.889,0.009,43200.0,0
"2019-11-25",55.83,23.37,78.89,259.15,0.08,43200.0,0,4.228,-2.205,7.302,2.972,0.008,43200.0,0
"2019-11-26",52.21,20.08,89.74,524.67,0.11,43200.0,0,0.134,-9.095,6.514,23.084,0.023,43200.0,0
"2019-11-27",60.17,26.50,89.12,173.78,0.06,43200.0,0,1.773,-6.555,11.379,24.707,0.024,43200.0,0
"2019-11-28",66.35,36.44,88.21,184.61,0.07,43200.0,0,6.721,1.174,10.370,3.214,0.009,43198.0,0
"2019-11-29",68.78,41.52,97.37,429.30,0.10,43200.0,0,4.855,2.654,8.261,1.112,0.005,43200.0,0
"2019-11-30",70.12,43.50,92.44,190.98,0.07,43200.0,0,1.013,-1.879,4.849,2.604,0.008,43200.0,0
