date,wssRHMean,wssRHMinimum,wssRHMaximum,wssRHVariance,wssRHStdErMean,wssRHNumPts,RHQF,wssDewTempMean,wssDewTempMinimum,wssDewTempMaximum,wssDewTempVariance,wssDewTempStdErMean,wssDewTempNumPts,dewTempQF
"2018-06-01",46.90,8.10,77.46,392.19,0.10,42938.0,0,1.884,-11.058,7.212,17.710,0.020,42936.0,0
"2018-06-02",36.89,11.31,65.23,230.23,0.07,43200.0,0,-1.863,-7.495,1.328,4.915,0.011,43200.0,0
"2018-06-03",26.53,6.52,49.64,154.19,0.06,43200.0,0,-2.772,-11.353,2.749,6.281,0.012,43200.0,0
"2018-06-04",19.19,5.18,42.56,105.85,0.05,43198.0,0,-3.911,-10.391,2.106,8.277,0.014,43198.0,0
"2018-06-05",11.57,5.69,20.41,12.36,0.02,43200.0,0,-6.508,-9.179,-1.808,1.900,0.007,43200.0,0
"2018-06-06",15.87,6.30,25.36,26.92,0.02,43200.0,0,-3.908,-9.392,-0.713,2.774,0.008,43200.0,0
"2018-06-07",13.20,6.20,23.74,18.33,0.02,43200.0,0,-6.244,-10.406,-0.954,3.193,0.009,43200.0,0
"2018-06-08",17.92,7.41,41.90,70.95,0.04,43200.0,0,-3.414,-8.513,3.506,11.483,0.016,43198.0,0
"2018-06-09",16.09,5.17,34.13,63.17,0.04,43200.0,0,-4.895,-11.129,2.643,11.392,0.016,43194.0,0
"2018-06-10",28.63,5.61,63.17,414.01,0.10,43200.0,0,-3.518,-11.446,5.234,32.409,0.027,43196.0,0
"2018-06-11",25.22,7.56,44.61,131.63,0.06,43200.0,0,-6.098,-11.199,-3.652,3.932,0.010,43200.0,0
"2018-06-12",29.35,7.89,55.54,191.74,0.07,42532.0,0,-0.944,-9.874,5.707,10.993,0.016,42532.0,0
"2018-06-13",21.54,5.52,39.65,97.30,0.05,43200.0,0,-2.001,-9.239,1.768,5.578,0.011,43200.0,0
"2018-06-14",9.77,5.42,16.01,7.21,0.01,43200.0,0,-7.112,-9.545,-2.561,2.216,0.007,43200.0,0
"2018-06-15",25.56,5.97,54.14,254.59,0.08,43200.0,0,0.240,-8.164,7.296,20.852,0.022,43193.0,0
"2018-06-16",32.37,9.62,53.34,114.02,0.05,43200.0,0,3.586,-3.709,6.129,4.651,0.010,43198.0,0
"2018-06-17",34.34,15.10,49.64,80.60,0.04,43200.0,0,5.075,-0.680,7.325,3.646,0.009,43200.0,0
"2018-06-18",37.78,13.31,72.53,302.08,0.08,43200.0,0,1.257,-5.194,7.991,7.154,0.013,43196.0,0
"2018-06-19",37.23,15.35,59.25,88.94,0.05,43200.0,0,2.192,-3.622,5.124,2.330,0.007,43198.0,0
"2018-06-20",35.45,10.48,57.21,149.22,0.06,42571.0,0,1.897,-5.136,4.216,3.363,0.009,42571.0,0
"2018-06-21",28.62,6.41,51.41,224.80,0.07,43200.0,0,1.113,-9.305,6.340,17.486,0.020,43192.0,0
"2018-06-22",26.85,7.14,49.89,177.79,0.06,43200.0,0,0.469,-10.138,8.540,19.227,0.021,43186.0,0
"2018-06-23",22.54,7.95,37.68,64.26,0.04,43200.0,0,-1.317,-8.720,1.243,2.335,0.007,43200.0,0
"2018-06-24",30.22,11.82,43.59,56.39,0.04,43200.0,0,1.157,-3.741,4.900,2.911,0.008,43193.0,0
"2018-06-25",24.72,5.10,44.84,111.09,0.05,43200.0,0,-1.665,-10.475,2.477,7.501,0.013,43200.0,0
"2018-06-26",14.12,5.09,29.14,40.69,0.03,43200.0,0,-4.429,-10.618,-1.039,4.882,0.011,43198.0,0
"2018-06-27",18.36,4.72,38.91,86.46,0.04,43200.0,0,-1.201,-9.401,3.958,10.054,0.015,43200.0,0
"2018-06-28",7.62,3.84,14.45,6.42,0.01,43087.0,0,-9.261,-15.457,-5.411,6.187,0.012,43087.0,0
"2018-06-29",30.58,3.56,45.90,91.78,0.05,43200.0,0,2.385,-14.234,7.350,15.930,0.019,43200.0,0
"2018-06-30",27.96,15.20,37.71,27.28,0.03,43200.0,0,-0.312,-4.698,2.519,1.507,0.006,43198.0,0
