date,wssRHMean,wssRHMinimum,wssRHMaximum,wssRHVariance,wssRHStdErMean,wssRHNumPts,RHQF,wssDewTempMean,wssDewTempMinimum,wssDewTempMaximum,wssDewTempVariance,wssDewTempStdErMean,wssDewTempNumPts,dewTempQF
"2019-02-01",93.22,70.71,97.91,30.82,0.03,43200.0,0,-1.026,-2.320,1.910,1.269,0.005,43200.0,0
"2019-02-02",95.21,72.96,98.54,35.99,0.03,43200.0,0,3.450,1.660,7.680,3.007,0.008,43200.0,0
"2019-02-03",88.38,73.77,98.53,59.83,0.04,41383.0,0,1.957,-2.020,6.660,6.356,0.012,41396.0,0
"2019-02-04",96.39,91.05,98.06,1.56,0.01,35947.0,0,-0.760,-1.930,1.100,0.318,0.003,43200.0,0
"2019-02-05",92.35,75.15,97.03,40.18,0.03,43200.0,0,-2.988,-5.310,-1.860,0.388,0.003,43200.0,0
"2019-02-06",87.52,71.60,93.96,16.39,0.02,43200.0,0,-6.118,-8.520,-2.940,2.005,0.007,43200.0,0
"2019-02-07",87.06,69.43,95.55,43.96,0.03,43198.0,0,-5.721,-7.450,-3.850,0.898,0.005,43198.0,0
"2019-02-08",88.05,74.85,93.85,18.90,0.02,43200.0,0,-6.332,-7.860,-2.830,1.931,0.007,43200.0,0
"2019-02-09",91.18,72.93,95.87,28.39,0.03,43200.0,0,-5.207,-7.310,-2.720,1.846,0.007,43200.0,0
"2019-02-10",81.24,64.13,94.99,43.31,0.03,42447.0,0,-7.041,-8.090,-4.800,0.376,0.003,42447.0,0
"2019-02-11",93.48,76.45,98.20,25.64,0.03,23647.0,1,-1.348,-5.510,-0.580,1.378,0.006,43200.0,0
"2019-02-12",96.72,95.19,98.25,1.13,0.01,34136.0,1,-2.388,-4.220,-0.540,1.770,0.007,38602.0,0
"2019-02-13",95.82,91.27,98.33,2.53,0.02,10360.0,1,-0.035,-0.590,2.510,0.834,0.005,35477.0,0
"2019-02-14",90.12,81.55,97.93,20.25,0.02,43200.0,0,-2.661,-4.720,1.300,2.929,0.008,43200.0,0
"2019-02-15",96.24,90.97,97.98,1.33,0.01,43200.0,0,-1.551,-2.430,1.030,0.983,0.005,43200.0,0
"2019-02-16",97.13,82.32,98.52,4.75,0.01,32414.0,1,-0.041,-0.780,1.980,0.435,0.003,43200.0,0
"2019-02-17",92.03,66.76,98.44,76.78,0.04,43198.0,0,-1.215,-2.990,0.730,0.734,0.004,43198.0,0
"2019-02-18",86.01,54.60,98.05,132.85,0.06,43199.0,0,-1.924,-4.070,-0.200,0.461,0.003,43199.0,0
"2019-02-19",88.48,71.16,97.62,51.58,0.03,43200.0,0,-0.715,-2.340,1.090,0.475,0.003,43200.0,0
"2019-02-20",91.77,67.04,98.48,50.84,0.04,41218.0,0,-0.246,-1.800,2.360,0.368,0.003,43200.0,0
"2019-02-21",89.65,59.07,98.24,112.02,0.05,39377.0,0,-1.838,-3.560,1.190,0.894,0.005,43200.0,0
"2019-02-22",89.55,58.30,97.95,78.98,0.04,43200.0,0,-2.448,-4.300,-0.410,1.067,0.005,43200.0,0
"2019-02-23",97.15,90.77,98.32,1.83,0.01,35476.0,0,-0.585,-1.750,1.040,0.334,0.003,43199.0,0
"2019-02-24",95.58,84.76,98.23,8.89,0.02,38438.0,0,-0.764,-1.860,0.400,0.214,0.002,43200.0,0
"2019-02-25",90.31,78.54,95.65,16.03,0.02,43200.0,0,-3.279,-5.570,-0.740,1.285,0.005,43200.0,0
"2019-02-26",84.21,62.52,96.69,85.93,0.04,43200.0,0,-6.046,-9.740,-4.320,1.856,0.007,43200.0,0
"2019-02-27",81.56,66.76,90.72,33.65,0.03,43200.0,0,-8.081,-10.290,-5.230,0.923,0.005,43200.0,0
"2019-02-28",84.54,54.61,95.65,132.10,0.06,43200.0,0,-5.708,-9.370,-1.810,2.675,0.008,43200.0,0
