date,wssRHMean,wssRHMinimum,wssRHMaximum,wssRHVariance,wssRHStdErMean,wssRHNumPts,RHQF,wssDewTempMean,wssDewTempMinimum,wssDewTempMaximum,wssDewTempVariance,wssDewTempStdErMean,wssDewTempNumPts,dewTempQF
"2022-02-01",76.72,62.37,89.04,29.28,0.03,43200.0,0,3.632,2.284,4.778,0.358,0.003,43200.0,0
"2022-02-02",74.01,55.27,87.20,42.48,0.03,43200.0,0,2.542,0.350,4.727,1.001,0.005,43200.0,0
"2022-02-03",61.81,45.44,72.11,38.41,0.03,43200.0,0,1.079,-0.620,2.422,0.669,0.004,43200.0,0
"2022-02-04",38.91,21.46,58.31,112.91,0.05,43200.0,0,-2.734,-6.659,0.358,5.578,0.011,43200.0,0
"2022-02-05",36.88,27.94,44.76,7.72,0.01,43200.0,0,-2.560,-4.762,0.566,1.859,0.007,43200.0,0
"2022-02-06",47.66,39.36,56.63,10.47,0.02,43200.0,0,0.887,-1.767,5.023,3.100,0.008,43200.0,0
"2022-02-07",40.32,19.39,61.71,149.07,0.06,43200.0,0,0.499,-7.380,5.350,16.478,0.020,43200.0,0
"2022-02-08",39.12,26.41,56.90,65.02,0.04,43200.0,0,0.828,-4.379,6.155,12.567,0.017,43200.0,0
"2022-02-09",49.12,39.28,58.78,18.28,0.02,43200.0,0,4.418,1.551,7.794,2.393,0.007,43200.0,0
"2022-02-10",45.87,29.71,59.79,50.23,0.03,43200.0,0,4.096,-1.435,7.538,5.717,0.012,43200.0,0
"2022-02-11",41.19,27.48,50.66,27.72,0.03,43200.0,0,4.165,-1.355,8.924,8.104,0.014,43200.0,0
"2022-02-12",32.16,15.68,53.77,118.44,0.05,43200.0,0,1.918,-5.823,9.057,18.408,0.021,43200.0,0
"2022-02-13",24.70,17.65,33.05,11.33,0.02,43200.0,0,-0.865,-4.241,4.398,7.273,0.013,43200.0,0
"2022-02-14",32.99,23.92,41.86,8.29,0.01,43200.0,0,1.513,-2.281,5.910,5.358,0.011,43200.0,0
"2022-02-15",65.00,35.87,94.35,312.38,0.09,43200.0,0,2.856,-1.463,5.764,3.330,0.009,43200.0,0
"2022-02-16",51.45,40.27,68.49,46.10,0.03,43200.0,0,-1.011,-2.482,0.791,0.417,0.003,43200.0,0
"2022-02-17",41.00,24.51,54.21,47.18,0.03,43200.0,0,-1.349,-4.589,0.156,0.891,0.005,43200.0,0
"2022-02-18",34.42,25.45,44.90,15.41,0.02,43200.0,0,-1.996,-3.545,2.816,2.954,0.008,43200.0,0
"2022-02-19",33.69,20.02,45.67,33.97,0.03,43200.0,0,-1.098,-7.326,3.972,8.520,0.014,43200.0,0
"2022-02-20",39.19,26.81,49.67,15.58,0.02,43014.0,0,0.751,-2.885,4.921,3.133,0.009,43021.0,0
"2022-02-21",63.53,36.12,89.18,253.86,0.08,40402.0,0,2.017,-2.173,4.547,1.746,0.007,40438.0,0
"2022-02-22",57.72,33.95,87.69,204.43,0.07,43200.0,0,-2.266,-5.896,1.170,3.327,0.009,43200.0,0
"2022-02-23",78.21,54.19,95.21,142.16,0.06,43200.0,0,-1.100,-3.016,0.547,0.260,0.002,43200.0,0
"2022-02-24",49.99,31.98,76.73,162.12,0.06,43200.0,0,-4.855,-11.361,0.510,9.004,0.014,43200.0,0
"2022-02-25",42.87,28.55,53.94,45.87,0.03,43200.0,0,-4.591,-6.288,-1.451,0.635,0.004,43200.0,0
"2022-02-26",40.26,24.52,48.93,33.63,0.03,31077.0,1,-3.930,-5.890,-3.026,0.425,0.004,31078.0,1
"2022-02-27",32.45,24.77,44.60,22.99,0.02,43200.0,0,-4.062,-6.609,0.838,4.095,0.010,43200.0,0
"2022-02-28",39.22,29.47,46.58,13.02,0.02,43200.0,0,-0.053,-4.418,2.694,1.730,0.006,43200.0,0
