date,wssRHMean,wssRHMinimum,wssRHMaximum,wssRHVariance,wssRHStdErMean,wssRHNumPts,RHQF,wssDewTempMean,wssDewTempMinimum,wssDewTempMaximum,wssDewTempVariance,wssDewTempStdErMean,wssDewTempNumPts,dewTempQF
"2017-11-01",59.03,27.29,80.15,190.22,0.07,43199.0,0,-9.109,-11.720,-7.260,1.206,0.005,43199.0,0
"2017-11-02",36.66,21.93,74.91,145.78,0.06,43200.0,0,-10.929,-13.350,-5.630,2.243,0.007,43200.0,0
"2017-11-03",83.88,67.23,95.28,91.00,0.05,43200.0,0,-6.792,-10.410,-3.610,2.849,0.008,43200.0,0
"2017-11-04",86.30,41.95,94.67,199.20,0.07,38204.0,0,-7.502,-12.650,-5.670,5.061,0.011,43200.0,0
"2017-11-05",77.96,30.00,94.75,466.14,0.11,40993.0,0,-8.306,-14.960,-5.270,5.761,0.012,43200.0,0
"2017-11-06",82.00,34.62,93.47,290.53,0.09,38731.0,0,-10.385,-16.170,-7.000,5.057,0.011,43200.0,0
"2017-11-07",35.94,15.34,50.80,52.24,0.03,43200.0,0,-11.290,-18.580,-6.410,4.684,0.010,43200.0,0
"2017-11-08",53.93,27.21,74.11,121.60,0.05,43200.0,0,-10.884,-14.670,-7.450,2.410,0.007,43200.0,0
"2017-11-09",61.05,38.76,72.05,28.15,0.03,43200.0,0,-12.274,-16.270,-10.440,0.938,0.005,43200.0,0
"2017-11-10",85.44,54.02,91.53,63.73,0.04,43200.0,0,-11.881,-12.970,-9.450,0.326,0.003,43200.0,0
"2017-11-11",79.27,56.19,89.37,109.13,0.05,43200.0,0,-12.936,-16.750,-11.150,2.403,0.007,43200.0,0
"2017-11-12",83.46,67.98,92.99,38.48,0.03,43200.0,0,-9.621,-13.140,-6.670,2.509,0.008,43200.0,0
"2017-11-13",91.37,86.49,94.05,4.04,0.01,37900.0,0,-8.147,-12.860,-6.350,2.878,0.008,43200.0,0
"2017-11-14",84.89,49.65,88.66,45.46,0.03,43200.0,0,-14.600,-19.920,-12.760,2.938,0.008,43200.0,0
"2017-11-15",62.93,44.47,88.98,267.72,0.13,16428.0,1,-15.350,-19.470,-10.190,8.960,0.023,16428.0,1
"2017-11-16",89.47,85.52,92.78,1.65,0.01,43200.0,0,-9.557,-11.000,-8.530,0.419,0.003,43200.0,0
"2017-11-17",87.02,82.58,92.06,9.44,0.01,43200.0,0,-14.619,-19.610,-9.140,13.175,0.017,43200.0,0
"2017-11-18",78.73,59.67,84.56,39.68,0.03,43200.0,0,-18.947,-21.010,-16.710,0.796,0.004,43200.0,0
"2017-11-19",51.95,34.78,85.25,124.57,0.05,43200.0,0,-23.500,-28.690,-19.120,4.583,0.010,43200.0,0
"2017-11-20",63.59,17.73,79.39,452.39,0.10,43181.0,0,-25.784,-30.760,-23.620,2.916,0.008,43181.0,0
"2017-11-21",34.37,16.26,55.34,81.88,0.04,43200.0,0,-22.381,-29.850,-13.530,20.763,0.022,43200.0,0
"2017-11-22",68.91,43.25,90.22,164.77,0.06,43200.0,0,-13.614,-16.470,-10.900,1.628,0.006,43200.0,0
"2017-11-23",72.69,64.81,79.46,12.46,0.02,43200.0,0,-16.832,-18.320,-16.060,0.149,0.002,43200.0,0
"2017-11-24",80.25,64.23,88.91,59.94,0.04,43200.0,0,-13.968,-16.680,-12.120,1.733,0.006,43200.0,0
"2017-11-25",80.86,48.67,87.49,87.86,0.05,43200.0,0,-17.541,-22.090,-13.760,3.569,0.009,43200.0,0
"2017-11-26",48.39,39.16,60.01,13.48,0.02,43200.0,0,-21.720,-24.560,-19.330,1.584,0.006,43200.0,0
"2017-11-27",42.13,35.08,48.34,7.80,0.01,43200.0,0,-25.564,-27.270,-22.910,0.729,0.004,43200.0,0
"2017-11-28",46.07,30.89,63.22,64.06,0.04,43200.0,0,-18.377,-26.600,-14.300,16.201,0.019,43200.0,0
"2017-11-29",74.80,56.61,89.47,67.49,0.04,43200.0,0,-20.471,-25.500,-14.330,16.482,0.020,43200.0,0
"2017-11-30",70.41,58.85,83.61,72.21,0.04,43200.0,0,-16.790,-23.700,-13.920,6.316,0.012,43200.0,0
