date,wssRHMean,wssRHMinimum,wssRHMaximum,wssRHVariance,wssRHStdErMean,wssRHNumPts,RHQF,wssDewTempMean,wssDewTempMinimum,wssDewTempMaximum,wssDewTempVariance,wssDewTempStdErMean,wssDewTempNumPts,dewTempQF
"2018-09-01",86.12,49.17,98.88,232.80,0.07,43200.0,0,1.405,-2.964,5.682,5.705,0.011,43200.0,0
"2018-09-02",87.40,69.18,96.30,70.76,0.04,43200.0,0,7.078,4.489,8.827,1.428,0.006,43200.0,0
"2018-09-03",87.62,70.73,97.90,74.83,0.04,43200.0,0,7.481,5.231,8.661,0.940,0.005,43200.0,0
"2018-09-04",81.43,70.42,95.92,50.39,0.03,43200.0,0,5.531,3.745,6.901,0.437,0.003,43200.0,0
"2018-09-05",84.99,60.52,94.93,53.43,0.04,43200.0,0,6.690,5.562,7.321,0.114,0.002,43200.0,0
"2018-09-06",89.43,67.88,98.43,76.58,0.04,43200.0,0,7.212,5.227,8.887,0.805,0.004,43200.0,0
"2018-09-07",82.13,50.92,97.75,241.97,0.07,43200.0,0,4.593,1.395,7.355,2.945,0.008,43200.0,0
"2018-09-08",66.47,26.56,97.83,407.31,0.10,43200.0,0,0.253,-3.130,3.319,1.817,0.006,43200.0,0
"2018-09-09",70.61,23.29,96.66,522.81,0.11,43200.0,0,-1.883,-4.425,2.909,2.558,0.008,43200.0,0
"2018-09-10",75.99,31.63,97.43,431.35,0.10,43200.0,0,-0.219,-3.309,3.371,2.866,0.008,43200.0,0
"2018-09-11",72.63,31.17,97.99,506.70,0.11,43200.0,0,2.100,-0.846,5.466,2.893,0.008,43200.0,0
"2018-09-12",75.77,37.36,95.56,257.93,0.08,41361.0,0,5.178,2.666,8.336,1.860,0.007,41362.0,0
"2018-09-13",85.85,50.22,97.09,85.39,0.05,35575.0,0,7.887,4.445,9.086,0.912,0.005,35575.0,0
"2018-09-14",19.69,18.80,20.68,0.19,0.01,843.0,1,-6.664,-7.382,-6.054,0.072,0.009,844.0,1
"2018-09-15",49.74,17.79,80.09,380.92,0.09,43200.0,0,-1.596,-7.804,1.592,4.383,0.010,43200.0,0
"2018-09-16",64.28,25.53,82.27,221.57,0.07,43200.0,0,1.972,-2.933,5.240,2.381,0.007,43200.0,0
"2018-09-17",81.75,36.22,94.92,338.67,0.09,43169.0,0,5.331,1.108,7.105,2.399,0.007,43169.0,0
"2018-09-18",74.53,33.82,95.89,277.13,0.08,43200.0,0,4.141,1.399,7.370,1.973,0.007,43200.0,0
"2018-09-19",88.26,62.88,99.72,123.37,0.05,43200.0,0,7.303,4.898,10.083,0.893,0.005,43200.0,0
"2018-09-20",93.20,69.29,99.09,42.79,0.03,43200.0,0,5.950,4.658,7.897,0.761,0.004,43200.0,0
"2018-09-21",92.39,72.99,99.60,59.33,0.04,43200.0,0,6.407,4.963,7.950,0.093,0.001,43200.0,0
"2018-09-22",94.76,73.30,99.50,38.21,0.03,43200.0,0,5.833,4.545,7.870,0.488,0.003,43200.0,0
"2018-09-23",96.21,85.27,99.57,14.47,0.02,43200.0,0,5.441,4.098,6.830,0.522,0.003,43200.0,0
"2018-09-24",90.85,59.51,99.47,164.89,0.06,43200.0,0,4.725,0.924,7.054,3.240,0.009,43200.0,0
"2018-09-25",89.09,58.00,99.26,105.94,0.05,43200.0,0,5.317,3.022,7.086,0.906,0.005,43200.0,0
"2018-09-26",91.82,70.19,98.81,52.61,0.03,43200.0,0,4.512,2.902,7.258,1.243,0.005,43200.0,0
"2018-09-27",80.02,49.49,97.36,205.73,0.07,43200.0,0,0.655,-2.490,4.648,3.949,0.010,43200.0,0
"2018-09-28",67.83,45.73,92.67,219.23,0.07,43200.0,0,-2.514,-5.006,0.045,1.756,0.006,43200.0,0
"2018-09-29",56.17,12.59,90.34,559.46,0.11,43200.0,0,-3.773,-10.099,-0.656,6.642,0.012,43194.0,0
"2018-09-30",52.92,12.30,79.44,430.03,0.10,43200.0,0,-5.226,-10.283,-2.894,1.824,0.006,43200.0,0
