date,wssRHMean,wssRHMinimum,wssRHMaximum,wssRHVariance,wssRHStdErMean,wssRHNumPts,RHQF,wssDewTempMean,wssDewTempMinimum,wssDewTempMaximum,wssDewTempVariance,wssDewTempStdErMean,wssDewTempNumPts,dewTempQF
"2021-04-01",91.72,64.89,99.93,72.76,0.05,35348.0,0,10.870,7.104,12.544,0.557,0.004,43200.0,0
"2021-04-02",92.45,65.94,99.90,80.10,0.05,39518.0,0,9.544,5.393,12.365,1.699,0.006,43200.0,0
"2021-04-03",93.86,74.44,100.02,35.62,0.04,23668.0,1,10.508,8.070,12.356,1.318,0.006,43200.0,0
"2021-04-04",95.60,73.62,100.16,33.40,0.03,28467.0,1,10.312,6.711,12.174,1.543,0.006,43200.0,0
"2021-04-05",99.83,99.36,100.03,0.02,0.00,12011.0,1,11.463,10.479,12.850,0.250,0.002,43200.0,0
"2021-04-06",100.08,99.86,100.28,0.01,0.00,13610.0,1,10.423,9.154,12.225,0.597,0.004,43200.0,0
"2021-04-07",91.36,67.15,100.35,86.46,0.06,21772.0,1,8.291,3.416,10.922,2.138,0.007,43200.0,0
"2021-04-08",94.49,76.31,99.94,28.40,0.03,43200.0,0,8.395,4.587,11.508,1.912,0.007,43200.0,0
"2021-04-09",97.22,81.60,100.14,14.40,0.02,31067.0,1,8.341,5.828,11.139,1.214,0.005,43200.0,0
"2021-04-10",97.72,86.43,100.23,8.84,0.02,27818.0,1,8.286,5.868,10.379,1.290,0.005,43165.0,0
"2021-04-11",92.60,74.97,100.22,31.88,0.03,30301.0,1,8.025,5.054,10.033,1.142,0.005,43200.0,0
"2021-04-12",85.86,65.92,99.94,66.31,0.04,41218.0,0,6.751,4.332,10.399,2.327,0.008,41224.0,0
"2021-04-13",84.48,62.36,100.18,110.70,0.06,34429.0,1,6.792,3.706,10.884,3.692,0.010,37305.0,0
"2021-04-14",88.43,60.87,100.24,94.78,0.06,25869.0,1,8.342,3.140,11.347,4.908,0.011,43200.0,0
"2021-04-15",91.05,67.42,100.13,60.40,0.04,34420.0,1,8.851,3.453,12.472,3.562,0.009,43200.0,0
"2021-04-16",85.82,52.27,100.28,135.34,0.07,28839.0,1,9.303,2.542,12.222,4.024,0.010,43200.0,0
"2021-04-17",84.66,46.46,100.15,203.64,0.08,35205.0,0,8.747,-0.849,12.015,9.404,0.015,43200.0,0
"2021-04-18",88.00,57.12,100.07,98.79,0.06,30768.0,1,10.105,6.126,12.587,1.445,0.006,43198.0,0
"2021-04-19",88.61,55.16,100.08,153.57,0.06,37501.0,0,10.207,7.249,12.543,1.344,0.006,43200.0,0
"2021-04-20",77.43,43.40,99.89,245.92,0.08,43200.0,0,9.297,2.531,13.040,9.137,0.015,43200.0,0
"2021-04-21",78.27,45.89,99.74,204.38,0.07,41207.0,0,9.433,2.001,12.723,8.772,0.014,43200.0,0
"2021-04-22",90.60,68.10,99.79,75.51,0.04,43200.0,0,9.968,5.004,13.056,2.412,0.007,43200.0,0
"2021-04-23",89.31,67.12,99.65,57.44,0.04,43200.0,0,9.663,6.927,12.419,1.396,0.006,43200.0,0
"2021-04-24",96.92,81.72,99.90,16.17,0.02,39135.0,0,10.697,8.913,13.353,1.261,0.005,43199.0,0
"2021-04-25",88.52,62.22,100.12,116.65,0.07,27578.0,1,10.431,5.934,12.657,1.553,0.006,43200.0,0
"2021-04-26",91.43,45.60,100.07,99.54,0.05,36694.0,0,10.239,0.307,12.807,3.294,0.009,43147.0,0
"2021-04-27",73.84,35.56,98.91,172.10,0.06,43200.0,0,8.093,0.112,13.314,9.071,0.014,43196.0,0
"2021-04-28",97.22,85.74,100.00,6.18,0.01,37527.0,0,12.032,10.209,13.661,0.550,0.004,43200.0,0
"2021-04-29",94.82,80.99,100.19,22.31,0.03,23533.0,1,12.053,9.846,13.579,0.598,0.004,43200.0,0
"2021-04-30",91.58,70.10,100.14,70.05,0.05,33099.0,1,11.171,6.950,13.395,2.034,0.007,43200.0,0
