date,wssPrecipTotal,precipQF
"2019-01-01",9.590,0
"2019-01-02",0.550,0
"2019-01-03",0.600,0
"2019-01-04",0.620,0
"2019-01-05",1.110,0
"2019-01-06",0.570,0
"2019-01-07",0.550,0
"2019-01-08",0.870,0
"2019-01-09",4.310,0
"2019-01-10",0.240,0
"2019-01-11",0.790,0
"2019-01-12",0.580,0
"2019-01-13",0.370,0
"2019-01-14",0.480,0
"2019-01-15",0.340,0
"2019-01-16",0.820,0
"2019-01-17",0.800,0
"2019-01-18",0.420,0
"2019-01-19",0.440,0
"2019-01-20",16.150,0
"2019-01-21",0.290,0
"2019-01-22",0.620,0
"2019-01-23",0.470,0
"2019-01-24",46.700,0
"2019-01-25",0.820,0
"2019-01-26",0.350,0
"2019-01-27",0.130,0
"2019-01-28",0.630,0
"2019-01-29",0.060,0
"2019-01-30",5.400,0
"2019-01-31",0.720,1
