date,wssPrecipTotal,precipQF
"2018-11-01",0.160,0
"2018-11-02",14.840,0
"2018-11-03",2.570,0
"2018-11-04",0.250,0
"2018-11-05",18.390,0
"2018-11-06",7.920,0
"2018-11-07",0.170,0
"2018-11-08",0.120,0
"2018-11-09",11.350,0
"2018-11-10",0.160,0
"2018-11-11",0.200,0
"2018-11-12",2.110,0
"2018-11-13",14.050,0
"2018-11-14",0.280,0
"2018-11-15",36.000,0
"2018-11-16",8.910,0
"2018-11-17",0.370,0
"2018-11-18",0.350,0
"2018-11-19",0.240,0
"2018-11-20",0.230,0
"2018-11-21",0.250,0
"2018-11-22",0.000,0
"2018-11-23",0.000,0
"2018-11-24",28.730,0
"2018-11-25",0.720,0
"2018-11-26",1.200,0
"2018-11-27",0.290,0
"2018-11-28",0.000,0
"2018-11-29",0.160,0
"2018-11-30",0.630,0
