date,wssPrecipTotal,precipQF
"2020-03-01",2.440,0
"2020-03-02",1.740,0
"2020-03-03",1.720,0
"2020-03-04",2.220,0
"2020-03-05",3.340,0
"2020-03-06",1.810,0
"2020-03-07",2.450,0
"2020-03-08",1.250,0
"2020-03-09",1.830,0
"2020-03-10",2.980,0
"2020-03-11",2.690,0
"2020-03-12",2.660,0
"2020-03-13",2.900,0
"2020-03-14",2.360,0
"2020-03-15",1.510,0
"2020-03-16",2.070,0
"2020-03-17",1.960,0
"2020-03-18",2.010,0
"2020-03-19",2.000,0
"2020-03-20",1.580,0
"2020-03-21",1.260,0
"2020-03-22",1.970,0
"2020-03-23",1.250,0
"2020-03-24",1.140,0
"2020-03-25",0.900,0
"2020-03-26",2.820,0
"2020-03-27",1.930,0
"2020-03-28",1.160,0
"2020-03-29",1.020,0
"2020-03-30",1.500,0
"2020-03-31",11.080,0
