date,wssPrecipTotal,precipQF
"2019-08-01",0.110,1
"2019-08-02",0.320,0
"2019-08-03",1.580,0
"2019-08-04",0.080,0
"2019-08-05",0.190,0
"2019-08-06",0.180,0
"2019-08-07",1.100,0
"2019-08-08",0.100,0
"2019-08-09",4.370,0
"2019-08-10",0.180,0
"2019-08-11",0.130,0
"2019-08-12",0.190,0
"2019-08-13",0.240,0
"2019-08-14",0.270,0
"2019-08-15",0.120,0
"2019-08-16",0.110,1
"2019-08-17",0.070,1
"2019-08-18",0.140,0
"2019-08-19",0.250,0
"2019-08-20",0.260,0
"2019-08-21",0.130,0
"2019-08-22",0.020,0
"2019-08-23",0.100,0
"2019-08-24",0.170,0
"2019-08-25",0.220,0
"2019-08-26",0.040,0
"2019-08-27",1.980,0
"2019-08-28",9.390,0
"2019-08-29",8.980,0
"2019-08-30",0.140,0
"2019-08-31",0.000,1
