date,wssPrecipTotal,precipQF
"2017-02-01",0.000,1
"2017-02-02",0.000,1
"2017-02-03",0.000,1
"2017-02-04",0.000,1
"2017-02-05",0.000,1
"2017-02-06",0.000,1
"2017-02-07",0.000,1
"2017-02-08",0.000,1
"2017-02-09",0.000,1
"2017-02-10",0.000,1
"2017-02-11",0.000,1
"2017-02-12",0.000,1
"2017-02-13",0.000,1
"2017-02-14",0.000,1
"2017-02-15",0.000,1
"2017-02-16",0.000,1
"2017-02-17",0.000,1
"2017-02-18",0.000,1
"2017-02-19",1.330,0
"2017-02-20",7.730,0
"2017-02-21",11.030,0
"2017-02-22",4.650,0
"2017-02-23",18.200,1
"2017-02-24",5.680,0
"2017-02-25",5.880,0
"2017-02-26",3.060,0
"2017-02-27",2.640,0
"2017-02-28",1.830,0
