date,wssPrecipTotal,precipQF
"2020-07-01",0.020,1
"2020-07-02",0.440,0
"2020-07-03",2.150,0
"2020-07-04",0.640,0
"2020-07-05",0.000,1
"2020-07-06",0.680,0
"2020-07-07",0.810,0
"2020-07-08",0.250,0
"2020-07-09",15.770,0
"2020-07-10",0.380,0
"2020-07-11",0.450,0
"2020-07-12",0.170,0
"2020-07-13",0.180,0
"2020-07-14",0.840,0
"2020-07-15",0.000,1
"2020-07-16",0.860,0
"2020-07-17",0.610,0
"2020-07-18",0.290,0
"2020-07-19",0.840,0
"2020-07-20",10.190,0
"2020-07-21",10.730,0
"2020-07-22",0.680,0
"2020-07-23",0.710,0
"2020-07-24",0.770,0
"2020-07-25",0.590,0
"2020-07-26",0.660,0
"2020-07-27",3.460,0
"2020-07-28",2.300,0
"2020-07-29",8.030,1
"2020-07-30",1.690,1
"2020-07-31",4.160,0
