date,wssPrecipTotal,precipQF
"2017-11-01",0.650,0
"2017-11-02",0.540,0
"2017-11-03",4.110,0
"2017-11-04",0.140,0
"2017-11-05",1.030,0
"2017-11-06",4.360,0
"2017-11-07",31.300,0
"2017-11-08",0.440,0
"2017-11-09",1.130,0
"2017-11-10",1.620,0
"2017-11-11",0.750,0
"2017-11-12",0.440,0
"2017-11-13",0.770,0
"2017-11-14",1.250,0
"2017-11-15",1.350,0
"2017-11-16",0.450,0
"2017-11-17",0.820,0
"2017-11-18",0.570,0
"2017-11-19",3.600,0
"2017-11-20",0.680,0
"2017-11-21",1.000,0
"2017-11-22",0.660,0
"2017-11-23",0.780,0
"2017-11-24",0.600,0
"2017-11-25",0.470,0
"2017-11-26",0.500,0
"2017-11-27",0.000,1
"2017-11-28",0.000,1
"2017-11-29",0.000,1
"2017-11-30",0.000,1
