date,wssPrecipTotal,precipQF
"2021-11-01",1.710,0
"2021-11-02",2.530,0
"2021-11-03",2.160,0
"2021-11-04",2.500,0
"2021-11-05",2.170,0
"2021-11-06",2.280,0
"2021-11-07",2.040,0
"2021-11-08",1.820,0
"2021-11-09",1.570,0
"2021-11-10",1.350,0
"2021-11-11",3.680,0
"2021-11-12",2.240,0
"2021-11-13",2.360,0
"2021-11-14",1.610,0
"2021-11-15",1.930,0
"2021-11-16",1.300,0
"2021-11-17",1.390,0
"2021-11-18",0.880,0
"2021-11-19",2.180,0
"2021-11-20",1.830,0
"2021-11-21",1.500,0
"2021-11-22",11.230,0
"2021-11-23",1.950,0
"2021-11-24",2.090,0
"2021-11-25",2.590,0
"2021-11-26",5.570,0
"2021-11-27",1.820,0
"2021-11-28",1.000,0
"2021-11-29",1.900,0
"2021-11-30",1.910,0
