date,wssPrecipTotal,precipQF
"2018-07-01",0.000,1
"2018-07-02",0.000,1
"2018-07-03",8.630,0
"2018-07-04",15.220,0
"2018-07-05",0.100,0
"2018-07-06",0.040,0
"2018-07-07",0.020,0
"2018-07-08",9.590,0
"2018-07-09",0.270,0
"2018-07-10",4.360,0
"2018-07-11",0.080,0
"2018-07-12",0.150,0
"2018-07-13",0.040,0
"2018-07-14",0.080,0
"2018-07-15",0.180,0
"2018-07-16",0.160,0
"2018-07-17",0.140,0
"2018-07-18",0.150,0
"2018-07-19",1.910,0
"2018-07-20",6.320,0
"2018-07-21",0.170,0
"2018-07-22",12.120,0
"2018-07-23",0.130,0
"2018-07-24",0.130,0
"2018-07-25",15.040,0
"2018-07-26",0.120,0
"2018-07-27",0.060,0
"2018-07-28",0.250,0
"2018-07-29",0.090,0
"2018-07-30",0.160,0
"2018-07-31",0.050,0
