date,wssPrecipTotal,precipQF
"2021-10-01",3.830,0
"2021-10-02",1.920,0
"2021-10-03",2.670,0
"2021-10-04",2.520,0
"2021-10-05",1.770,0
"2021-10-06",2.370,0
"2021-10-07",2.740,0
"2021-10-08",3.590,0
"2021-10-09",3.270,0
"2021-10-10",6.040,0
"2021-10-11",3.280,0
"2021-10-12",1.830,0
"2021-10-13",4.230,1
"2021-10-14",3.250,1
"2021-10-15",1.920,1
"2021-10-16",3.880,1
"2021-10-17",2.990,1
"2021-10-18",4.540,0
"2021-10-19",3.170,0
"2021-10-20",3.640,0
"2021-10-21",3.700,1
"2021-10-22",2.590,1
"2021-10-23",3.280,0
"2021-10-24",2.710,0
"2021-10-25",3.650,1
"2021-10-26",2.570,0
"2021-10-27",2.080,0
"2021-10-28",0.760,0
"2021-10-29",1.310,1
"2021-10-30",0.860,0
"2021-10-31",0.110,0
