date,wssPrecipTotal,precipQF
"2019-10-01",0.250,0
"2019-10-02",0.270,0
"2019-10-03",0.070,0
"2019-10-04",0.410,0
"2019-10-05",0.110,0
"2019-10-06",0.370,0
"2019-10-07",0.430,0
"2019-10-08",0.200,0
"2019-10-09",0.270,0
"2019-10-10",1.900,0
"2019-10-11",3.360,0
"2019-10-12",0.190,1
"2019-10-13",0.250,0
"2019-10-14",0.150,0
"2019-10-15",0.210,0
"2019-10-16",0.580,0
"2019-10-17",0.280,0
"2019-10-18",0.210,0
"2019-10-19",0.170,0
"2019-10-20",0.210,0
"2019-10-21",0.000,1
"2019-10-22",0.000,1
"2019-10-23",0.200,1
"2019-10-24",42.740,0
"2019-10-25",7.850,0
"2019-10-26",0.990,0
"2019-10-27",0.210,0
"2019-10-28",0.200,0
"2019-10-29",7.110,0
"2019-10-30",9.730,0
"2019-10-31",0.530,1
