date,wssPrecipTotal,precipQF
"2019-01-01",1.050,1
"2019-01-02",0.400,1
"2019-01-03",0.800,1
"2019-01-04",0.730,1
"2019-01-05",0.500,1
"2019-01-06",0.640,1
"2019-01-07",1.610,1
"2019-01-08",1.050,1
"2019-01-09",0.470,1
"2019-01-10",0.850,1
"2019-01-11",0.520,1
"2019-01-12",0.230,1
"2019-01-13",0.750,1
"2019-01-14",0.180,1
"2019-01-15",0.630,1
"2019-01-16",0.460,1
"2019-01-17",0.410,1
"2019-01-18",1.330,1
"2019-01-19",0.700,1
"2019-01-20",0.260,1
"2019-01-21",2.970,1
"2019-01-22",0.340,1
"2019-01-23",0.490,1
"2019-01-24",1.330,1
"2019-01-25",0.700,1
"2019-01-26",0.280,1
"2019-01-27",1.010,1
"2019-01-28",0.490,1
"2019-01-29",0.290,1
"2019-01-30",1.370,1
"2019-01-31",0.360,1
