date,wssPrecipTotal,precipQF
"2018-10-01",0.070,0
"2018-10-02",0.100,0
"2018-10-03",1.960,0
"2018-10-04",3.500,0
"2018-10-05",0.560,1
"2018-10-06",1.260,1
"2018-10-07",0.740,1
"2018-10-08",1.540,1
"2018-10-09",1.380,1
"2018-10-10",4.200,0
"2018-10-11",5.590,1
"2018-10-12",25.550,1
"2018-10-13",0.210,1
"2018-10-14",9.100,0
"2018-10-15",0.300,0
"2018-10-16",0.390,0
"2018-10-17",0.240,0
"2018-10-18",0.580,1
"2018-10-19",1.450,1
"2018-10-20",0.210,1
"2018-10-21",0.060,1
"2018-10-22",0.520,1
"2018-10-23",0.280,1
"2018-10-24",0.100,1
"2018-10-25",0.380,1
"2018-10-26",0.520,1
"2018-10-27",0.390,1
"2018-10-28",0.120,1
"2018-10-29",0.110,0
"2018-10-30",3.930,1
"2018-10-31",4.020,0
