date,wssPrecipTotal,precipQF
"2021-07-01",0.000,1
"2021-07-02",0.000,1
"2021-07-03",0.000,1
"2021-07-04",0.030,1
"2021-07-05",0.040,0
"2021-07-06",0.000,0
"2021-07-07",0.000,1
"2021-07-08",1.320,0
"2021-07-09",0.000,0
"2021-07-10",0.000,0
"2021-07-11",9.920,0
"2021-07-12",0.000,0
"2021-07-13",10.810,0
"2021-07-14",0.000,0
"2021-07-15",5.120,0
"2021-07-16",5.770,0
"2021-07-17",0.370,0
"2021-07-18",0.050,0
"2021-07-19",0.100,0
"2021-07-20",6.910,0
"2021-07-21",0.000,0
"2021-07-22",4.550,0
"2021-07-23",20.240,0
"2021-07-24",13.660,0
"2021-07-25",76.630,0
"2021-07-26",0.000,0
"2021-07-27",0.280,0
"2021-07-28",0.000,0
"2021-07-29",0.020,0
"2021-07-30",16.540,0
"2021-07-31",9.050,0
