date,wssPrecipTotal,precipQF
"2018-11-01",0.610,0
"2018-11-02",0.150,0
"2018-11-03",0.430,0
"2018-11-04",0.280,0
"2018-11-05",0.350,0
"2018-11-06",0.360,0
"2018-11-07",0.150,0
"2018-11-08",0.400,0
"2018-11-09",0.210,0
"2018-11-10",0.190,0
"2018-11-11",0.170,0
"2018-11-12",0.450,0
"2018-11-13",0.270,0
"2018-11-14",0.180,0
"2018-11-15",0.160,0
"2018-11-16",0.140,0
"2018-11-17",0.080,0
"2018-11-18",0.090,0
"2018-11-19",0.140,0
"2018-11-20",0.080,0
"2018-11-21",0.210,0
"2018-11-22",0.370,0
"2018-11-23",0.520,0
"2018-11-24",6.980,0
"2018-11-25",0.350,0
"2018-11-26",0.210,0
"2018-11-27",0.360,0
"2018-11-28",0.390,0
"2018-11-29",0.660,0
"2018-11-30",1.270,0
