date,wssPrecipTotal,precipQF
"2021-01-01",0.440,1
"2021-01-02",0.720,1
"2021-01-03",1.010,1
"2021-01-04",1.120,1
"2021-01-05",1.080,1
"2021-01-06",0.820,1
"2021-01-07",0.690,1
"2021-01-08",1.750,1
"2021-01-09",0.500,1
"2021-01-10",2.000,1
"2021-01-11",1.250,1
"2021-01-12",0.740,1
"2021-01-13",0.760,1
"2021-01-14",0.310,1
"2021-01-15",0.060,1
"2021-01-16",0.000,1
"2021-01-17",0.000,1
"2021-01-18",0.000,1
"2021-01-19",0.000,1
"2021-01-20",0.000,1
"2021-01-21",0.000,1
"2021-01-22",0.000,1
"2021-01-23",0.000,1
"2021-01-24",0.000,1
"2021-01-25",5.970,1
"2021-01-26",0.830,1
"2021-01-27",9.520,1
"2021-01-28",27.700,0
"2021-01-29",31.300,1
"2021-01-30",0.650,1
"2021-01-31",1.330,1
