date,wssPrecipTotal,precipQF
"2020-06-01",1.210,0
"2020-06-02",1.210,0
"2020-06-03",1.100,0
"2020-06-04",1.520,0
"2020-06-05",1.760,0
"2020-06-06",1.290,0
"2020-06-07",1.750,0
"2020-06-08",1.730,0
"2020-06-09",1.150,0
"2020-06-10",2.020,0
"2020-06-11",1.440,0
"2020-06-12",1.390,0
"2020-06-13",1.330,0
"2020-06-14",1.250,0
"2020-06-15",1.210,0
"2020-06-16",1.100,0
"2020-06-17",0.730,0
"2020-06-18",0.940,0
"2020-06-19",0.450,0
"2020-06-20",1.780,0
"2020-06-21",1.650,0
"2020-06-22",1.390,0
"2020-06-23",1.940,0
"2020-06-24",2.350,0
"2020-06-25",1.640,0
"2020-06-26",1.100,0
"2020-06-27",2.560,0
"2020-06-28",1.610,0
"2020-06-29",1.390,0
"2020-06-30",0.860,0
