date,wssPrecipTotal,precipQF
"2021-06-01",0.810,0
"2021-06-02",1.010,0
"2021-06-03",1.560,0
"2021-06-04",1.770,0
"2021-06-05",2.400,0
"2021-06-06",2.100,0
"2021-06-07",1.160,0
"2021-06-08",2.060,0
"2021-06-09",1.330,0
"2021-06-10",0.990,0
"2021-06-11",0.670,0
"2021-06-12",1.390,0
"2021-06-13",0.380,0
"2021-06-14",1.120,0
"2021-06-15",1.030,0
"2021-06-16",0.740,0
"2021-06-17",0.760,0
"2021-06-18",1.010,0
"2021-06-19",0.950,0
"2021-06-20",4.150,0
"2021-06-21",0.840,0
"2021-06-22",1.580,0
"2021-06-23",0.740,0
"2021-06-24",0.710,0
"2021-06-25",2.620,0
"2021-06-26",1.080,0
"2021-06-27",1.010,0
"2021-06-28",0.650,0
"2021-06-29",0.810,0
"2021-06-30",1.230,0
