date,wssPrecipTotal,precipQF
"2020-12-01",0.610,0
"2020-12-02",0.000,0
"2020-12-03",0.000,0
"2020-12-04",5.380,0
"2020-12-05",0.000,0
"2020-12-06",0.000,0
"2020-12-07",0.000,0
"2020-12-08",4.120,0
"2020-12-09",0.040,0
"2020-12-10",0.750,0
"2020-12-11",0.000,0
"2020-12-12",0.000,0
"2020-12-13",0.360,0
"2020-12-14",7.720,0
"2020-12-15",0.060,0
"2020-12-16",0.980,0
"2020-12-17",1.440,0
"2020-12-18",74.480,0
"2020-12-19",40.690,0
"2020-12-20",24.440,0
"2020-12-21",7.980,0
"2020-12-22",0.840,0
"2020-12-23",0.960,0
"2020-12-24",0.000,0
"2020-12-25",0.000,0
"2020-12-26",0.060,0
"2020-12-27",14.820,0
"2020-12-28",11.740,0
"2020-12-29",0.370,0
"2020-12-30",3.640,0
"2020-12-31",1.000,0
