date,wssStaPresMean,wssStaPresMinimum,wssStaPresMaximum,wssStaPresVariance,wssStaPresStdErMean,wssStaPresNumPts,staPresQF,wssCorPres,corPresQF
"2015-09-01",97.52784,97.26461,97.70757,0.01354,0.00125,8638.0,0,,1
"2015-09-02",97.43125,97.10262,97.63058,0.02674,0.00176,8632.0,0,,1
"2015-09-03",97.07610,96.99463,97.15561,0.00210,0.00058,6203.0,1,,1
"2015-09-04",,,,-0.00000,,0.0,1,,1
"2015-09-05",,,,-0.00000,,0.0,1,,1
"2015-09-06",,,,-0.00000,,0.0,1,,1
"2015-09-07",,,,-0.00000,,0.0,1,,1
"2015-09-08",97.37227,97.29777,97.51776,0.00507,0.00126,3178.0,1,101.29795,1
"2015-09-09",97.19827,96.81879,97.40176,0.03749,0.00208,8636.0,0,101.17390,0
"2015-09-10",97.06917,96.89579,97.24977,0.00714,0.00091,8637.0,0,101.10713,0
"2015-09-11",96.74684,96.59080,96.98178,0.00952,0.00105,8635.0,0,100.82757,0
"2015-09-12",96.91995,96.70380,97.09178,0.00939,0.00104,8638.0,0,100.97074,0
"2015-09-13",96.63430,96.50980,96.79679,0.00528,0.00078,8636.0,0,100.71181,0
"2015-09-14",96.99496,96.51881,97.63476,0.09128,0.00325,8637.0,0,101.12670,0
"2015-09-15",98.11809,97.63476,98.37172,0.04923,0.00239,8636.0,0,102.25431,0
"2015-09-16",98.43135,98.22173,98.59271,0.01005,0.00108,8638.0,0,102.51890,0
"2015-09-17",98.01063,97.68975,98.25573,0.03405,0.00199,8638.0,0,102.07580,0
"2015-09-18",97.60933,97.42377,97.75575,0.00903,0.00102,8634.0,0,101.65424,0
"2015-09-19",97.36783,97.04078,97.55076,0.02409,0.00167,8638.0,0,101.43162,0
"2015-09-20",97.31274,96.92779,97.79275,0.07776,0.00300,8634.0,0,101.40724,0
"2015-09-21",98.12662,97.78775,98.39672,0.03015,0.00187,8638.0,0,102.33656,0
"2015-09-22",98.44264,98.33272,98.59271,0.00466,0.00073,8635.0,0,102.65513,0
"2015-09-23",98.29147,98.15073,98.41272,0.00577,0.00082,8638.0,0,102.46362,0
"2015-09-24",98.40947,98.21273,98.60272,0.01883,0.00148,8635.0,0,102.54489,0
"2015-09-25",98.72842,98.59671,98.88270,0.00560,0.00081,8638.0,0,102.93218,0
"2015-09-26",98.90816,98.67071,99.15469,0.02420,0.00167,8638.0,0,103.15974,0
"2015-09-27",98.91884,98.57572,99.09769,0.03199,0.00193,8629.0,0,103.17375,0
"2015-09-28",98.32646,97.99274,98.58672,0.03328,0.00196,8636.0,0,102.48478,0
"2015-09-29",97.75894,97.42477,98.02074,0.03577,0.00204,8637.0,0,101.82598,0
"2015-09-30",96.89118,96.30782,97.46077,0.13350,0.00393,8636.0,0,100.93498,0
