date,wssStaPresMean,wssStaPresMinimum,wssStaPresMaximum,wssStaPresVariance,wssStaPresStdErMean,wssStaPresNumPts,staPresQF,wssCorPres,corPresQF
"2020-10-01",101.06798,100.83175,101.19182,0.01362,0.00129,8232.0,0,101.66398,0
"2020-10-02",100.93925,100.81175,101.08180,0.00568,0.00081,8640.0,0,101.53311,0
"2020-10-03",101.08184,100.98178,101.22182,0.00359,0.00064,8640.0,0,101.67630,0
"2020-10-04",101.09794,100.97178,101.20182,0.00391,0.00067,8640.0,0,101.69253,0
"2020-10-05",101.08799,100.98178,101.23183,0.00388,0.00067,8640.0,0,101.67787,0
"2020-10-06",101.00302,100.83175,101.12181,0.00693,0.00092,8151.0,0,101.58340,0
"2020-10-07",101.00881,100.84176,101.17181,0.00943,0.00106,8459.0,0,101.58849,0
"2020-10-08",101.08791,100.97178,101.24182,0.00525,0.00078,8640.0,0,101.66865,0
"2020-10-09",101.15948,101.03179,101.31183,0.00643,0.00086,8640.0,0,101.74011,0
"2020-10-10",100.95333,100.56170,101.19182,0.03339,0.00197,8640.0,0,101.53300,0
"2020-10-11",100.62383,100.43168,100.78174,0.01031,0.00109,8640.0,0,101.20101,0
"2020-10-12",100.71880,100.57170,100.92177,0.00905,0.00102,8640.0,0,101.30080,0
"2020-10-13",100.86988,100.71173,101.11180,0.01235,0.00120,8640.0,0,101.45245,0
"2020-10-14",100.89599,100.79175,101.07179,0.00632,0.00086,8640.0,0,101.47765,0
"2020-10-15",100.92055,100.76174,101.06179,0.00832,0.00098,8640.0,0,101.50280,0
"2020-10-16",101.01022,100.83175,101.20182,0.00900,0.00102,8640.0,0,101.59338,0
"2020-10-17",101.41423,101.08180,101.67190,0.02370,0.00166,8640.0,0,102.00574,0
"2020-10-18",101.45336,101.29183,101.63190,0.00947,0.00105,8640.0,0,102.04391,0
"2020-10-19",101.30024,101.13181,101.47187,0.00787,0.00095,8640.0,0,101.88681,0
"2020-10-20",101.15983,101.00178,101.30184,0.00629,0.00085,8640.0,0,101.74319,0
"2020-10-21",101.15431,101.05179,101.30184,0.00477,0.00074,8640.0,0,101.73848,0
"2020-10-22",101.16096,101.02179,101.29183,0.00528,0.00078,8640.0,0,101.74667,0
"2020-10-23",101.10295,100.97178,101.21182,0.00522,0.00078,8640.0,0,101.68913,0
"2020-10-24",100.89141,100.57170,101.05179,0.02588,0.00173,8640.0,0,101.47548,0
"2020-10-25",100.65111,100.48169,100.78174,0.00731,0.00092,8640.0,0,101.23121,0
"2020-10-26",100.96569,100.72173,101.18181,0.01614,0.00137,8640.0,0,101.54820,0
"2020-10-27",101.25211,101.11180,101.39185,0.00539,0.00079,8640.0,0,101.83390,0
"2020-10-28",101.15446,100.85175,101.38185,0.02741,0.00182,8244.0,0,101.73382,0
"2020-10-29",100.65941,100.29166,100.94177,0.04085,0.00217,8640.0,0,101.23620,0
"2020-10-30",100.85390,100.39167,101.18181,0.05682,0.00256,8640.0,0,101.44872,0
"2020-10-31",101.41043,101.18181,101.63190,0.01024,0.00109,8640.0,0,102.00776,0
