date,wssStaPresMean,wssStaPresMinimum,wssStaPresMaximum,wssStaPresVariance,wssStaPresStdErMean,wssStaPresNumPts,staPresQF,wssCorPres,corPresQF
"2019-03-01",100.47122,100.30380,100.66513,0.00777,0.00095,8640.0,0,101.97832,0
"2019-03-02",100.49118,100.30380,100.66513,0.01392,0.00127,8640.0,0,102.00056,0
"2019-03-03",100.36810,100.18336,100.54469,0.01102,0.00113,8640.0,0,101.87717,0
"2019-03-04",100.34377,100.16329,100.56476,0.01047,0.00110,8640.0,0,101.85094,0
"2019-03-05",100.35296,100.19340,100.51458,0.00854,0.00099,8640.0,0,101.85598,0
"2019-03-06",100.41512,100.25362,100.62498,0.00971,0.00106,8640.0,0,101.92192,0
"2019-03-07",100.38635,100.21347,100.56476,0.01018,0.00110,8411.0,0,101.90430,0
"2019-03-08",100.31662,100.11310,100.48447,0.01264,0.00121,8640.0,0,101.83302,0
"2019-03-09",100.26408,100.09303,100.43428,0.00688,0.00089,8640.0,0,101.77441,0
"2019-03-10",100.38075,100.24358,100.55473,0.00677,0.00089,8640.0,0,101.89287,0
"2019-03-11",100.40228,100.25362,100.55473,0.00924,0.00103,8640.0,0,101.92655,0
"2019-03-12",100.26043,100.11310,100.40417,0.00892,0.00102,8640.0,0,101.78565,0
"2019-03-13",100.22258,100.04285,100.37406,0.01014,0.00108,8640.0,0,101.74145,0
"2019-03-14",100.25459,100.07295,100.46439,0.00996,0.00107,8639.0,0,101.76702,0
"2019-03-15",100.31412,100.18336,100.45436,0.00550,0.00080,8640.0,0,101.83096,0
"2019-03-16",100.32662,100.15325,100.52462,0.01117,0.00114,8640.0,0,101.84268,0
"2019-03-17",100.28665,100.12314,100.48447,0.01258,0.00121,8640.0,0,101.80632,0
"2019-03-18",100.26015,100.10306,100.46439,0.01091,0.00112,8640.0,0,101.77242,0
"2019-03-19",100.26900,100.06292,100.48447,0.01246,0.00120,8639.0,0,101.78239,1
"2019-03-20",100.19516,100.04285,100.33391,0.00913,0.00145,4365.0,1,,1
"2019-03-21",,,,-0.00000,,0.0,1,,1
"2019-03-22",,,,-0.00000,,0.0,1,,1
"2019-03-23",,,,-0.00000,,0.0,1,,1
"2019-03-24",,,,-0.00000,,0.0,1,,1
"2019-03-25",100.04442,99.87958,100.21964,0.01139,0.00156,4664.0,1,101.52277,1
"2019-03-26",99.94277,99.74957,100.11962,0.01175,0.00117,8640.0,0,101.44112,0
"2019-03-27",99.92729,99.76957,100.10962,0.00833,0.00098,8640.0,0,101.42589,0
"2019-03-28",99.95872,99.79957,100.14963,0.00938,0.00104,8640.0,0,101.45682,0
"2019-03-29",99.94995,99.77957,100.08961,0.00802,0.00096,8640.0,0,101.44929,0
"2019-03-30",99.96660,99.80957,100.13962,0.00916,0.00103,8640.0,0,101.47273,0
"2019-03-31",100.00810,99.82957,100.18963,0.00915,0.00103,8640.0,0,101.51611,0
