date,wssStaPresMean,wssStaPresMinimum,wssStaPresMaximum,wssStaPresVariance,wssStaPresStdErMean,wssStaPresNumPts,staPresQF,wssCorPres,corPresQF
"2019-10-01",95.12529,94.63610,95.56622,0.10163,0.00343,8638.0,0,101.18226,0
"2019-10-02",95.73109,95.47621,95.95627,0.02043,0.00154,8638.0,0,102.02282,0
"2019-10-03",95.53414,95.24617,96.08969,0.05140,0.00266,7243.0,0,101.81721,0
"2019-10-04",96.62516,96.08969,96.95966,0.05138,0.00244,8637.0,0,103.01933,0
"2019-10-05",95.67866,94.38975,96.55968,0.49133,0.00754,8640.0,0,101.95939,0
"2019-10-06",94.55257,94.17976,94.93973,0.05739,0.00286,7013.0,0,100.69320,0
"2019-10-07",95.39410,94.93973,95.71971,0.05975,0.00263,8640.0,0,101.61293,0
"2019-10-08",95.69195,95.41971,95.80970,0.01628,0.00137,8640.0,0,101.91488,0
"2019-10-09",95.51949,95.38972,95.61970,0.00358,0.00064,8640.0,0,101.64558,0
"2019-10-10",95.50761,95.11972,95.69970,0.03058,0.00192,8269.0,0,101.63783,0
"2019-10-11",94.54643,94.16975,95.15972,0.09295,0.00328,8640.0,0,100.66195,0
"2019-10-12",94.13701,93.95976,94.42975,0.01694,0.00140,8640.0,0,100.48482,0
"2019-10-13",94.00762,93.78977,94.46975,0.02609,0.00174,8640.0,0,100.34005,0
"2019-10-14",94.91269,94.46975,95.15972,0.05069,0.00242,8640.0,0,101.25953,0
"2019-10-15",94.91189,94.51974,95.25971,0.06671,0.00284,8254.0,0,101.26892,0
"2019-10-16",95.10155,94.71974,95.32971,0.03710,0.00207,8640.0,0,101.42863,0
"2019-10-17",95.35534,95.27972,95.47971,0.00277,0.00057,8640.0,0,101.68159,0
"2019-10-18",95.10307,94.55974,95.36971,0.07168,0.00288,8636.0,0,101.41426,0
"2019-10-19",94.39832,94.22975,94.59974,0.01251,0.00120,8640.0,0,100.58261,0
"2019-10-20",94.77232,94.39975,95.12972,0.06245,0.00269,8640.0,0,100.95036,0
"2019-10-21",94.31109,92.91980,95.16972,0.67833,0.00886,8640.0,0,100.48348,0
"2019-10-22",92.89066,92.63981,93.34978,0.03037,0.00187,8640.0,0,99.00452,0
"2019-10-23",94.16521,93.33978,95.05972,0.25410,0.00542,8640.0,0,100.45864,0
"2019-10-24",95.69905,95.05972,96.18968,0.12671,0.00383,8640.0,0,102.11332,0
"2019-10-25",96.05338,95.55971,96.28969,0.05748,0.00265,8198.0,0,102.50856,0
"2019-10-26",95.22150,94.64974,95.57970,0.08172,0.00308,8636.0,0,101.54081,0
"2019-10-27",94.57726,94.25975,94.98973,0.03907,0.00213,8640.0,0,100.88008,0
"2019-10-28",95.24319,94.98973,95.40971,0.01079,0.00112,8640.0,0,101.62907,0
"2019-10-29",95.64705,95.40971,95.87970,0.02005,0.00152,8640.0,0,102.14502,0
"2019-10-30",96.07235,95.79970,96.21969,0.01599,0.00136,8640.0,0,102.64442,0
"2019-10-31",95.39508,95.06973,95.83970,0.05971,0.00263,8640.0,0,101.93205,0
