date,wssStaPresMean,wssStaPresMinimum,wssStaPresMaximum,wssStaPresVariance,wssStaPresStdErMean,wssStaPresNumPts,staPresQF,wssCorPres,corPresQF
"2020-07-01",95.95607,95.52037,96.28039,0.05977,0.00263,8640.0,0,100.57734,0
"2020-07-02",96.52508,96.25039,96.75040,0.01271,0.00121,8640.0,0,101.18861,0
"2020-07-03",96.74005,96.43039,96.95040,0.01560,0.00134,8640.0,0,101.43881,0
"2020-07-04",96.69928,96.47040,96.84040,0.00843,0.00099,8640.0,0,101.38126,0
"2020-07-05",96.58167,96.46039,96.65040,0.00212,0.00067,4665.0,1,101.29533,1
"2020-07-06",96.61462,96.40039,96.76040,0.00838,0.00098,8640.0,0,101.27835,0
"2020-07-07",96.61011,96.31039,96.78040,0.01527,0.00133,8640.0,0,101.26036,0
"2020-07-08",96.29971,96.02038,96.45039,0.01216,0.00119,8640.0,0,100.92435,0
"2020-07-09",96.19802,95.82038,96.60040,0.04485,0.00228,8592.0,0,100.87035,0
"2020-07-10",96.71740,96.45039,96.89040,0.01211,0.00118,8640.0,0,101.40365,0
"2020-07-11",96.63760,96.40039,96.84040,0.01044,0.00110,8640.0,0,101.30137,0
"2020-07-12",96.63945,96.36039,96.79040,0.01135,0.00115,8640.0,0,101.34335,0
"2020-07-13",96.35241,96.11039,96.54040,0.01023,0.00109,8640.0,0,101.02817,0
"2020-07-14",96.17010,95.94038,96.57040,0.01056,0.00111,8640.0,0,100.81363,0
"2020-07-15",96.22770,96.15039,96.32039,0.00181,0.00085,2507.0,1,100.84931,1
"2020-07-16",96.76976,96.54040,96.95040,0.00951,0.00105,8640.0,0,101.46578,0
"2020-07-17",96.69330,96.38039,96.85040,0.01275,0.00122,8640.0,0,101.34022,0
"2020-07-18",96.27349,96.03038,96.45039,0.01248,0.00120,8640.0,0,100.86943,0
"2020-07-19",96.51255,96.04038,96.75040,0.03895,0.00212,8640.0,0,101.15038,0
"2020-07-20",96.55421,96.38039,96.89040,0.01102,0.00113,8640.0,0,101.25505,0
"2020-07-21",96.51799,96.34039,96.68040,0.00600,0.00090,7481.0,0,101.23156,0
"2020-07-22",96.67682,96.46039,96.82040,0.00904,0.00102,8640.0,0,101.35147,0
"2020-07-23",96.76331,96.56039,96.90041,0.00787,0.00095,8640.0,0,101.41609,0
"2020-07-24",96.79077,96.62039,96.91040,0.00591,0.00083,8640.0,0,101.43529,0
"2020-07-25",96.68341,96.51039,96.83040,0.00580,0.00082,8640.0,0,101.32152,0
"2020-07-26",96.66835,96.47040,96.79040,0.00853,0.00099,8640.0,0,101.30414,0
"2020-07-27",96.78860,96.51039,96.94040,0.00806,0.00097,8640.0,0,101.50153,0
"2020-07-28",96.66754,96.34039,96.80040,0.01363,0.00126,8576.0,0,101.36058,0
"2020-07-29",96.31758,96.03038,96.50039,0.01773,0.00143,8640.0,0,100.99242,0
"2020-07-30",96.18666,95.97038,96.43039,0.01346,0.00125,8640.0,0,100.88638,0
"2020-07-31",96.63307,96.40039,96.77040,0.00806,0.00101,7826.0,0,101.38697,0
