date,wssStaPresMean,wssStaPresMinimum,wssStaPresMaximum,wssStaPresVariance,wssStaPresStdErMean,wssStaPresNumPts,staPresQF,wssCorPres,corPresQF
"2019-01-01",97.95594,97.32392,98.32815,0.06646,0.00277,8640.0,0,102.07727,0
"2019-01-02",98.26987,97.97667,98.52901,0.01996,0.00152,8640.0,0,102.49160,0
"2019-01-03",97.90672,97.75573,98.09718,0.00925,0.00103,8640.0,0,102.10612,0
"2019-01-04",97.08273,96.11890,97.86620,0.32757,0.00616,8640.0,0,101.23294,0
"2019-01-05",97.30783,96.56074,97.95658,0.19257,0.00472,8640.0,0,101.49768,0
"2019-01-06",98.23717,97.95658,98.51896,0.01935,0.00150,8640.0,0,102.44581,0
"2019-01-07",98.21593,97.86620,98.38841,0.02768,0.00179,8640.0,0,102.37067,0
"2019-01-08",97.85269,97.53480,98.06705,0.02684,0.00176,8640.0,0,101.95110,0
"2019-01-09",98.11666,97.61514,98.30807,0.01924,0.00149,8640.0,0,102.37093,0
"2019-01-10",98.45154,98.19760,98.66961,0.01189,0.00117,8640.0,0,102.82998,0
"2019-01-11",98.62460,98.45871,98.87046,0.01070,0.00111,8640.0,0,103.00189,0
"2019-01-12",98.45807,98.14739,98.63948,0.01964,0.00151,8640.0,0,102.74117,0
"2019-01-13",97.97019,97.82603,98.23777,0.00629,0.00085,8640.0,0,102.23243,0
"2019-01-14",98.44822,98.13735,98.67965,0.01880,0.00151,8260.0,0,102.75110,0
"2019-01-15",98.57693,98.46875,98.74995,0.00346,0.00063,8640.0,0,102.92402,0
"2019-01-16",98.56886,98.44867,98.73991,0.00545,0.00079,8640.0,0,102.91613,0
"2019-01-17",98.32446,97.90637,98.61939,0.04794,0.00236,8640.0,0,102.63440,0
"2019-01-18",97.99932,97.87624,98.17752,0.00493,0.00076,8640.0,0,102.23026,0
"2019-01-19",97.13164,95.87791,97.94654,0.39680,0.00678,8640.0,0,101.31386,0
"2019-01-20",97.13337,95.88795,98.36832,0.66963,0.00880,8640.0,0,101.40811,0
"2019-01-21",98.94036,98.36832,99.36257,0.08195,0.00308,8640.0,0,103.44032,0
"2019-01-22",99.08066,98.77003,99.31235,0.02033,0.00153,8640.0,0,103.49308,0
"2019-01-23",97.99526,96.82182,98.82025,0.37956,0.00663,8640.0,0,102.22361,0
"2019-01-24",97.11631,96.45028,97.86620,0.18128,0.00458,8640.0,0,101.36373,0
"2019-01-25",98.29575,97.86620,98.61939,0.05107,0.00243,8640.0,0,102.65629,0
"2019-01-26",98.40107,98.10722,98.57922,0.01723,0.00141,8640.0,0,102.75072,0
"2019-01-27",97.99803,97.70553,98.18756,0.02125,0.00157,8640.0,0,102.28524,0
"2019-01-28",97.47550,97.07287,97.74570,0.03885,0.00217,8259.0,0,101.70548,0
"2019-01-29",97.48627,97.11304,98.05701,0.09700,0.00335,8640.0,0,101.76531,0
"2019-01-30",98.17321,97.88629,98.46875,0.03231,0.00193,8640.0,0,102.60168,0
"2019-01-31",98.77788,98.43862,99.06128,0.02436,0.00168,8640.0,0,103.22335,0
