date,wssStaPresMean,wssStaPresMinimum,wssStaPresMaximum,wssStaPresVariance,wssStaPresStdErMean,wssStaPresNumPts,staPresQF,wssCorPres,corPresQF
"2020-12-01",100.18507,99.90222,100.46240,0.01654,0.00138,8640.0,0,102.34122,0
"2020-12-02",100.58193,100.28234,100.88253,0.02981,0.00186,8640.0,0,102.73331,0
"2020-12-03",100.33875,100.04227,100.55242,0.01991,0.00152,8640.0,0,102.45521,0
"2020-12-04",99.84288,99.71216,100.06227,0.00904,0.00102,8640.0,0,101.91615,0
"2020-12-05",100.09302,99.87221,100.29234,0.01402,0.00127,8640.0,0,102.20368,0
"2020-12-06",99.66008,99.28202,99.93223,0.03678,0.00206,8640.0,0,101.75006,0
"2020-12-07",99.44731,99.15198,99.78218,0.02928,0.00184,8640.0,0,101.54460,0
"2020-12-08",100.01679,99.78218,100.23232,0.00961,0.00105,8640.0,0,102.14732,0
"2020-12-09",99.96229,99.71216,100.11229,0.01580,0.00136,8550.0,0,102.06423,0
"2020-12-10",99.84958,99.74217,100.03226,0.00570,0.00086,7760.0,0,101.91723,0
"2020-12-11",99.86124,99.60212,100.07227,0.01342,0.00125,8640.0,0,101.92066,0
"2020-12-12",99.50703,99.31203,99.66214,0.00851,0.00099,8640.0,0,101.52919,0
"2020-12-13",99.71845,99.23200,100.02226,0.03494,0.00201,8640.0,0,101.78191,0
"2020-12-14",99.51342,98.43176,100.23232,0.33331,0.00621,8640.0,0,101.58264,0
"2020-12-15",99.93967,99.52210,100.24233,0.04181,0.00220,8640.0,0,102.06004,0
"2020-12-16",99.36489,99.16198,99.66214,0.01552,0.00138,8189.0,0,101.44765,0
"2020-12-17",99.91389,99.61213,100.31235,0.02688,0.00225,5323.0,1,102.05862,1
"2020-12-18",100.70306,100.67473,100.73475,0.00024,0.00062,623.0,1,,1
"2020-12-19",100.51008,99.96457,100.76475,0.06641,0.00277,8640.0,0,102.23271,1
"2020-12-20",99.74517,99.42444,100.10460,0.03649,0.00206,8640.0,0,101.82548,0
"2020-12-21",99.84533,99.52447,100.12460,0.02947,0.00185,8640.0,0,101.92505,0
"2020-12-22",100.31287,100.04459,100.59471,0.02302,0.00163,8640.0,0,102.40708,0
"2020-12-23",100.05445,99.51446,100.30465,0.06088,0.00265,8640.0,0,102.13820,0
"2020-12-24",99.19355,98.72429,99.58448,0.04386,0.00225,8640.0,0,101.27102,0
"2020-12-25",99.93317,99.58448,100.22463,0.02809,0.00180,8640.0,0,102.10414,0
"2020-12-26",100.32570,100.04459,100.57471,0.01965,0.00151,8640.0,0,102.49627,0
"2020-12-27",100.11479,99.92456,100.33465,0.01303,0.00126,8247.0,0,102.24140,0
"2020-12-28",100.39000,99.98457,100.66473,0.03043,0.00188,8640.0,0,102.48206,0
"2020-12-29",100.68013,100.38467,100.92479,0.02235,0.00161,8640.0,0,102.77214,0
"2020-12-30",100.17691,99.76452,100.39467,0.04703,0.00233,8640.0,0,102.23671,0
"2020-12-31",99.62352,99.39444,99.81453,0.01473,0.00131,8640.0,0,101.65606,0
