date,wssStaPresMean,wssStaPresMinimum,wssStaPresMaximum,wssStaPresVariance,wssStaPresStdErMean,wssStaPresNumPts,staPresQF,wssCorPres,corPresQF
"2020-05-01",93.62562,93.39718,93.85735,0.02237,0.00161,8640.0,0,100.43049,0
"2020-05-02",94.28657,93.83735,94.56763,0.05028,0.00241,8640.0,0,101.17403,0
"2020-05-03",94.78881,94.48759,95.00780,0.02653,0.00175,8640.0,0,101.87321,0
"2020-05-04",94.75494,94.60764,94.86774,0.00334,0.00062,8640.0,0,101.90981,0
"2020-05-05",94.87425,94.70768,95.21788,0.02194,0.00159,8640.0,0,102.03624,0
"2020-05-06",95.34617,95.09783,95.48798,0.01211,0.00118,8640.0,0,102.40848,0
"2020-05-07",95.11925,95.03781,95.27790,0.00244,0.00053,8640.0,0,102.25037,0
"2020-05-08",95.50585,95.10784,95.69807,0.02730,0.00184,8106.0,0,102.71979,0
"2020-05-09",94.76810,94.33754,95.41795,0.10452,0.00348,8640.0,0,101.92335,0
"2020-05-10",95.68545,95.31792,95.86813,0.02455,0.00169,8640.0,0,102.97931,0
"2020-05-11",95.73649,95.39795,95.85813,0.01703,0.00140,8640.0,0,103.02341,0
"2020-05-12",95.24142,94.70768,95.41795,0.04517,0.00234,8260.0,0,102.43999,0
"2020-05-13",94.14109,93.65728,94.72769,0.13040,0.00388,8640.0,0,101.18425,0
"2020-05-14",93.82914,93.66728,94.19749,0.02366,0.00165,8640.0,0,100.79728,0
"2020-05-15",94.54912,94.18748,94.75770,0.02841,0.00181,8640.0,0,101.51332,0
"2020-05-16",94.88081,94.64766,95.02780,0.00896,0.00104,8239.0,0,101.83012,0
"2020-05-17",94.92759,94.76771,95.03781,0.00300,0.00059,8640.0,0,101.84980,0
"2020-05-18",94.86893,94.52761,95.02780,0.01608,0.00136,8640.0,0,101.76715,0
"2020-05-19",94.54195,94.25751,94.67767,0.01587,0.00136,8640.0,0,101.35963,0
"2020-05-20",94.37537,94.14747,94.52761,0.00724,0.00092,8640.0,0,101.19336,0
"2020-05-21",94.03916,93.87737,94.22750,0.01002,0.00108,8640.0,0,100.78362,0
"2020-05-22",94.03054,93.87737,94.12746,0.00512,0.00077,8640.0,0,100.73940,0
"2020-05-23",94.01664,93.87737,94.19749,0.00585,0.00082,8640.0,0,100.71614,0
"2020-05-24",94.03177,93.85735,94.16747,0.00477,0.00074,8640.0,0,100.81835,0
"2020-05-25",94.51686,94.14747,94.68768,0.01919,0.00149,8640.0,0,101.41811,0
"2020-05-26",94.32091,93.99741,94.58764,0.03115,0.00190,8640.0,0,101.12296,0
"2020-05-27",94.24238,93.98740,94.56763,0.03532,0.00202,8640.0,0,100.98936,0
"2020-05-28",94.81868,94.54762,94.94778,0.01239,0.00122,8274.0,0,101.70033,0
"2020-05-29",95.28959,94.91776,95.47798,0.01831,0.00146,8563.0,0,102.25192,0
"2020-05-30",95.58404,95.25789,95.82812,0.02967,0.00185,8640.0,0,102.58819,0
"2020-05-31",95.08102,94.19749,95.46798,0.12802,0.00385,8640.0,0,101.98932,0
