date,wssStaPresMean,wssStaPresMinimum,wssStaPresMaximum,wssStaPresVariance,wssStaPresStdErMean,wssStaPresNumPts,staPresQF,wssCorPres,corPresQF
"2017-11-01",81.81013,81.36589,82.15596,0.02415,0.00167,8640.0,0,99.42391,0
"2017-11-02",82.73743,81.83593,83.30607,0.19785,0.00479,8640.0,0,101.10208,0
"2017-11-03",83.20824,82.75601,83.43608,0.03666,0.00225,7270.0,0,101.72882,0
"2017-11-04",82.67170,82.32597,82.94603,0.03353,0.00197,8640.0,0,100.91932,0
"2017-11-05",82.77323,82.38598,83.04604,0.03624,0.00205,8640.0,0,101.11900,0
"2017-11-06",83.11499,82.93603,83.28607,0.00770,0.00094,8640.0,0,101.65219,0
"2017-11-07",83.85040,83.26606,84.10615,0.04567,0.00230,8640.0,0,103.01047,0
"2017-11-08",83.75260,83.29607,84.03614,0.04877,0.00252,7669.0,0,102.91222,0
"2017-11-09",83.68689,83.48025,83.89075,0.01500,0.00137,7950.0,0,102.66579,0
"2017-11-10",83.22174,82.89955,83.53032,0.03322,0.00196,8640.0,0,101.99465,0
"2017-11-11",83.11189,82.95963,83.56035,0.01671,0.00139,8640.0,0,101.51196,0
"2017-11-12",83.99203,83.55034,84.25119,0.03168,0.00191,8640.0,0,102.73125,0
"2017-11-13",83.63315,83.41017,83.84069,0.01546,0.00134,8640.0,0,102.01376,0
"2017-11-14",83.20351,82.82947,83.46023,0.02877,0.00182,8640.0,0,101.37580,0
"2017-11-15",83.66597,83.08978,83.95082,0.03986,0.00215,8640.0,0,102.32735,0
"2017-11-16",82.91025,82.46904,83.40015,0.08199,0.00308,8640.0,0,101.32345,0
"2017-11-17",82.24736,81.88835,82.54913,0.02175,0.00159,8640.0,0,100.08492,0
"2017-11-18",83.32015,82.25879,83.84069,0.27529,0.00564,8640.0,0,101.97015,0
"2017-11-19",83.58237,83.08978,83.84069,0.05287,0.00247,8640.0,0,102.44926,0
"2017-11-20",82.78254,82.42900,83.08978,0.02648,0.00175,8640.0,0,100.92471,0
"2017-11-21",83.41085,82.57917,84.11102,0.30727,0.00596,8640.0,0,101.63953,0
"2017-11-22",83.86259,83.65046,84.05094,0.00987,0.00107,8640.0,0,102.25593,0
"2017-11-23",83.68802,83.14985,83.96084,0.05855,0.00260,8640.0,0,101.60204,0
"2017-11-24",82.85053,82.64925,83.16988,0.02121,0.00157,8640.0,0,100.66793,0
"2017-11-25",83.53998,83.12983,83.75058,0.02193,0.00159,8640.0,0,101.96888,0
"2017-11-26",83.76676,83.41017,83.89075,0.01838,0.00146,8640.0,0,102.11698,0
"2017-11-27",82.78316,82.19872,83.41017,0.14897,0.00415,8640.0,0,100.62164,0
"2017-11-28",83.30456,82.27881,83.96084,0.36256,0.00648,8640.0,0,101.75301,0
"2017-11-29",83.48394,83.19992,83.97085,0.07112,0.00287,8640.0,0,102.31674,0
"2017-11-30",83.81785,83.35010,84.15107,0.06486,0.00274,8640.0,0,102.63851,0
