date,wssStaPresMean,wssStaPresMinimum,wssStaPresMaximum,wssStaPresVariance,wssStaPresStdErMean,wssStaPresNumPts,staPresQF,wssCorPres,corPresQF
"2021-11-01",98.86040,98.57806,99.07814,0.01280,0.00122,8640.0,0,102.14437,0
"2021-11-02",99.16243,98.82810,99.43819,0.02376,0.00166,8640.0,0,102.49506,0
"2021-11-03",99.19203,99.02813,99.35818,0.00460,0.00073,8640.0,0,102.56518,0
"2021-11-04",99.34784,99.06814,99.52820,0.01477,0.00131,8640.0,0,102.72530,0
"2021-11-05",99.10305,98.84810,99.31817,0.01455,0.00130,8640.0,0,102.50202,0
"2021-11-06",99.06659,98.85811,99.25817,0.01397,0.00127,8640.0,0,102.44719,0
"2021-11-07",98.87612,98.62807,99.00813,0.01343,0.00125,8640.0,0,102.21033,0
"2021-11-08",98.81771,98.65808,99.02813,0.00968,0.00106,8640.0,0,102.11244,0
"2021-11-09",98.76383,98.49805,98.98812,0.01720,0.00141,8640.0,0,102.01551,0
"2021-11-10",98.11293,97.43790,98.53806,0.11162,0.00359,8639.0,0,101.33098,0
"2021-11-11",98.36685,97.43790,98.92812,0.19709,0.00478,8640.0,0,101.65811,0
"2021-11-12",98.82737,98.50805,99.12814,0.04236,0.00221,8640.0,0,102.18185,0
"2021-11-13",99.16267,98.58806,99.41819,0.06142,0.00267,8640.0,0,102.57672,0
"2021-11-14",98.63172,98.42804,98.87810,0.01611,0.00137,8640.0,0,101.96459,0
"2021-11-15",98.65742,98.32803,98.80809,0.02188,0.00159,8640.0,0,101.98896,0
"2021-11-16",98.10200,97.62792,98.36803,0.05556,0.00254,8640.0,0,101.32410,0
"2021-11-17",97.90795,97.63792,98.54806,0.04584,0.00230,8640.0,0,101.09768,0
"2021-11-18",99.55630,98.53806,100.08829,0.18073,0.00457,8640.0,0,102.92927,0
"2021-11-19",99.66177,98.95812,99.91826,0.08591,0.00315,8640.0,0,103.11265,0
"2021-11-20",98.62996,98.14800,99.00813,0.06587,0.00276,8640.0,0,101.94445,0
"2021-11-21",98.54481,98.21801,99.14815,0.08986,0.00322,8640.0,0,101.81841,0
"2021-11-22",99.37238,99.03813,99.62822,0.02662,0.00176,8640.0,0,102.76711,0
"2021-11-23",98.79943,98.25802,99.04814,0.05943,0.00270,8173.0,0,102.17114,0
"2021-11-24",98.15640,97.99798,98.30802,0.00727,0.00092,8640.0,0,101.40270,0
"2021-11-25",99.08469,98.04799,99.74824,0.31720,0.00606,8640.0,0,102.41550,0
"2021-11-26",99.49189,98.83810,99.79825,0.08739,0.00318,8640.0,0,102.95556,0
"2021-11-27",98.59279,98.39804,98.84810,0.01662,0.00139,8640.0,0,101.98797,0
"2021-11-28",98.90407,98.48805,99.25817,0.04558,0.00230,8640.0,0,102.25063,0
"2021-11-29",98.89383,98.44804,99.13815,0.04086,0.00225,8093.0,0,102.28955,0
"2021-11-30",98.47323,98.31802,98.62807,0.00727,0.00092,8640.0,0,101.79828,0
