date,wssStaPresMean,wssStaPresMinimum,wssStaPresMaximum,wssStaPresVariance,wssStaPresStdErMean,wssStaPresNumPts,staPresQF,wssCorPres,corPresQF
"2021-10-01",79.18930,79.05458,79.29459,0.00530,0.00087,6955.0,0,102.35881,0
"2021-10-02",79.24951,79.03458,79.39459,0.01334,0.00128,8193.0,0,102.07779,0
"2021-10-03",79.18085,79.03458,79.30459,0.00656,0.00089,8247.0,0,101.98428,0
"2021-10-04",79.16495,78.94458,79.29459,0.01015,0.00114,7815.0,0,101.85743,0
"2021-10-05",78.98954,78.75458,79.13459,0.00841,0.00099,8640.0,0,101.53637,0
"2021-10-06",78.62597,78.43457,78.75458,0.00658,0.00087,8640.0,0,100.87936,0
"2021-10-07",78.72583,78.50457,78.82458,0.00576,0.00084,8180.0,0,101.34931,0
"2021-10-08",78.55900,78.22457,78.76458,0.02365,0.00165,8640.0,0,101.35767,0
"2021-10-09",78.28712,78.10456,78.54457,0.01767,0.00155,7345.0,0,101.03033,0
"2021-10-10",78.53849,78.35457,78.62458,0.00512,0.00079,8277.0,0,101.56033,0
"2021-10-11",77.97996,77.74456,78.39457,0.05083,0.00243,8640.0,0,101.10061,0
"2021-10-12",78.12985,77.94457,78.25457,0.00753,0.00100,7517.0,0,101.78898,0
"2021-10-13",78.00028,77.92456,78.10456,0.00150,0.00043,8205.0,0,101.56225,0
"2021-10-14",78.21174,78.02457,78.55458,0.02284,0.00167,8208.0,0,101.71251,0
"2021-10-15",79.02184,78.55458,79.28458,0.04326,0.00234,7883.0,0,102.64903,0
"2021-10-16",79.42019,79.23459,79.56459,0.00933,0.00106,8276.0,0,102.85539,0
"2021-10-17",78.88508,78.26457,79.28458,0.11224,0.00370,8207.0,0,102.05620,0
"2021-10-18",78.13305,77.93456,78.29457,0.00947,0.00105,8640.0,0,100.94704,0
"2021-10-19",78.44863,78.11457,78.71457,0.03766,0.00219,7857.0,0,101.38219,0
"2021-10-20",78.87690,78.71457,78.98458,0.00267,0.00057,8214.0,0,102.09863,0
"2021-10-21",79.08081,78.86458,79.19459,0.00475,0.00076,8279.0,0,102.03819,0
"2021-10-22",78.70031,78.00456,79.04458,0.10322,0.00363,7814.0,0,101.54433,0
"2021-10-23",77.85665,77.68456,78.00456,0.00564,0.00081,8640.0,0,100.49176,0
"2021-10-24",77.91020,77.73456,78.05457,0.00461,0.00073,8640.0,0,100.86853,0
"2021-10-25",77.56737,77.29456,77.80456,0.02748,0.00178,8639.0,0,99.98650,0
"2021-10-26",77.59970,77.33456,78.10456,0.05775,0.00259,8640.0,0,100.46536,0
"2021-10-27",78.36745,78.10456,78.72458,0.01870,0.00150,8266.0,0,101.56504,0
"2021-10-28",79.13888,78.71457,79.36459,0.03158,0.00191,8640.0,0,102.49347,0
"2021-10-29",78.93493,78.40457,79.30459,0.06862,0.00282,8640.0,0,101.75240,0
"2021-10-30",78.52735,78.35457,78.71457,0.01237,0.00120,8638.0,0,101.38872,0
"2021-10-31",78.80773,78.66458,78.90458,0.00600,0.00085,8224.0,0,102.44940,0
