date,wssStaPresMean,wssStaPresMinimum,wssStaPresMaximum,wssStaPresVariance,wssStaPresStdErMean,wssStaPresNumPts,staPresQF,wssCorPres,corPresQF
"2021-11-01",66.56270,66.36967,66.72970,0.00812,0.00097,8640.0,0,101.43090,0
"2021-11-02",66.72310,66.58969,66.83971,0.00454,0.00072,8639.0,0,101.82520,0
"2021-11-03",66.87463,66.68969,67.00972,0.00581,0.00082,8640.0,0,102.13621,0
"2021-11-04",66.83511,66.70970,66.91972,0.00268,0.00056,8640.0,0,101.91396,0
"2021-11-05",66.70267,66.39967,66.85971,0.01064,0.00111,8640.0,0,101.36388,0
"2021-11-06",66.85889,66.58969,66.95972,0.00473,0.00074,8640.0,0,101.37226,0
"2021-11-07",66.59956,66.19965,66.82971,0.01484,0.00131,8640.0,0,100.89517,0
"2021-11-08",66.76694,66.57968,66.86971,0.00292,0.00058,8640.0,0,101.32376,0
"2021-11-09",66.74640,66.39967,66.90972,0.01575,0.00135,8640.0,0,101.41452,0
"2021-11-10",66.10012,65.64961,66.42967,0.02541,0.00171,8640.0,0,101.35420,0
"2021-11-11",66.15467,65.81962,66.28966,0.00394,0.00068,8640.0,0,102.12620,0
"2021-11-12",66.46790,65.91963,66.87971,0.05653,0.00256,8640.0,0,102.04142,0
"2021-11-13",66.72924,66.40967,66.92971,0.01410,0.00128,8640.0,0,101.97412,0
"2021-11-14",66.68498,66.25966,66.87971,0.00947,0.00105,8640.0,0,101.85772,0
"2021-11-15",66.83080,66.57968,66.98972,0.00765,0.00094,8640.0,0,101.58532,0
"2021-11-16",66.32113,65.88963,66.89971,0.07216,0.00334,6477.0,1,100.71560,1
"2021-11-17",66.14699,65.73962,66.37967,0.01770,0.00150,7919.0,0,101.81079,0
"2021-11-18",66.64626,66.27966,66.85971,0.01496,0.00132,8640.0,0,102.60299,0
"2021-11-19",66.32588,66.01964,66.52968,0.00736,0.00092,8640.0,0,101.35410,0
"2021-11-20",66.38716,66.13965,66.51968,0.00477,0.00074,8640.0,0,101.66724,0
"2021-11-21",66.80718,66.43967,67.05973,0.02898,0.00183,8640.0,0,102.93281,0
"2021-11-22",66.98845,66.73970,67.14973,0.00891,0.00102,8640.0,0,102.50738,0
"2021-11-23",66.32569,65.53960,66.99972,0.16581,0.00438,8640.0,0,100.86084,0
"2021-11-24",65.80949,65.29958,66.44968,0.08703,0.00317,8640.0,0,101.23943,0
"2021-11-25",66.81854,66.42967,67.04973,0.02899,0.00183,8640.0,0,103.38549,0
"2021-11-26",66.92505,66.66970,67.12974,0.01641,0.00138,8640.0,0,102.15128,0
"2021-11-27",66.66218,66.41967,66.82971,0.01048,0.00110,8640.0,0,101.76268,0
"2021-11-28",66.84343,66.60969,67.12974,0.01945,0.00150,8640.0,0,101.99338,0
"2021-11-29",67.03896,66.86971,67.18974,0.00610,0.00084,8640.0,0,101.84565,0
"2021-11-30",66.78777,66.50968,66.93972,0.00902,0.00103,8562.0,0,101.87706,0
