date,wssStaPresMean,wssStaPresMinimum,wssStaPresMaximum,wssStaPresVariance,wssStaPresStdErMean,wssStaPresNumPts,staPresQF,wssCorPres,corPresQF
"2020-11-01",90.70116,90.40358,90.94369,0.01618,0.00137,8640.0,0,101.66953,0
"2020-11-02",90.69676,90.46359,90.83367,0.00800,0.00096,8640.0,0,101.54350,0
"2020-11-03",90.42902,90.18354,90.55361,0.00937,0.00104,8640.0,0,101.37398,0
"2020-11-04",90.49424,90.23354,90.71364,0.01413,0.00131,8210.0,0,101.41160,0
"2020-11-05",90.51462,90.15353,90.68364,0.01877,0.00147,8640.0,0,101.46084,0
"2020-11-06",89.86161,89.43339,90.20354,0.04911,0.00238,8640.0,0,100.55076,0
"2020-11-07",89.41955,89.06331,89.58342,0.01780,0.00144,8640.0,0,100.17651,0
"2020-11-08",89.52035,89.07332,89.73344,0.02615,0.00174,8640.0,0,100.66889,0
"2020-11-09",89.96201,89.42339,90.31356,0.07117,0.00287,8640.0,0,101.41064,0
"2020-11-10",90.33296,90.08352,90.48359,0.01198,0.00121,8171.0,0,101.91265,0
"2020-11-11",90.11634,89.94349,90.26356,0.00638,0.00086,8640.0,0,101.51925,0
"2020-11-12",90.19801,90.00350,90.41358,0.00848,0.00099,8640.0,0,101.48610,0
"2020-11-13",90.31769,90.15353,90.49360,0.00574,0.00082,8640.0,0,101.55954,0
"2020-11-14",90.35059,90.18354,90.53361,0.00552,0.00080,8640.0,0,101.58672,0
"2020-11-15",90.61596,90.41358,90.79366,0.01068,0.00111,8640.0,0,101.84761,0
"2020-11-16",90.57027,90.32357,90.73364,0.01110,0.00113,8640.0,0,101.61349,0
"2020-11-17",90.52621,90.33357,90.73364,0.01122,0.00114,8640.0,0,101.47998,0
"2020-11-18",90.48619,90.31356,90.61362,0.00642,0.00089,8047.0,0,101.46483,0
"2020-11-19",90.51195,90.35357,90.67363,0.00523,0.00078,8640.0,0,101.47215,0
"2020-11-20",90.58397,90.42358,90.78366,0.00841,0.00099,8640.0,0,101.59680,0
"2020-11-21",90.50174,90.29356,90.63363,0.00827,0.00098,8640.0,0,101.53945,0
"2020-11-22",90.22244,89.83347,90.41358,0.02975,0.00186,8640.0,0,101.27311,0
"2020-11-23",89.80384,89.49340,89.97350,0.01765,0.00143,8640.0,0,100.85398,0
"2020-11-24",89.94955,89.53341,90.30356,0.05640,0.00255,8640.0,0,101.14262,0
"2020-11-25",90.40227,90.20354,90.58362,0.01051,0.00110,8640.0,0,101.82566,0
"2020-11-26",90.17331,89.89348,90.29356,0.01350,0.00125,8640.0,0,101.50339,0
"2020-11-27",90.27509,89.95349,90.52360,0.02928,0.00184,8640.0,0,101.78144,0
"2020-11-28",90.60456,90.36357,90.73364,0.00999,0.00108,8640.0,0,102.22632,0
"2020-11-29",90.45650,90.29356,90.58362,0.00505,0.00076,8640.0,0,101.95529,0
"2020-11-30",90.57693,90.36357,90.82367,0.01420,0.00128,8640.0,0,101.82754,0
