date,wssStaPresMean,wssStaPresMinimum,wssStaPresMaximum,wssStaPresVariance,wssStaPresStdErMean,wssStaPresNumPts,staPresQF,wssCorPres,corPresQF
"2019-02-01",83.25587,83.03376,83.34353,0.00574,0.00082,8640.0,0,102.17016,0
"2019-02-02",82.81607,82.25435,83.03376,0.04681,0.00233,8640.0,0,101.26546,0
"2019-02-03",81.96681,81.67478,82.28432,0.02432,0.00168,8640.0,0,100.19072,0
"2019-02-04",81.99370,81.61483,82.16442,0.01554,0.00134,8640.0,0,100.27562,0
"2019-02-05",81.77162,81.55487,81.93459,0.00723,0.00091,8640.0,0,100.24603,0
"2019-02-06",82.07046,81.84466,82.64405,0.05999,0.00263,8640.0,0,101.04561,0
"2019-02-07",83.36887,82.64405,83.83315,0.13535,0.00396,8625.0,0,103.11397,0
"2019-02-08",83.48785,82.91385,83.87312,0.09451,0.00340,8164.0,0,103.28151,0
"2019-02-09",82.68558,82.36426,82.92384,0.03759,0.00209,8640.0,0,101.87145,0
"2019-02-10",82.28349,81.69477,82.53413,0.05633,0.00255,8640.0,0,101.03028,0
"2019-02-11",82.75627,81.65480,83.41347,0.19503,0.00475,8640.0,0,102.15534,0
"2019-02-12",83.51280,83.26358,83.64329,0.00942,0.00104,8640.0,0,103.10989,0
"2019-02-13",82.72187,82.24435,83.28357,0.10488,0.00348,8640.0,0,101.32126,0
"2019-02-14",82.31135,81.88463,82.45420,0.01729,0.00141,8640.0,0,100.77194,0
"2019-02-15",82.18683,81.61483,82.54413,0.10512,0.00388,6976.0,0,100.54009,0
"2019-02-16",82.49468,82.08448,82.68402,0.02138,0.00157,8640.0,0,101.40056,0
"2019-02-17",82.52380,82.39424,82.59409,0.00263,0.00057,8241.0,0,101.77342,0
"2019-02-18",82.69633,82.41423,82.90386,0.01970,0.00151,8640.0,0,102.07764,0
"2019-02-19",82.93728,82.81392,83.03376,0.00299,0.00059,8639.0,0,102.39242,0
"2019-02-20",82.41283,81.96456,82.83391,0.07745,0.00299,8640.0,0,101.72607,0
"2019-02-21",81.94795,81.86464,82.00453,0.00122,0.00040,7765.0,0,100.98042,0
"2019-02-22",82.42240,81.87463,82.92384,0.10503,0.00349,8640.0,0,101.57004,0
"2019-02-23",83.37654,82.91385,83.63331,0.04018,0.00216,8640.0,0,103.06903,0
"2019-02-24",83.52484,83.14367,83.69326,0.02673,0.00176,8640.0,0,102.83749,0
"2019-02-25",83.00041,82.71400,83.15367,0.01071,0.00111,8639.0,0,101.62006,0
"2019-02-26",82.89443,82.60408,83.15367,0.02071,0.00155,8640.0,0,101.27726,0
"2019-02-27",83.06800,82.95382,83.18364,0.00287,0.00058,8640.0,0,101.48899,0
"2019-02-28",83.01092,82.84391,83.16366,0.00782,0.00095,8640.0,0,101.46162,0
